"","DIM1","DIM2"
"DTXSID30522967",2.84588592264553,-1.62319166877815
"DTXSID60666489",2.84444825366224,2.63145137266372
"DTXSID30726721",2.78171745508506,0.69930404483939
"DTXSID60667754",2.79341674154452,0.558205629473902
"DTXSID30825748",2.78560607526732,2.40383149236193
"DTXSID40211375",2.860807220208,-3.47242592891193
"DTXSID40348953",2.78132070074362,1.35924351010564
"DTXSID60560958",2.80783911236727,1.91599172395121
"DTXSID70558725",2.85874313227773,-2.77168869105548
"DTXSID10780801",2.7870534081568,-5.65497778012018
"DTXSID90466212",2.78414317267339,-4.35899679544892
"DTXSID00439896",2.84490745297603,-1.78085820152667
"DTXSID00326156",2.78157499876523,2.95445858122532
"DTXSID30452593",2.84554235114516,-6.16308241060543
"DTXSID70196560",2.82588298303207,4.31408036864059
"DTXSID40608908",2.84438318005995,5.2276095886571
"DTXSID20895334",2.80148438675831,-2.49657040257074
"DTXSID40574952",2.83333343229294,-2.70007129889716
"DTXSID10183015",2.82741836793106,-7.98558973195928
"DTXSID70742208",2.8265692838612,-3.18718791074004
"DTXSID30379716",2.80449862702122,-0.615499955098551
"DTXSID90694351",2.84480455072902,4.53899955657504
"DTXSID30710140",2.85083105857995,3.59675899910948
"DTXSID30521177",2.83510319001735,-0.970439357005222
"DTXSID50719190",2.84760524283766,7.27484640810724
"DTXSID90452054",2.76397138691534,-0.665423128165962
"DTXSID60541863",2.80281938546489,2.39590158258802
"DTXSID50835243",2.85093691157022,-5.49463859841547
"DTXSID20841199",2.77692481342473,5.0491454686564
"DTXSID10498257",2.80538159841802,-2.26679931164202
"DTXSID40803370",2.83386865919665,-2.32434207354961
"DTXSID40626602",2.85574909247002,7.19001399887488
"DTXSID50753418",2.77247917481978,-3.138360362094
"DTXSID10446516",2.79576738284996,2.75938688779578
"DTXSID80522619",2.77694978257851,3.36334769893798
"DTXSID50182108",2.80011974259798,-1.59051482418438
"DTXSID60725141",2.8115481885482,2.45406478914259
"DTXSID60512396",2.78113991005257,4.56619184158298
"DTXSID90224778",2.85822855626639,-10.1614563947955
"DTXSID50303013",2.77525794473545,0.863770316964465
"DTXSID00607614",2.82644156434462,5.03892185642919
"DTXSID70837961",2.78557902718536,-3.48622842513236
"DTXSID90344465",2.76299614087492,5.55540074786771
"DTXSID00450763",2.84889173225221,-2.23036089696835
"DTXSID4073255",2.85891833179563,-1.32210022159584
"DTXSID90483984",2.83454115214543,-4.04054468200052
"DTXSID50671668",2.78684300816389,-0.858566883381777
"DTXSID10453801",2.83259932717805,1.11563354307706
"DTXSID80625856",2.76525333269368,-1.01473508934897
"DTXSID50639920",2.80912860346825,-1.58071730047653
"DTXSID30805606",2.76477243200263,-2.47431754371856
"DTXSID50876171",2.76568618199064,5.41089064953535
"DTXSID00157068",2.82080367082152,0.117431199715835
"DTXSID50320068",2.81539218620627,2.22987417789152
"DTXSID40290347",2.82581795452024,-5.87777932952943
"DTXSID90473284",2.78848192017639,1.81950218802123
"DTXSID00887893",2.81971661028421,-5.68936209324367
"DTXSID80510334",2.77332850908466,-3.73934619244911
"DTXSID10237688",2.77452940633277,4.55197951320364
"DTXSID60291598",2.78537271871746,1.1689322514199
"DTXSID00566898",2.79845686293448,2.82671480879992
"DTXSID60696201",2.80347147229334,-2.89326568521232
"DTXSID30521793",2.76419151036974,-3.76136687676982
"DTXSID10515675",2.76449060208895,-1.37060605870773
"DTXSID8025888",2.79272104084519,2.9924899771778
"DTXSID70238858",2.83959733956394,-1.34082922435311
"DTXSID20580536",2.8095262826173,2.2239598743746
"DTXSID50349097",2.80585158949945,-1.75770051573256
"DTXSID00845675",2.84258003042785,-1.25590150666574
"DTXSID30512025",2.84961070609507,-6.13483356889635
"DTXSID80379504",2.83441779999124,5.75966451567234
"DTXSID60821697",2.79374411646195,-3.77036022039951
"DTXSID30160964",2.8406904365876,1.1038243235177
"DTXSID20298841",2.79585380922123,6.19771637432601
"DTXSID30614255",2.77551592146466,3.00603856242503
"DTXSID70569356",2.86091783020427,-0.138856003388901
"DTXSID40635613",2.78562460948522,-1.45608591223577
"DTXSID60656188",2.78345141714856,0.586352553444053
"DTXSID10464710",2.82903626871583,-4.04948405827977
"DTXSID20506731",2.85411829080104,-3.53367927664815
"DTXSID30752924",2.8538649761484,-5.18101322693069
"DTXSID40519388",2.80776973523113,-5.78768636538121
"DTXSID70515131",2.76966287375479,2.36016952476469
"DTXSID30588321",2.80484752553763,-1.07966023800642
