ID	Neighbors
DTXSID40223534	DTXSID70570482 DTXSID70751678 DTXSID60450507 DTXSID30568784 DTXSID70733873 DTXSID80809497 DTXSID20768579 DTXSID70852472 DTXSID20664087 DTXSID30468194 DTXSID20514457 DTXSID40450040 DTXSID20283212 DTXSID90339018 DTXSID40274788 DTXSID60842908 DTXSID60240748 DTXSID10274674 DTXSID70833100 DTXSID80567020
DTXSID80472827	DTXSID90534607 DTXSID70523135 DTXSID00830642 DTXSID00337944 DTXSID90177619 DTXSID80214562 DTXSID30699007 DTXSID20835235 DTXSID90700805 DTXSID20338716 DTXSID60698447 DTXSID80395986 DTXSID90157815 DTXSID00880864 DTXSID80864768 DTXSID00194357 DTXSID80699810 DTXSID20698463 DTXSID40337802 DTXSID60839252
DTXSID20469099	DTXSID20198897 DTXSID80306577 DTXSID50355279 DTXSID00564036 DTXSID30846514 DTXSID10295445 DTXSID80422564 DTXSID60748870 DTXSID70589736 DTXSID30483044 DTXSID90717837 DTXSID90542303 DTXSID80796691 DTXSID70551817 DTXSID00524458 DTXSID50571533 DTXSID0061799 DTXSID10498515 DTXSID90325719 DTXSID80813771
DTXSID80347667	DTXSID70546566 DTXSID50697404 DTXSID30307897 DTXSID60495832 DTXSID20372115 DTXSID70665382 DTXSID50568721 DTXSID20380679 DTXSID40565047 DTXSID70730721 DTXSID50329238 DTXSID30677249 DTXSID00376277 DTXSID20169926 DTXSID60296705 DTXSID70556741 DTXSID1067382 DTXSID4066882 DTXSID50477869 DTXSID00662147
DTXSID20610266	DTXSID00336230 DTXSID50757618 DTXSID40552750 DTXSID70849862 DTXSID50840690 DTXSID10872679 DTXSID60884686 DTXSID00312170 DTXSID30287302 DTXSID50475688 DTXSID30417849 DTXSID60589422 DTXSID60580090 DTXSID60850725 DTXSID00557842 DTXSID40741980 DTXSID80886147 DTXSID10753893 DTXSID90371377 DTXSID90681044
DTXSID30470378	DTXSID40658509 DTXSID20666561 DTXSID80366550 DTXSID60405032 DTXSID60695678 DTXSID60550051 DTXSID10429309 DTXSID20657030 DTXSID90212897 DTXSID90364067 DTXSID10629165 DTXSID20317400 DTXSID60697233 DTXSID30722288 DTXSID90512223 DTXSID40536131 DTXSID00704238 DTXSID10757795 DTXSID10380648 DTXSID70701572
DTXSID20516496	DTXSID20733282 DTXSID70571777 DTXSID40292088 DTXSID10344402 DTXSID20808222 DTXSID90551091 DTXSID50584406 DTXSID70821441 DTXSID50559770 DTXSID40591826 DTXSID2067117 DTXSID20590650 DTXSID00857218 DTXSID50667940 DTXSID00409034 DTXSID00178071 DTXSID30700748 DTXSID30179359 DTXSID10758025 DTXSID80398199
DTXSID50498993	DTXSID00759349 DTXSID50666291 DTXSID80744834 DTXSID30883944 DTXSID20706390 DTXSID20191126 DTXSID10524424 DTXSID40832468 DTXSID80519403 DTXSID70345076 DTXSID00788396 DTXSID30835468 DTXSID70477149 DTXSID10822836 DTXSID7051397 DTXSID40655710 DTXSID90335898 DTXSID00415958 DTXSID60823898 DTXSID3063968
DTXSID20443657	DTXSID40799108 DTXSID10879623 DTXSID60285275 DTXSID7027831 DTXSID40426543 DTXSID40478981 DTXSID30607602 DTXSID50624710 DTXSID40626400 DTXSID10451322 DTXSID40604985 DTXSID70163414 DTXSID30563653 DTXSID20811337 DTXSID90225402 DTXSID50156864 DTXSID00875836 DTXSID70895182 DTXSID30896019 DTXSID50759152
DTXSID50402994	DTXSID00829894 DTXSID90568321 DTXSID80697790 DTXSID40521305 DTXSID40295039 DTXSID40876160 DTXSID80589247 DTXSID10752260 DTXSID10694959 DTXSID30675780 DTXSID10426676 DTXSID20453539 DTXSID60452647 DTXSID00873857 DTXSID70729716 DTXSID70284219 DTXSID70535076 DTXSID40528713 DTXSID80446846 DTXSID90670034
DTXSID80792173	DTXSID50880793 DTXSID00768077 DTXSID40790079 DTXSID70832456 DTXSID00505060 DTXSID90335898 DTXSID60338492 DTXSID80881394 DTXSID70331050 DTXSID90635820 DTXSID70300483 DTXSID80512858 DTXSID00788396 DTXSID7051397 DTXSID20710437 DTXSID20668287 DTXSID60176331 DTXSID60823898 DTXSID30339911 DTXSID10822836
DTXSID90768844	DTXSID70625143 DTXSID80629990 DTXSID70663909 DTXSID40652825 DTXSID70732083 DTXSID50275882 DTXSID20341548 DTXSID80401415 DTXSID60376233 DTXSID70700020 DTXSID10663620 DTXSID00409453 DTXSID30163354 DTXSID30380206 DTXSID50342826 DTXSID30546365 DTXSID00495139 DTXSID80348452 DTXSID50382545 DTXSID30723215
DTXSID90297189	DTXSID60845691 DTXSID60439872 DTXSID50182406 DTXSID70456479 DTXSID00150074 DTXSID70676771 DTXSID80163763 DTXSID30734821 DTXSID00596236 DTXSID30665601 DTXSID50488399 DTXSID40398231 DTXSID50576760 DTXSID00169909 DTXSID00576018 DTXSID80337462 DTXSID10348708 DTXSID40204626 DTXSID20475397 DTXSID00423497
DTXSID40278781	DTXSID00342972 DTXSID90745711 DTXSID50402055 DTXSID60401695 DTXSID20404329 DTXSID40396712 DTXSID40423678 DTXSID10473983 DTXSID10484493 DTXSID90744345 DTXSID00613270 DTXSID90186908 DTXSID00857435 DTXSID80700950 DTXSID60735942 DTXSID00374970 DTXSID90829449 DTXSID70616339 DTXSID80372217 DTXSID40478325
DTXSID30454395	DTXSID70767097 DTXSID10344361 DTXSID50426130 DTXSID30462319 DTXSID20447716 DTXSID90339053 DTXSID50558844 DTXSID80822348 DTXSID80161901 DTXSID40225154 DTXSID90172048 DTXSID60225156 DTXSID10558845 DTXSID60211271 DTXSID90829388 DTXSID60308317 DTXSID10170046 DTXSID20370358 DTXSID00469693 DTXSID00210687
DTXSID6024462	DTXSID40363545 DTXSID50181696 DTXSID10604775 DTXSID50189051 DTXSID7063423 DTXSID70730423 DTXSID40667757 DTXSID7044473 DTXSID60856540 DTXSID10551114 DTXSID90590884 DTXSID00479434 DTXSID00769948 DTXSID60635579 DTXSID80665671 DTXSID80333989 DTXSID30649426 DTXSID00280749 DTXSID40672866 DTXSID10342685
