"","DIM3","DIM4"
"DTXSID80716899",-1.36455524811527,0.430664315015406
"DTXSID90600477",-1.52164058844802,0.0188722661777923
"DTXSID30333919",-0.321993918366153,0.946332355602507
"DTXSID80763787",-1.02574276334524,0.908067214707201
"DTXSID60507005",-1.1139157935979,0.897305046843275
"DTXSID70596102",-1.96051023570027,0.45774191343004
"DTXSID7059353",-1.42130350232715,0.734750564518747
"DTXSID20511865",-1.56899789765872,-0.0821732217863846
"DTXSID50435545",-0.774685808940731,1.54742704335196
"DTXSID90679724",-1.19278199954438,1.14930784949379
"DTXSID20769980",-3.25211416279573,-1.63918469496755
"DTXSID50550449",-1.90899761444227,-0.311050894173204
"DTXSID50532765",-1.39270923007168,0.211480301680351
"DTXSID50704026",-1.16165600018939,1.26658464731367
"DTXSID00770736",-0.777635035927393,0.734160885876796
"DTXSID90887928",-1.1030962328157,0.713348889357051
"DTXSID0073532",-1.65746182986755,0.748304696296834
"DTXSID90584920",-0.340480969047532,1.43476159733767
"DTXSID70712183",-1.25209264599733,0.689208705834662
"DTXSID50505696",-1.27281264709246,0.734662506458935
"DTXSID90281144",-0.797761421015763,0.65535207284858
"DTXSID40239150",-0.721511062863812,0.430698917521751
"DTXSID50594181",-0.934478992492637,0.792069644325454
"DTXSID4067808",-1.47157937338297,-0.0559227484164037
"DTXSID10184502",-1.06272473943761,0.846113992682984
"DTXSID30828931",-1.59928889723946,0.14598817402752
"DTXSID90629168",-0.0159082274869602,1.90167044070978
"DTXSID00872986",-1.29537482649094,0.905627483032289
"DTXSID70805726",-2.34834609186473,-0.292177008746232
"DTXSID30545671",-0.854394889391096,0.415179946874157
"DTXSID0052598",-1.10609891535583,0.691617772368035
"DTXSID40232520",-1.20708701040173,0.372131275418451
"DTXSID60526579",-0.660362175472321,0.245881032484528
"DTXSID90447102",-0.857899192513365,0.888626441050206
"DTXSID00623354",-1.08912853851528,0.130503805886272
"DTXSID2022096",-0.881120255566483,0.417171513520397
"DTXSID30760362",-2.13963334443743,-1.19343614298963
"DTXSID50446353",-0.860074750008841,0.173521812200438
"DTXSID50842194",-1.46712134728509,-0.208783571689167
"DTXSID10639749",-1.12892920629855,0.788649461898192
"DTXSID60211155",-0.748918103105767,0.70544395305517
"DTXSID20775546",-0.282660268658685,1.42640849600711
"DTXSID00335501",-1.4055816877832,0.174885160333577
