"","RDFM14","RDFM15","RDFM16","RDFM10","RDFM12","RDFM19","Dm","MEcc","ASPAN","RDFM20","RDFM23","RDFM7","RDFM5","RDFM8","RDFM9","RDFM17","E3m","E1m","MoRSEN11","RDFU3","MoRSEN5","MoRSEM6","MoRSEM7","MoRSEM4","MoRSEM3","MoRSEE30","MoRSEM1","MoRSEM8","MoRSEM9","MoRSEU10","MoRSEU11","MoRSEU12","MoRSEU13","MoRSEU14","MoRSEU15","MoRSEU16","MoRSEU17","MoRSEU18","MoRSEU19","MoRSEV19","MoRSEN10","MoRSEV13","MoRSEV11","MoRSEV10","MoRSEV17","MoRSEV16","MoRSEV15","MoRSEN16","grav","L2p","RDFP11","RDFP10","MoRSEP30","E2p","P3e","MoRSEM18","MoRSEM19","MoRSEM12","MoRSEM13","MoRSEM14","MoRSEM15","MoRSEM17","MoRSEP5","MoRSEP4","MoRSEP7","MoRSEP6","MoRSEP12","E2e","L3e","MoRSEM30","MoRSEP8","MoRSEP1","MoRSEN23","MoRSEP22","MoRSEN28","MoRSEN29","MoRSEN26","MoRSEP23","MoRSEN27","MoRSEN24","MoRSEP25","MoRSEN25","MoRSEP26","MoRSEE8","MoRSEE9","MoRSEN22","MoRSEE4","MoRSEP27","MoRSEE2","MoRSEE3","MoRSEN20","MoRSEN21","Vm","MoRSEU7","MoRSEU5","RDFM22","MoRSEP20","MoRSEP21","MoRSEP24","MoRSEE29","MoRSEE28","MoRSEE21","MoRSEE23","MoRSEE25","MoRSEE27","MoRSEE26","MoRSEV28","MoRSEV29","Dv","MoRSEP3","MoRSEP2","E3v","E3u","MoRSEV9","De","E1p","E1u","P2u","SPAN","RDFU8","RDFU1","RDFP15"
"RDFM14",-0.132752078219861,0.0126460265252569,-0.134312144302102,0.0020822905619829,0.0287972857798273,0.00306984159448663,-0.0178719118555936,-0.071798985868514,0.0394983196975318,0.0273938361949461,-0.00736349695035529,0.0231367095162913,-0.0545899217590582,-0.0338528711444064,0.00976961455951681,-0.0491649845581343,-0.0448616591643745,-0.0684477949984571,-0.0133482081575648,-0.0159617534226388,-0.0297077796076517,0.0614289088872389,-0.00362486439868556,-0.116659647892269,-0.0250785192505872,0.00439703826085225,0.156854467071416,0.000280871446523994,0.0358204351149153,0.106710283028638,0.217389953315809,-0.0926310960167285,0.0183709558342617,0.0338787811582741,-0.00468501390564402,-0.0900558614650675,0.0151133840852294,-0.0597328500778642,0.0421646262579616,-0.170683948894116,-0.0481004667406923,-0.0640899177639509,0.0783705117169338,-0.130844499368689,0.346136269007859,0.053086572271296,0.0538917029816222,0.252724508967644,-0.115557993085184,-0.0279567610073872,-0.00436154660223521,0.0876669250136246,0.212057642327271,-0.14064690913818,0.100956779906424,-0.120279303743229,0.0348905139289378,0.115105143312995,0.385793523424783,-0.0767026254181025,-0.0934166822236899,0.203743453183552,-0.224570008478424,-0.0748869941117746,-0.151343388861759,-0.0139117454465982,-0.0114187318418226,-0.0709077602845843,-0.00477677029997037,0.0558646547807847,0.11565071325677,0.0609071244147045,0.0636668818484999,-0.165525453726287,0.0442148700105369,-0.0555092696656489,-0.0969972540096452,-0.040671066349528,-0.137510875925976,-0.00388645119359969,0.0473602144219286,-0.086074708969393,-0.014885373034881,0.0317619527171291,-0.0320908418917236,-0.0707516646626133,0.0496912081592539,-0.0659386214079169,0.0287030072310514,0.0405592548902343,0.0146642527885974,-0.0794495954308714,-0.0376928149485949,0.0216152741438661,0.0352093024895568,0.0743512076217684,0.00699458435996691,0.0625323089447743,0.00346259068940403,-0.020608122311199,-0.0256446455253467,0.0134343215473292,-0.0120739079021998,0.0118419696466109,0.0267215841230817,0.0070348937609875,0.0239009773476048,-0.0567805808963089,0.0142783890348397,0.0243235499050867,0.0191737295065083,0.062701630120846,-0.0248321366802397,-0.0330615135772284,0.0495947373876935,-0.00500814676756286,0.0290608763034534,-0.0295739041491642,-0.036191056381929,-0.0162996254180499,0.00124078793305338,0.00393722075760242
"RDFM15",-0.136321673332741,0.011139123972793,-0.121408881502546,-0.0141768059775037,0.0270499431258959,0.0516807979201157,-0.0502629571790759,-0.0613107054211455,0.018966212449894,0.0326915137775225,-0.00625194127192689,0.012280538265311,-0.0617666390213945,-0.02441440486531,0.0220446251860459,-0.0615813757767384,-0.0913962304676074,-0.0723346646554116,-0.0374026877590881,0.0258919511115978,-0.0213155806815633,0.0572614636271648,-0.0323345186805128,-0.0212530529976532,0.0337208803843143,-0.0419085361660697,0.0977564900149116,0.0298523816395495,0.0346010753225423,0.000393902980344502,0.173010100902052,-0.0458840549111689,0.00236988626322822,0.135645808235428,-0.0251848872925361,-0.0798249102074243,0.216710276866482,0.00134092790224295,-0.0998884939549222,0.179507799031743,0.0840985631011894,0.142434567993443,0.0919909193359489,-0.052183745255318,-0.219939756988355,-0.131938148502197,-0.0802281791009571,-0.310967494942523,0.0180495429903102,-0.0610383850697244,-0.0632557495959024,0.125032712333126,0.206365473006479,0.136110702666458,-0.0127923986511159,-0.0212047481491981,-0.0412699923410065,-0.0891656219993302,0.145924224440256,-0.0608358550969195,0.108504202742744,0.0176242768825629,0.110049056110942,-0.094740858848219,-0.0119530917799576,-0.167562436839744,0.0255857631809862,0.0706683084760958,0.00987783964270489,0.0202589327427844,-0.016525155276631,-0.0900314646862368,-0.14577465061281,-0.0404894477684309,0.0549398816193101,0.0328510136683343,0.106243287118194,-0.0155152901696344,-0.109813916047204,-0.0816162002797474,0.252589776994183,0.0540011723128882,0.026100321989707,0.130040136429168,0.0542649246573241,0.0173649915863146,-0.0225274199159008,0.114272405376083,-0.0623662343497538,-0.177418043842387,0.0195553251101589,0.107168283707548,0.00105986092211157,0.0122029569017848,0.0915895930272717,0.170788178420127,-0.0883071240868499,0.00802496159095265,-0.033701249016329,-0.127488202493129,0.096620808650166,0.0769931570858943,-0.028133857238313,0.157301984443745,-0.0352282373136516,-0.0155245881951787,0.0361647707522104,-0.058447967055133,-0.00355414586465884,0.0574926176996461,0.0177355570447021,-0.0589065545601141,0.0671471670773545,-0.0299208502744292,0.0524919035676212,0.0421414048985768,-0.131301645715064,-0.0282912784088953,-0.0443345538118519,-0.0190612301739893,0.0814989057170963,-0.0355126319493551
"RDFM16",-0.136209075245962,0.0162932906934882,-0.108687322457002,-0.0244761792070867,0.012935100011762,-0.0338726005622698,-0.0416218717536477,-0.0267150289616453,0.0506380652528294,-0.0134422427776101,-0.00354201178951676,-0.000542310302425908,-0.0205001178663255,-0.0470468191291468,0.0256430871298447,-0.0185317095759848,-0.140663625338462,-0.0611457002581497,-0.0789173381248362,0.0246834523097393,0.0438055139443269,0.0299822733411871,0.0520497991530956,0.0282533813604755,0.00963518329157066,-0.0606398302400849,0.08061340835522,-0.00718512516777442,0.0862082862480669,0.0557549469818826,0.146041705690962,0.0276234180744556,0.104491037839428,0.0870211898436291,0.0954380001955382,-0.132976383259246,0.0426633625495687,0.100407627161766,0.131034337803098,0.00167899853134641,-0.074666171938453,-0.173080703519003,0.0164572607975574,-0.111531236876021,0.095722117341281,0.172850060136726,0.0420453400919012,0.0872353731432821,0.151101082461895,0.0393911365368045,-0.122616948904743,-0.0530398216720098,-0.235011816421999,0.282903475821967,-0.0984049567511284,-0.203187281836262,-0.154359811028052,-0.0883049440859666,-0.334121959685743,-0.356456774830945,-0.000641892751086371,-0.0979009320498693,-0.192781768397998,0.124491296639059,0.0703882605773563,-0.134390425625409,0.159647197743495,0.0179012026673297,-0.0298516881663651,-0.14534062687174,0.164205021680356,0.025547711618039,0.0184440692708806,0.075008617133544,0.0192208417656458,0.0631105705762295,0.0090570428906498,-0.00529177562690903,-0.0399246802546958,-0.00683642108649173,0.0989810550227387,-0.00497437799548917,-0.0332953723361072,0.060267787967146,-0.0331748480998504,0.00974838728224098,-0.0219882289509187,0.038571941789876,0.0442006814813036,0.0159251929075156,-0.0354471591308444,0.026009304718719,-0.0355337123909558,-0.0424529688950026,-0.0771401413834879,-0.0421939470794441,-0.0157684891494002,-0.0326440235131647,-0.00596151897081222,0.0328964698776094,-0.00183155005437947,0.000274577530188469,0.0161450388092125,0.0078955116843428,-0.00373109230311417,0.0103273118620073,0.00394352763903163,0.00965358514943311,-0.00042835232199031,0.000116883861654212,0.00846532803494732,0.0161306693908946,-0.00482790233296153,0.0100655502712805,0.0075976844901475,-0.00155799241572056,-0.00204873030192225,-0.00797326367137126,0.0108123811621123,0.0032765369368407,0.00489530005257208,-0.00327069759171937
"RDFM10",-0.116520579786577,0.00733890097699641,-0.17894708866294,0.0759709106113354,0.0911563571101806,-0.0125461944111945,-0.0178996188180572,-0.0593264380841806,0.044813077316034,0.0339300254457773,-0.0224638377167377,0.0104433775742603,-0.0434704282426568,0.0220743594744604,-0.0659466865374766,-0.0257022987667691,0.0210463575377597,0.0308113724617266,0.0366062059233995,-0.061885115500076,-0.0959817271682655,0.104422627281307,-0.0641599084168719,-0.18636999206396,0.00931408358361141,0.217559096739119,0.106964533298598,0.00918442254329337,0.0771397339444955,-0.0907143522305552,-0.119951391468411,0.0308953850293918,-0.0704044179379782,-0.0707189535710498,-0.148492263554215,-0.123242797033359,-0.0193971032766553,-0.29050879825327,-0.0109691466633495,-0.190715162278426,-0.0023742438443776,-0.0675694827709843,-0.0984020057227513,0.00628616809365722,0.00772522672884586,0.0730353495765907,-0.113854763975852,0.00420480232958771,0.0365555340373301,-0.0613349314813958,-0.000184462252837638,0.0532610650217716,-0.0552057124410853,0.0757877236588969,-0.0357726588887236,-0.0344950670481347,-0.00409554942294221,0.0905797666993785,-0.0658247572364688,0.00816286483904516,0.0648963972667056,-0.03245336274379,0.154489866387372,0.0134504532751172,0.104800519950456,-0.168786138058119,-0.133898467209863,0.0593244542803923,-0.0231822734484416,-0.0867817756193871,-0.0641326387025847,-0.0364631288887057,-0.224552788178625,0.0267400195618865,-0.0236821971054026,-0.0322963476066417,0.0244463884582727,0.196890919481307,-0.12799795286824,0.0652616516274855,-0.167260693068551,0.00938157317420144,-0.148442125701486,0.153309716085335,-0.0565084619392268,0.0636579306541135,0.0992829741057515,0.103282774438261,0.0842662843421243,0.0312344117729024,0.0874652419288876,-0.117174500771631,0.0172407947301032,0.124164910940477,0.0917628376979897,0.160796062183398,0.0241712478932764,-0.0156175109962125,-0.00938786580483549,0.172690021045786,-0.0723832612108304,-0.0288163119590734,-0.040877611447559,-0.0910618333153945,0.0177067322261079,0.0260897313454512,0.00248036568057058,0.0711109253521803,0.0766861769663346,-0.11587419496555,-0.134986493107787,-0.0478711974814389,-0.00552062903175181,0.0205500122094811,-0.0119655051222052,0.113349747932763,-0.0534315691884622,0.0328761672950109,-0.0494159228925819,0.0532006219941867,-0.117286214592546,0.108615445393428
"RDFM12",-0.135763527138269,0.0250864160924432,-0.117826494092362,0.00251251292402034,-0.00440251299858726,-0.0119363342614866,0.00558942508286167,-0.0800513673333698,0.0284664459400362,0.0135989319556244,-0.000886364288557269,0.0680480234589873,-0.0191042021074786,-0.0395458083892474,-0.00338596137248995,0.00145883958702935,-0.0508593236151557,-0.0088071509427473,0.00386128617652642,-0.0579793469710062,-0.0451205526847672,-0.00572500432932364,0.0362316041037798,-0.0151873154781347,0.118609587749978,0.0724143303321304,0.0701590922030485,0.110473408308301,0.14975113356203,0.204667266011134,0.205501778599343,0.00309125778457345,0.169488585892091,-0.0566932311340253,0.0449677649522054,-0.0524990161574578,-0.0951826887020256,-0.208689058800482,0.103133227552107,-0.148129593543691,0.0850373486668514,0.0460742280341544,0.0600722962482467,0.0620401880276121,-0.000952529550528398,0.00228909945201771,-0.00793117893870426,0.192483628754079,-0.0276994006671943,-0.0383156740684565,-0.0487390062440565,-0.0295797536402463,0.0254221671867844,-0.0618535885221506,0.104704123578751,0.135801381178277,-0.146514178646997,-0.0174311905259458,-0.0671631465392379,0.0710291409926248,0.17145240363983,-0.179827061116604,0.176678539551213,-0.0739789130516412,-0.0594543528349064,0.22167241231336,0.0868147197709203,0.02121777895494,0.0909256226177578,-0.160298864698392,-0.266511909919985,-0.112884446130641,0.205721816615739,0.0581119028674289,-0.126148676572775,-0.0405889515038243,0.0947979945952019,-0.136985776387616,0.129376351825196,-0.0754125286223259,0.112453809410795,0.175209485524315,0.040048382229763,-0.113912356997925,0.0680292916122274,0.0448156651791233,0.0235249184571929,0.056456409395823,-0.066622458903116,-0.098098429152075,-0.0629152854862401,0.0413776889048678,-0.0138397231606661,-0.0474547846317044,-0.00895372526404752,0.0212065107480808,-0.0216907889617263,0.071957597933659,-0.0399045204945381,-0.0131715010856065,-0.0568518130521423,-0.0977338684027534,0.0782755363103217,0.0444331636232538,-0.0174617443899957,-0.0192257406236796,-0.0423107601016728,-0.0122991697662645,-0.0070589707367332,-0.053213066828863,-0.069108389095442,0.0172684861301542,-0.0110071031589175,0.0704949017449328,-0.0354298036652818,0.061563691434665,0.0715883400888929,0.0560826726001842,0.0938439841549552,-0.048814399338852,0.0239621640727282,0.0583339050229457
"RDFM19",-0.130320083430484,0.0205874150424512,-0.109742372520966,-0.0709838415758723,0.00541313913703575,-0.0124312965048269,-0.0689031012910604,-0.0032375484809382,0.053517463445644,0.00248724637267844,0.00644679891576282,-0.0446635144669034,-0.0380078062852415,-0.026545975002432,0.0220504900065986,-0.0428880925260239,-0.154239733371695,-0.0891123428658401,-0.0802789166556843,0.00590266495072377,0.107551676747047,0.0424954086655489,-0.106925490534163,0.102886378257169,-0.0793214476016829,-0.00425734628293028,-0.00996075485508848,0.00346439128147602,0.0327474962893848,0.029340859312541,-0.0499794752213513,0.0657869433869798,-0.0362420518782402,-0.0410793289372102,-0.01268007288645,-0.0921695880991865,0.0625878567804291,0.00442304685121702,-0.0161111460718036,0.0428838483131946,0.0222138761816321,0.0567730827786577,0.125035192024311,0.199254420532803,0.18973166366633,-0.0326460143100557,-0.22791375542225,-0.0978962139172478,0.0443529955964902,-0.11999151121054,0.167677504458668,-0.464845892568985,-0.0583964769542429,-0.285147516904751,0.0652363859006565,-0.0302642312027766,0.07848889209788,-0.222118360435166,0.132009274999281,0.165170538979999,-0.196850727519077,-0.313625262846412,-0.187068458825074,0.0488337162376898,0.0366877607395538,-0.149877811960053,0.068675893759349,0.0160522470242869,0.0372280096909107,-0.0623072449806085,0.0056853575491483,-0.0493275236761159,-0.060358085645599,0.0920064851142554,-0.0223644424611539,-0.0535848785232219,0.0174432628803704,0.0368460928695211,0.00742426247573902,0.00773070481935136,-0.0210790427020554,0.00449632542734884,-0.0191274518699146,0.00915102473008827,0.0374414180020201,0.00643815150200695,-0.0126779433628221,0.00533770795471139,0.00810543434663349,-0.0170052963339778,-0.0143608586654669,0.00425501051525048,0.0351426041275631,0.00936173942429339,0.000658551045610522,0.0232143416448623,0.00692248407767872,-0.0266056944011339,-0.00653204933994244,-0.00227483921651783,-0.0126230591396771,-0.000380762027005987,0.00161872326551166,-0.0170647180806515,-0.00275579306571468,0.00984605014114047,-0.00112820290817774,0.00804565044914553,0.01389826163623,0.0189811374848138,0.00394311082330496,-0.00583744635396486,-0.00761711610453472,-0.000417195238186341,0.00183248513451692,-0.0127107575786397,-0.0164532414464444,-0.00105815194482637,-0.0155800724732502,-0.00233799513668576,0.0111829870621343,0.0160640412713243
"Dm",-0.0126525454465478,-0.000838592597201033,-0.206606470717999,-0.122611319349482,0.0890223856305215,-0.0683990939910091,0.183675050375418,0.160231760001302,-0.0164347819620504,0.0701730101406621,0.0547051863768207,0.231697636076782,-0.0818888688587629,-0.121088137151827,-0.169036432766957,-0.154812222290527,0.0536273089126162,0.0587959980976048,0.00957590060323349,0.163191097333536,0.0742867011065193,-0.0985909718217988,-0.0240124820969712,-0.0760838435216918,0.0987099423835819,0.049539749827489,-0.091049427516927,0.082245746369224,-0.137060408076202,0.0126980673563847,-0.0417245886582683,-0.0289373157905432,0.058703145203521,0.0158939863386722,0.0057649552463259,-0.0246504334304674,-0.0122425963426027,-0.0162321957725988,-0.0547900184466771,0.0394445141104999,0.057382127588819,-0.113028801365948,-0.0526587238915693,-0.200918596367617,-0.0761521109839398,-0.0571985354487333,-0.093749224663161,0.00937295179825246,0.0353599533185678,0.122959873592132,0.0171893462092108,-0.00534184842399466,-0.0146770001125338,-0.138565902576676,-0.0661255038156728,-0.0448269847721512,-0.00517277867054585,-0.047115041491933,0.00542202797769379,-0.0280334995024294,0.0244122212186687,-0.00349668733983613,0.0246959327912917,0.0379225848938552,-0.0703711469258177,-0.0364230386160884,-0.0350059551729942,-0.0633627056097458,-0.0132183039082678,0.0266639413186088,0.0132727117924923,-0.0303142264339598,-0.0624062040092236,0.101006996095155,0.109963595510016,-0.202506165683935,0.244379789876959,-0.298187539230089,-0.0164430287490631,-0.0198727549179035,-0.131968703244111,-0.102411832064463,-0.0692320461909791,-0.120057286432223,-0.217664113052461,-0.0920586111559285,-0.149804609694153,0.00778766530505504,0.125647501155392,0.079884480389146,-0.298687417436751,0.0689684660278337,0.02798794329195,0.0228143244686858,0.0345585846396718,0.0976696840390475,-0.0145834649305706,-0.0406397724550282,-0.0441642629103791,-0.008057276679786,-0.060206391430697,0.00448561499929031,0.0144920171512758,0.00759570720197576,-0.0179791553142394,0.0128443164628288,-0.0285096082818092,-0.028321620570825,0.0223064974183258,0.0253920200970719,0.0025504527216056,0.00391171162581694,0.0309092717510964,0.00356776197869296,0.000136102497527328,-0.00613651150425341,-0.0072553504708878,0.00855153390484489,0.00201055901133089,-0.00673679921966097,0.0112917427722334,-0.0141833478327197
"MEcc",-0.015531483244718,0.00814103283142587,0.0585359066436263,-0.262423542430114,-0.0751027405560655,-0.117214946220755,-0.179216722977996,0.153432808771275,0.0341296074031489,-0.00298621705129896,0.0658992196143748,-0.120836878493086,-0.0370874492028965,0.0841935889160985,-0.0798373511333148,-0.0729705456291357,0.117163305324482,0.056010796404966,-0.061428559568861,-0.0585854599296915,0.0216701820690393,-0.138653611930648,-0.0620677983587359,-0.155714295412677,0.129721604381617,-0.022116436888487,0.256747638607629,-0.0659998771684547,0.115448781139383,-0.0115800408939135,0.0660399204440431,0.0187583313004656,0.0700434165927913,-0.0197258565675,-0.0158017498524083,-0.0212526196982946,0.0668464453431078,0.051060968943537,-0.0899369313767954,0.0731612499390395,0.00889695033098105,-0.180724970383745,-0.0538174401812452,0.399424491811189,0.286824396891537,-0.278875476925654,0.111419976158151,-0.0858400788994072,-0.00617093008407533,-0.0557860116082803,-0.160574851405711,0.137908406565535,0.00450961646576027,0.0549413125509095,-0.185031762105895,0.0401236337958013,-0.0346863571723946,0.0693456723895726,-0.0497411481040964,0.0702186393963957,-0.0545351425130219,-0.0372378344042445,-0.00617947088215803,0.00470240244307836,0.0509577189361953,0.0513239170988309,-0.0023422136018373,0.00492377910530702,-0.00379840536678752,0.0175838370288043,-0.0490404781603551,0.0480126182259012,-0.0286986470054188,-0.0234238151314814,-0.0426750690795635,-0.00984034899235409,-0.0283494939669073,0.00796500088277647,-0.0457510115819547,0.0267148175623615,-0.0537776178112564,0.0198692983387938,0.123289238514603,-0.0502154048444617,-0.126700831618939,-0.00814380225730219,-0.0290142033887203,-0.00841544989609911,0.0263571835866709,0.0304781665172259,-0.0898933293217447,0.129701184137805,-0.0192593485295442,-0.082771938285054,0.0629390135236896,0.119190009095626,-0.00606065192568383,-0.0954763878097402,-0.036397231464417,0.00719839701462425,-0.0428904418112166,-0.00179649757256722,0.00450326875827877,-0.0109855796652594,-0.0123673790968414,0.00797842899825218,-0.0859401141562404,0.00455290747875402,0.00749979626808828,0.0123567349654581,0.0107581298165108,0.00632431362844034,0.00611216799928164,-0.00587934319776839,0.00680649099093899,-0.0161947067668294,0.00442667235697177,0.00454254303969681,-0.00349512945327916,-0.00929405313306835,0.000383589070933904,-0.00467810659836588
"ASPAN",0.101866615982637,0.0945322372588935,-0.0437461856237786,-0.18716426656671,0.00634893035390766,-0.0876619426615973,-0.0820324485625732,0.0347104759593111,0.0422116296244398,-0.0312276304771519,0.0211122569351206,-0.0101587142521651,-0.0345309938662387,-0.0136996010609889,-0.0656208192607955,-0.029453723353061,-0.0114796466026211,-0.0469008714680153,-0.0568609677377346,-0.0238709581160402,0.143836489530387,-0.103325290217694,-0.106935253279188,-0.0527693145606204,0.036533275730553,0.0756131682723257,-0.0218771539771867,0.0807053447754374,0.00186771976608851,0.0345036408464461,0.00610519766590004,0.114689358518677,0.0838552368344273,0.0456450968515774,-0.0278364286351115,-0.146468373547618,0.103115435383763,-0.0630961974839511,-0.0401921044697376,0.0724320616605209,0.00368344518028538,0.132234558010288,0.00220894457592883,-0.275822222034549,-0.231076165804159,0.233710565824128,0.118640156513968,0.0830876237934907,0.0558649975078808,-0.0632082470342554,0.0622303923786884,-0.0139741110843997,0.00808793639168071,0.0248434282392218,0.0561773576051092,0.058953380321512,0.105079762117627,0.223334149517733,0.0162821142698957,0.175930065636849,-0.143981747730381,-0.105628881141787,-0.145312068734059,0.0247938555120067,0.0722925435681411,0.122308723788983,0.0134394288082775,0.00375034570221103,-0.0310532342359138,-0.138461831609462,-0.0124461634120517,0.266251268628492,0.00567487980084613,-0.0328275105970754,-0.0445262617579651,0.0983389334349143,-0.134360281210643,0.173888816426889,-0.109889699470447,-0.00515326108739942,-0.03963350442783,0.0292681882943918,0.177543573268488,-0.086643767066567,-0.0552154381663985,0.0122023319290758,0.077053226889368,-0.0402411675008962,0.00390992742110385,-0.00185262761154652,-0.118284743416211,0.119060675134925,-0.0787453433036564,-0.0502891108699704,0.0726470927026352,0.0726204537397178,-0.011199091294339,0.0140505050051305,-0.0381318718619154,0.0154686843923174,0.0419301135230387,-0.0267783863977355,-0.110829437438302,0.12306136867075,-0.0152489485302568,-0.0927147724617465,0.0175017751534258,0.0582420195520537,-0.0968249850376994,-0.0245186910110944,-0.0312759137845057,-0.129946991159377,0.0707499109463241,0.0444579488202434,-0.0687401579564358,0.0791475454076835,-0.113776183626265,0.0681213038606337,0.051540616447553,-0.00623157290527388,-0.0147649052929551,-0.0572349163624592
"RDFM20",-0.129196342512926,0.0171532703697688,-0.0895205064645673,-0.0944645370535011,-0.0132609079710325,-0.00897166226873004,-0.067882400721343,0.00851090262094584,0.0465686496303831,0.000863419121978141,0.00568894778125936,-0.0516614511265471,-0.0225536804890021,-0.0266302365264071,0.0279621923119225,-0.0549675258380311,-0.152073324738287,-0.0977545118949641,-0.109397424032186,-0.00419687782839157,0.119913973189224,0.0160563036712293,-0.0697597367029106,0.15112511013107,-0.080989268701701,0.0185750636378625,-0.0742336600574394,-0.0289091900927641,0.0750412488726234,-0.0448741462422851,-0.0683399756851954,0.072254278328322,0.0103812497298764,-0.015532645212779,-0.0258504683302829,-0.0252290189580499,0.0138121890564152,0.0593810157795984,0.0942679793191703,0.0811019378167707,0.0810208562238883,-0.10676868399485,-0.0124599224877583,0.132517466083694,-0.17836098978067,-0.088300198651814,-0.0812614591700251,0.208835291070864,-0.19839885420224,0.197141493811733,0.0490216007017596,0.00536882143082382,-0.435645708637391,0.299458832460643,0.0496150774641207,-0.0589513746811536,-0.186947120639778,0.0949554008125432,0.391924866573148,0.0964518128866428,0.0288595368424426,0.0948306431333854,0.169134187424593,0.0113108296470991,-0.0646934074776993,0.0733835646963159,-0.0932037887571245,-0.111651004467997,0.108458824477912,0.0684364908114445,0.0566105422809622,0.0110290477692992,-0.0310467202896086,-0.0606279710268065,-0.0291192446073455,0.00692865381371045,-0.0196301789851855,0.0148710631693009,0.0202950716942922,0.0420836407568935,-0.0635901710565401,0.0135850148555492,-0.00315359231536807,0.001834580747256,0.041107536927859,-0.017375967746946,-0.0680072719550339,-0.0335304258267433,-0.00679501239078237,-0.00999268281746692,-0.0287941667925846,0.00242005321366942,0.0162938749339181,0.00089001095892675,-0.0109053576261056,0.0196077146120637,-0.0198710633733043,0.00409985231442113,-0.0276415032033133,-0.0100666177815889,0.00527431482651409,0.00730962870376351,0.019346729033887,0.00402367602648617,0.00980327568204599,0.012372354484574,-0.00388130479830671,-0.00159780672344598,0.0189297708835803,-0.00101999639238369,-0.00962105246253337,-0.0120720935748818,0.00566862341254213,-0.00243072324567233,-0.00746434305762594,0.00602490588470892,-0.0101893058197824,-0.0065747757235637,-0.00505356249009388,0.000983412283966622,0.00676014049789921,0.0100880735552408
