ID	Neighbors
"DB06751"	"DB03466" "DB01063" "DB02016" "DB00875" "DB12704" "DB11650" "DB12170" "DB08927" "DB12320" "DB00831" "DB01622" "DB12388" "DB07297" "DB12341" "DB02300" "DB06777" "DB07991" "DB12092" "DB06444" "DB08749"
"DB02058"	"DB07878" "DB06948" "DB07654" "DB08708" "DB08457" "DB01865" "DB08352" "DB07655" "DB08723" "DB07303" "DB01108" "DB04108" "DB08532" "DB12572" "DB12347" "DB08020" "DB06983" "DB04892" "DB00768" "DB04652"
"DB01581"	"DB03112" "DB03697" "DB09355" "DB11461" "DB03359" "DB06807" "DB03353" "DB08157" "DB08626" "DB02027" "DB00861" "DB11221" "DB06716" "DB01291" "DB12928" "DB00263" "DB12099" "DB08081" "DB08136" "DB00419"
"DB07119"	"DB08093" "DB06738" "DB04306" "DB00571" "DB03421" "DB05871" "DB01087" "DB05824" "DB06594" "DB07086" "DB07942" "DB01559" "DB08575" "DB06726" "DB05680" "DB09284" "DB00473" "DB01006" "DB05444" "DB00935"
"DB02372"	"DB04120" "DB12422" "DB04145" "DB02969" "DB03127" "DB02417" "DB01665" "DB09516" "DB05381" "DB03243" "DB03058" "DB04533" "DB03654" "DB00593" "DB04737" "DB03454" "DB02938" "DB00272" "DB02962" "DB11359"
"DB07002"	"DB08635" "DB07463" "DB07971" "DB02984" "DB03809" "DB03159" "DB11873" "DB07874" "DB07507" "DB12235" "DB07007" "DB07662" "DB08004" "DB07296" "DB12378" "DB01132" "DB08191" "DB05992" "DB08053" "DB11521"
"DB02411"	"DB06630" "DB13929" "DB01678" "DB04785" "DB05626" "DB01264" "DB03591" "DB11729" "DB02336" "DB04865" "DB12070" "DB12272" "DB12325" "DB03712" "DB02651" "DB04495" "DB03081" "DB12935" "DB00559" "DB04131"
"DB05015"	"DB01647" "DB07374" "DB04478" "DB07892" "DB07312" "DB01163" "DB07884" "DB07449" "DB04743" "DB04002" "DB04331" "DB08624" "DB13538" "DB07953" "DB02069" "DB02429" "DB00963" "DB07762" "DB04520" "DB08702"
"DB02934"	"DB03952" "DB08378" "DB13934" "DB03526" "DB07732" "DB07290" "DB02282" "DB08473" "DB11185" "DB02933" "DB03037" "DB01299" "DB08040" "DB00271" "DB12255" "DB06150" "DB02221" "DB12039" "DB04133" "DB09133"
"DB08315"	"DB01210" "DB08562" "DB09120" "DB07737" "DB08728" "DB07670" "DB08940" "DB05022" "DB08247" "DB13001" "DB07876" "DB06538" "DB08224" "DB08188" "DB03996" "DB08442" "DB07736" "DB07592" "DB07184" "DB12707"
"DB03927"	"DB13832" "DB02927" "DB06913" "DB05633" "DB07285" "DB03717" "DB01651" "DB12783" "DB07745" "DB04207" "DB04701" "DB13921" "DB01920" "DB12484" "DB04944" "DB03870" "DB00441" "DB04441" "DB01073" "DB12901"
"DB07503"	"DB03886" "DB04001" "DB02662" "DB12818" "DB00927" "DB03240" "DB00232" "DB02562" "DB04400" "DB07304" "DB14650" "DB08687" "DB02829" "DB02072" "DB08263" "DB06198" "DB00651" "DB02898" "DB07050" "DB04485"
"DB02835"	"DB03959" "DB02879" "DB03942" "DB04694" "DB02992" "DB04551" "DB02493" "DB04733" "DB04294" "DB02760" "DB04013" "DB13863" "DB01632" "DB07782" "DB02470" "DB04663" "DB02236" "DB01729" "DB03003" "DB02512"
