"","DIM1","DIM2"
"DB00114",-1.52782264551835,5.87729331071147
"DB00116",7.83817104477972,5.67467200397183
"DB00117",-5.27210725717409,4.65673435449285
"DB00118",5.28702476111397,5.90259548533856
"DB00119",-12.9345926901646,6.62869892006843
"DB00120",-4.64738097098806,-0.348825252937627
"DB00121",-2.23898868290329,1.41980275087002
"DB00122",-11.9178341411768,1.80103296923139
"DB00123",-7.44700012389548,3.08595286567585
"DB00125",-4.99050769224976,5.31999513292742
"DB00126",-5.2719303986339,9.84064603207616
"DB00127",-6.78891524841505,-2.9739344507667
"DB00128",-8.92611178898235,9.55218706608369
"DB00129",-8.38574479436993,4.40644685697556
"DB00130",-7.47134175667169,6.66412593310635
"DB00131",3.82354103789145,9.17614729608129
"DB00132",-4.71574805837805,-3.95052686814031
"DB00133",-10.2147892088568,8.44947460679597
"DB00134",-8.56243469706488,3.67355049760625
"DB00135",-3.98225678338036,2.16247365727294
"DB00136",1.03323107885539,-6.73974627291399
"DB00137",2.16906604810504,-8.91175228691959
"DB00138",-5.50365732636979,6.98195742401616
"DB00139",-11.3221958240638,7.24126507305602
"DB00140",5.35735556991074,3.43785278884997
"DB00141",-3.19708857361854,7.30364020585467
"DB00142",-7.73398985481285,7.55826305145378
"DB00143",0.419974705581111,8.56707692979183
"DB00144",2.08364129234415,10.2683810348857
"DB00145",-13.4381319234332,7.59033755757557
"DB00146",0.0775435851540731,-8.64340448958674
"DB00147",-4.95554309887446,1.85288550132445
"DB00148",-8.83815241499283,7.26496021332763
"DB00149",-9.08594914007231,2.30398327231351
"DB00150",-0.749147498748564,-0.675476041253048
"DB00151",-10.7528597386033,6.8393675658822
"DB00152",-1.13204026809227,-1.04943642027941
"DB00153",-0.630231889362738,-9.7320713387806
"DB00154",-4.2002767250591,-4.59075400705517
"DB00155",-4.98949891495648,5.78691980203004
"DB00156",-9.31086595297839,6.74556200249753
"DB00157",14.776255561653,12.7278199782784
"DB00158",7.81396607625314,6.0575889154514
"DB00159",-4.18623573999984,-3.69378940187075
"DB00160",-12.1218267539322,6.2510440378367
"DB00161",-10.4534275071423,3.93256950398722
"DB00162",-4.00392489419349,-6.83852368325386
"DB00163",0.0851186254831644,-8.96889257660287
"DB00165",-5.29723414248281,1.43929329251726
"DB00166",-5.4539522566266,-2.00295729802061
"DB00167",-9.17771769699523,2.37210495639242
"DB00168",0.582150855037937,4.07551166613331
"DB00169",-0.988646701526177,-10.0477491083691
"DB00170",-6.78087938736018,-2.83571114336559
"DB00171",8.08163615146994,13.8031893432495
"DB00172",-9.37503587344963,3.057330001974
"DB00173",-7.21837045469915,3.03698683198174
"DB00174",-8.54738672687032,8.39630469860002
"DB00175",3.59676408443199,1.41078034128338
"DB00176",-1.31852789848535,-0.557864847437921
"DB00177",4.39354428283876,-3.19852446879703
"DB00178",4.28110786637633,-0.600904637259671
"DB00179",-0.55659718714928,-2.57623262556936
"DB00180",5.22739675064722,0.212836778378874
