"","DIM1","DIM2"
"DB00114",6.32766658644298,1.04605620729957
"DB00116",-4.66155067874103,0.813039457837014
"DB00117",7.80261757643134,0.248329952965955
"DB00118",-2.15304882229572,0.185587187709099
"DB00119",10.9900331712881,0.176030943401262
"DB00120",6.23485465724789,0.155592500113018
"DB00121",5.16538153082117,-4.14327084415542
"DB00122",7.50161816692988,-2.42957120609368
"DB00123",7.25528933308589,-2.97419578060562
"DB00125",6.43801197918941,-2.86124318139332
"DB00126",7.78674105046576,0.498168181728638
"DB00127",3.23834007170304,-4.32280066703002
"DB00128",9.34220185569314,-0.793312785998782
"DB00129",8.31745295881086,-1.63098738484832
"DB00130",8.41741931221877,-1.48861076834018
"DB00131",1.55694719863641,1.333450597491
"DB00132",0.959228001783321,-7.62021023109943
"DB00133",9.889288863392,0.0595709437800617
"DB00134",8.86584092391547,-2.66561874092357
"DB00135",6.07259764979508,1.22669782100744
"DB00136",-7.69989718221104,-12.2757999853495
"DB00137",-12.179976673363,-8.95474129178347
"DB00138",6.3163502288758,-1.91243589953886
"DB00139",9.65374813399676,-1.20374560475715
"DB00140",-1.13181304599546,4.04908496143589
"DB00141",5.7944598019524,-1.78056453021685
"DB00142",8.70518011418375,-1.32720091539984
"DB00143",3.44244548275334,-3.35968498713525
"DB00144",-0.0755033222701119,-4.75382405406839
"DB00145",10.9667582902114,0.107253723539217
"DB00146",-6.89340251111723,-13.2970388287402
"DB00147",7.73968840616196,1.78696577532164
"DB00148",8.88450008668321,-0.554710832287792
"DB00149",7.19218536723903,-4.40372839028729
"DB00150",5.02591576348425,2.28843868325905
"DB00151",10.0529442565216,-0.228127327170773
"DB00152",3.00545447460296,-0.925978921320131
"DB00153",-6.30491657200752,-12.952013001524
"DB00154",-0.707320683332337,-7.99822852425218
"DB00155",6.7530131917717,-2.92197047101445
"DB00156",8.75527143852218,-1.85409210758516
"DB00157",-10.9464461392184,-0.803217169694219
"DB00158",-3.68947777469838,3.50489897641776
"DB00159",-0.127811429109695,-7.13750772335238
"DB00160",9.98478941231899,-1.3638265414359
"DB00161",8.69916828654385,-2.3288890954919
