"","Smax37","Chiv6ch","bcutm9","ndonr","S9","mChi1","Sfinger16","QCmax","Arto","GATSe7","GATSe5","MATSm8","MATSm5","MATSm6","MATSm7","MATSm1","MATSm2","MATSm3","nnitro","MRVSA9","MRVSA5","MRVSA4","Qmax","Smax11","Smax16","Smax18","PEOEVSA12","PEOEVSA11","QCmin","Smin11","Sfinger24","Rnc","MATSm4","Smax8","slogPVSA11","LDI","LogP","EstateVSA4","EstateVSA7","EstateVSA1","EstateVSA3","S12","S16","GATSm2","GATSm3","GATSm1","GATSm4","QHmax","bcutp1","PEOEVSA2","PEOEVSA0","PEOEVSA7","PEOEVSA6","PEOEVSA5","PEOEVSA9","PEOEVSA8","slogPVSA2","slogPVSA0","slogPVSA4","EstateVSA8","AWeight","Hy","QHss","UI","VSAEstate9","Mnc","QOss","J","QHmin","IC0","Smin37","nhyd","petitjeant","QOmax","Smin16","Smin8","Geto","Smax35","Smax33","bcutv9","QNmin","bcutv1","SPP","Smax34","GATSp5","GATSp4","GATSp7","GATSp6","GATSp3","GATSp2","GATSp8","bcutm1","SIC5","MATSv2","MATSv5","SIC0","PC6","S7","MATSe4","MATSe6","MATSe3","naccr","S34","Smin23","Sfinger12","ATSm5","kappa3","TPSA","Sfinger53","SIC6","GATSe8","GATSe6","GATSe4","Smax12","Smax15","Smax6","Chi8","CIC1","Mpc","IC2","IC4","GATSp1","Chiv1","SIC3","MATSe7","MATSe1","MATSe8","Chiv3c","bcutv8","Platt"
"Smax37",-0.138829666868703,0.150350843241089,-0.00333580149246024,0.095063471155691,-0.0388629298626194,-0.0162105777140036,-0.0378349067092261,0.0237713198713589,-0.0241282070550377,-0.0019100444581919,0.0469941620075797,0.0184463680143826,0.0246311236721372,-0.0318058302054407,0.0414848625317933,-0.0259977761611378,0.0549975262647123,0.0729733390055195,-0.0613648308641049,0.0123277947396206,0.00879827986878041,-0.0286150231272828,0.0112120600072854,0.051431754415957,0.0218629008719256,0.001767946620074,0.0262117202427491,-0.04644547207094,-0.00220626838820127,0.063464965531829,0.00296055557089415,-0.103862926063883,0.00647435718662594,-0.035538651705957,0.0102683214203471,-0.0051136578119125,-0.0623094264288553,-0.110688213057131,0.0335369080046964,-0.271079442832451,0.0129805069185016,0.0718407447897936,0.0479770813832925,0.0545525985986474,-0.0876675876163185,0.115778863094877,-0.0745957700322882,-0.0612532447824585,0.0672737990079329,0.07036456736593,0.00117180514302794,-0.0736147815063517,-0.0201224002636459,0.0527866529965663,0.0630113252613832,-0.0256743823075291,0.0127281665994615,0.100146761591992,0.0124527915186922,-0.024009985299988,-0.0418276266953233,-0.101464787419238,-0.00897243735096478,0.00639316812097482,0.0141884477120665,-0.0225672660408367,0.0262488674463151,-0.0188325327488266,0.0169987459853628,-0.0189752816332362,-0.0421562325701264,0.00256742920165847,0.0389931431273756,0.0290357101579192,-0.0213651605228462,0.0142869948055242,0.0491881323246924,-0.0917176753019923,0.0203263171757143,0.050809282902615,0.111930947095371,0.00726946140517278,0.260310352043518,0.00417475570643267,0.041166851075689,-0.0241077093322121,0.221692957588942,0.143409389315274,0.044699170365111,-0.200703585944999,-0.0646764399520698,-0.0348098286267955,0.0997654829496375,-0.0711974133839001,0.275639977654619,0.0516275531074645,0.331896686608021,-0.162418774078436,0.340214044384902,0.086822995922614,-0.0694373065903717,0.110496596990217,-0.0334548977489571,-0.0606103456858376,-0.00994737201786157,0.114744715853877,0.176005857288649,-0.0954309397534156,0.0350555145222902,-0.0778871808932236,0.126341463140029,-0.0279733182396759,0.117310616796364,-0.0786066134688055,0.0722071267258612,0.102344071888638,0.0677776034641678,-0.0563688757895233,-0.0432804933918335,0.0334219473919743,-0.0249647590030205,-0.014010902125939,-0.00307655598553563,0.0102136417271035,-0.0370794553151156,0.0390930204439581,-0.0275963776786386,-0.0063070209664931,0.000439442315672884,0.0165531358304997
"Chiv6ch",-0.117423027802203,-0.0442925972892483,-0.0164135588815088,0.13351432178994,0.105381399628787,0.00753414341609073,0.00402708280409197,-0.000691612818640178,0.0380487926308837,-0.0710379375413596,-0.11302676091513,-0.0432654213071935,-0.0475572380992593,0.034035039413497,-0.0401956683254909,0.0225509341047017,-0.026181874519742,-0.0352597483355302,-0.0417940607279489,-0.0679740582639614,0.0441397829760236,-0.0328895284715733,0.11151879670039,0.0677549833878177,0.17342318887131,0.0394078237589333,-0.086217524847965,-0.0237639466681259,0.00579797065551597,0.00667355508968668,0.239034898870007,0.0406183381832519,0.116904649458344,0.15027495029971,0.234993813425809,-0.0235718126595158,-0.123984655387283,-0.0551517642981278,-0.079084285585204,-0.052338015037243,0.0747735340523388,-0.0253829548918061,0.240983378710116,-0.352264373959724,0.0916888642995837,0.0144971555642582,0.185313504827299,-0.00269467560819035,-0.0520722021144562,0.0206884755269161,-0.047736228786233,-0.0346259466982631,-0.0494646355168985,-0.00911002243302857,0.332738858061698,-0.068608529816696,-0.176035392362406,-0.143659553932463,0.191386546157995,-0.017749190657339,-0.0516919902038408,0.00267724981066516,0.236256579708716,0.0775763510666092,-0.0477789946848501,-0.0947420746613464,-0.0858652245324825,-0.0667028988041904,-0.116534860085588,-0.0375230855247224,-0.0290495300821447,0.13613049382086,-0.188222056688985,0.0129383612972952,0.0452794913589083,0.0526124551755141,0.0486265639976785,-0.0612503057346153,0.167352946664141,-0.00813809974880012,0.00565363393407174,0.0638381381360517,0.00120654784266808,-0.0436515294792054,0.0196109124807555,0.00780871118556068,0.0490793853508422,-0.0548567760767166,0.0221908419692618,0.00596816309789464,-0.0291567412903646,0.00810748506609692,0.00131497728626683,-0.0134537895206353,-0.0619726602152848,0.00764924184922162,-0.00496663062546968,0.00312124804561639,0.055650601698369,-0.0668373171802761,0.0240999778695918,-0.0295856628373961,-0.0198839684001598,-0.0041976951606952,-0.00886850447971695,0.0266468771718844,-0.0386769577005496,0.0355679445081805,0.0544984665344191,0.0319196879309527,-0.0069416798711629,0.00669484974839263,-0.00230690557871409,-0.0149219855440629,-0.0249222694195807,-0.0424668456805504,-0.0181087306878389,-0.00192206854262202,0.026275508076249,-0.0317130501280803,-0.0168265730722132,0.0142365740718702,-0.0046444022073567,-0.0324529722933183,-0.00877159147687018,-0.0001841792816605,0.00330223789261545,-0.0100751300171759,-0.00180960209896179,-0.00291090562879178
"bcutm9",-0.17567483748388,-0.0194890541172613,-0.0435451575405737,-0.00358256766515151,0.00989567753697066,-0.0146954040214613,-0.0958952440869065,-0.0223148670781151,-0.097918438694127,0.0306299876752789,0.000295359005595439,-0.0494831427284867,0.0874931562571368,-0.0789427772507603,0.0532038831390812,0.0165256390992193,0.0278206714184769,0.0128759653944865,0.0809871736555819,-0.0666566866694646,-0.0465088825528984,-0.00995764968193753,-0.0204170719000802,0.0304794878651598,-0.0307627118160298,0.0705953450024308,0.00682245707112304,-0.00141943792682458,0.0211044434444148,0.0581928900417982,-0.000453318097222087,0.0734289979133331,-0.0219410328352071,-0.0405404835653413,0.0173028713605279,-0.090038580630665,-0.043801653079977,0.00305767599878363,0.0220814103581498,-0.0236962223701654,-0.0407455532573067,-0.101776561974152,-0.0292541094672268,-0.0994523526263481,-0.0169637309124964,0.00479348976887067,0.0660637455967072,-0.0335128637559455,-0.00593360771550349,0.0116023596141414,0.0394214217440211,-0.01725340691368,-0.0337218614850579,0.0782264236053916,0.0303022340394318,-0.0392168915009275,-0.07705858050308,-0.068999458026145,0.104265496926543,-0.0612978732868868,0.0255422304541906,-0.0151352986449754,0.0255252114171632,0.0799415510278871,-0.0702748715917446,0.0942110117112381,0.0576466765868388,-0.0761003135847167,0.19925192532706,-0.0296347965753035,0.0323223402719342,-0.103738782982886,0.160065543916033,-0.0550450263614477,-0.00547032640144421,0.0612999086520526,-0.148775757642976,0.0358225479352757,-0.14286956778254,0.100856061792161,0.073115794825287,-0.142559902393904,-0.0421002846639961,-0.0278298315192679,0.054958629883829,0.0245396489227765,-0.150722083259155,0.0193037912145766,-0.0909055174251756,0.0205779218560991,0.159660345269377,-0.00340737900738564,0.0223838297185807,-0.0700398153022742,0.0635902740406593,0.0542945189288984,0.110548657861578,-0.0933427103341728,0.0355524009489838,-0.120038509313828,-0.138511267786084,-0.0113698584132575,-0.0841540357079458,-0.153608356760902,0.0300779898031239,0.0286915344707154,0.0172139096684589,-0.131579456628541,0.111111745186115,0.0547378876163621,-0.142256595452474,0.0373057144859102,-0.410537724031871,0.317248108147455,0.0714476399331094,-0.0187071485244061,-0.0927756116694943,0.0278141170347711,-0.20775482196696,-0.234462326566421,-0.0636111988052222,-0.070621506356949,-0.0145448821348755,-0.0263686540630368,0.0568170845484153,-0.00388854071971,-0.0473725780892787,0.0645503967420176,-0.0336600586456218,-0.00136111368558915
"ndonr",-0.0580232111288099,-0.0130433306370015,0.139135782769406,-0.00250195018840644,0.0708180098345561,0.174493217836365,-0.15883708042428,-0.14899594117918,0.0390734791387754,0.210846663335813,0.044449425902465,0.0662001242381672,-0.0871631725418136,0.0334138813819458,0.0207898849335938,0.0182341806236405,0.00498678785644813,-0.0939896581272379,-0.0288390170921387,-0.00500669568319442,0.0181331110658305,-0.0417065001475161,0.0716297670355613,-0.0596961301771545,-0.0349153673373293,-0.0742216622501008,-0.0295302258573126,0.0354947721527386,0.0949279814052989,-0.103678182360751,-0.0311136621521835,-0.0737896370643513,0.00482008481596791,-0.00674429742564857,-0.036265961756091,0.0045935082498527,-0.0473107933075364,0.0673865713016971,0.0278467089714099,-0.0432702732810613,0.0285132628559634,-0.126862830317198,0.0311058164370711,0.0727664451068822,-0.00399207449849452,-0.0838306306706788,0.0557355605486302,-0.0897188839690552,0.0108230095865657,0.00645068576294853,0.0193336494566053,0.0705241930487281,0.0690554647372122,-0.0104935891115435,-0.0696784028081556,0.0107656214976622,-0.0275360560434224,0.00961538593268458,0.00692844171960015,-0.056139066013189,-0.139841250928267,0.0945054875025203,0.0506611268883803,-0.0292172885427037,-0.132558142314598,-0.084957250145681,-0.0739389906966934,-0.00474314952196836,0.069505790474094,0.0562729309607567,-0.163617098107149,0.0628606569696114,0.106310127927949,0.0488633010885423,0.0258781618163249,-0.0178705231162043,0.00755413976114796,0.0169934402353555,0.0649257443214988,-0.0208089534656821,-0.0763831432123768,0.0812400945970954,0.00768220433098828,-0.0577197380714182,-0.0283568428392272,0.0438831392839839,-0.0398781802249018,0.0157103835959096,0.0539879442336909,-0.109632085467281,0.0245891405467415,-0.150171328558647,-0.0619270678599511,-0.049244490630386,-0.0179690938738501,0.0727400083987734,0.0746152351954898,0.120573024225068,0.0648017919805633,0.13346008727665,0.0621291743591018,-0.109983183980357,0.271146318171973,0.0369592512173148,-0.0741030888151767,0.168465619352077,-0.0321049391821969,0.269209662511477,0.157695962841222,-0.0512858015667197,0.118405701143856,-0.0286545673902598,-0.185389403436947,0.172738732883872,0.152188985947503,0.0740995681396025,-0.158037379238718,-0.104680491646182,0.104917305371092,0.180138462605525,-0.126846806764904,-0.0216673644599991,0.178673861069239,-0.0429957100093213,0.0856558998317389,0.0106663651202609,-0.010931915524873,-0.0248029514489232,-0.0184789529878863,-0.0233987264724308
"S9",0.00347888222873871,-0.0900723152905077,-0.0802059239816887,0.0153184073244918,0.186724810039099,-0.0236997328713453,0.0520304462232067,0.176817463125992,-0.0578286254027205,0.142288923751227,0.0569081750054799,0.165908144088279,0.0159445729205562,0.104780631391119,0.0127277591463486,-0.13733863491517,-0.0667660608497564,0.139417054806679,-0.101340345657248,0.0527233754664754,-0.042346044344602,-0.0907772397555318,-0.110052015213575,-0.0466976874430306,-0.0697805448566782,0.00251846540960224,-0.0928160642898244,0.0180179502233326,0.0408810194532579,-0.0867010329907467,0.0080540943624572,-0.079493059401728,-0.0205591200839933,0.0427099780590787,0.0630949475671577,0.0341009146728292,-0.0144334912468643,0.141078838786915,0.0323077006051646,-0.0389165720943855,-0.0456606114029484,0.0507547716193477,0.0284524281764595,0.0659408685883597,0.0580924434798519,-0.0215578539993545,-0.00438031187064209,0.144585618344568,-0.00691849432552258,0.0800374367026888,-0.23874035561345,-0.00571191209480158,-0.174661949465541,-0.142008683796805,-0.0774287850818788,-0.168993729937185,0.152267507836485,0.000604532822598876,0.197809667779119,-0.0512617763545983,0.112035300363867,-0.0781560135470551,-0.198227412178651,-0.0290455638473543,-0.0397902727170201,-0.0415047341862535,-0.236470646426213,-0.0583018473681372,-0.0839522706026171,0.0473476966547092,-0.0731329083692669,0.171413915420577,-0.0281619262169443,0.254378712227222,0.0593183060515216,0.21130434058587,-0.0769573752031707,-0.127510332645455,-0.223282387206567,0.0935362902360039,0.0978444296317106,-0.0357195724943214,-0.0146048838821064,-0.115464050976598,0.0346747360758037,-0.00144469398565074,-0.020337027831576,0.0658206339441994,0.0524715737407556,0.0229856605659755,-0.0254100613287573,0.0517583075266378,0.0560471464297475,-0.0319413046060862,-0.0789438998417789,-0.0606789547085913,-0.0450750010513965,0.0255263142348052,0.0447700600346524,-0.108231981988779,-0.0171347142289214,0.0521924521856299,-0.00831569122336593,0.0591350887845606,-0.0428784481313738,-0.0345798483238025,0.0210549823738065,-0.0154111734227328,0.00335014660879894,-0.027244880751003,0.0774752727654302,0.059781833653873,-0.0970198421637916,0.0169562181164159,0.037678305316838,0.0290833658728615,-0.016329245962738,0.0171780678508137,-0.00434869842810948,-0.00933713434724053,0.00295869173506355,-0.00149924080613982,0.0102309397305457,-0.00936937717338231,-0.013693709674872,0.0114652714691723,-0.00803382268135118,-0.0292267086735795,0.00848612994833901,-0.0118728653258633
"mChi1",0.0226183322279994,-0.137754097757068,0.00861498242246669,-0.24790616420555,0.0127317883341098,0.0773301495026247,0.0326145438795334,0.109495640450123,-0.0362530170215007,0.0342692347315382,0.0232892379478247,-0.0371100567204892,0.0859302056567136,0.012823299409123,-0.0174801833536449,0.0222796646667656,-0.0275045108815025,-0.166434411002632,0.0623348585304755,0.020533902657496,-0.0837596169285688,0.101746676344636,-0.135131600535329,0.0109745587508473,0.110433416318159,0.0244600019839192,-0.00818670605106542,0.034689788246235,0.0775594013844132,-0.0225858428554036,-0.0413528437878555,-0.024144901287887,-0.10803772358116,-0.0572064258470001,0.0223415664730254,-0.131126586519367,0.122473334949763,0.0102937789880337,-0.010493632236212,-0.113503163018537,0.0298874584355267,-0.00840542057385552,0.0322483928143446,-0.0878829096248805,0.0575574007733866,0.0823056589683708,0.0257999889045047,-0.0231196612335308,-0.0277731540270365,-0.0347787221291395,-0.000458655902369773,-0.0658208193186643,0.0838058614148278,0.057677170943481,0.156874981431984,-0.0189102384485794,0.0637592771894077,-0.0997796657001648,0.038979219319663,0.0207821710101229,-0.182924161580581,0.0279268178238527,-0.294781584555189,-0.130203487467637,-0.0812258366542838,0.0539491835403048,0.0208380250798282,0.100750314975271,0.0594309547377347,-0.0157431064604186,-0.066739645929915,0.0801903037450189,-0.0185833311176969,-0.0682629358576042,-0.0578623706936639,0.0419095693900495,0.0253729257305158,-0.194174271763833,0.187049571689029,0.0454131871192411,0.0342612805048908,-0.0467122526463266,0.0614998167527195,0.12513570700546,-0.0419565677359565,-0.0165129261426473,-0.000872180937436103,-0.00735212648584411,0.109950455934759,0.126336704451472,-0.0843885600698995,0.103159459093948,-0.00460578283825373,-0.0893703315775961,0.0658758576721912,0.0605761405265909,0.0480811253614176,0.0207244170049981,-0.0840209173465562,0.0322046266747295,-0.0159643722403177,0.0260284270906248,0.0365901004892527,-0.0576176420994092,0.0448306557114306,-0.0628933295824941,0.00392641125319963,0.0208172414318151,-0.0514175925126263,-0.10821866710818,-0.070997212600207,-0.0385902324711629,0.0586874697410123,0.0727000405784014,0.290294331668271,-0.0066300264431221,-0.102086597875958,-0.0354276190031485,0.0860883509815231,-0.101259780929337,0.19301328221529,0.00968384743068804,-0.0429006968232872,-0.0578389258870804,-0.063010388526114,-0.0475957103783057,0.0589550434830913,-0.0343763736199086,0.144678197577344,-0.265957352012345
"Sfinger16",-0.0263480489335945,-0.0192631030697994,0.0988642031152496,-0.00993700265722926,0.100199286919365,-0.0499895638156357,0.0265685492352448,0.194271232975283,0.232418989388503,-0.00836497017267733,0.164487432678038,0.0227785690639902,0.197605405787722,-0.0900228289017217,-0.0102049963789769,0.0728174647492797,0.0756317341440203,-0.0717882125542089,0.0911780205506983,-0.0339556038789735,-0.00966325260886194,0.135828625993582,0.202021691640106,0.00083136213316658,0.0326853545474433,-0.0441942112299806,-0.0923444940996808,0.00886570225576186,0.0390961600329054,0.0778444181900837,-0.0195030841408014,-0.000667441569176111,-0.0013219423609569,-0.0699527844241116,-0.114418251017768,0.0846219214191059,-0.0541208777566633,0.0154174939128521,-0.0469472536824471,0.0563495040534417,0.116803946364091,-0.0292890909444271,0.0243348033411408,0.121681528704511,0.0290870582285764,0.0950355483215266,0.00131931195648851,0.0535987342168158,-0.106865158539662,0.0286877437524322,-0.072594328769172,-0.149339130531361,0.192689209893214,-0.133325383895488,-0.028195214759905,-0.0161688455791506,-0.149123715794844,-0.036239828942353,0.220071988415885,0.0176576464358906,0.0168997863238704,0.0911545551806975,0.113586827262075,-0.179686964347592,0.174254531748769,0.171949126444047,-0.0865393623565636,-0.0445737168503455,-0.0975144870721119,-0.0614927638023057,-0.00950855311403008,-0.0978355342445526,0.00819323577642873,-0.0143227440449647,0.0331025951241027,-0.0423677897280692,0.0236314188421066,0.0761459043796411,0.000122262370841219,0.00178872556585886,0.046213653571381,-0.0202151377327134,0.137485520878294,-0.0345231263106073,0.0428675244511465,0.0852845799068827,0.0175454355139259,0.104484264881066,-0.064366764151335,-0.149413756619639,0.0183987018407274,0.0251594151325278,0.140936650678561,0.0121768793561093,-0.0133107378100237,0.174169919145689,-0.229271085013913,-0.0349037766220367,0.0517714493111416,0.099227769444134,-0.0248086623676641,0.0534655936410849,0.123630880087417,0.15998235185132,0.00619139427907562,-0.133051351830486,-0.00938922481970114,-0.0689138487298544,-0.0810094321686137,0.0474355859967084,0.0683161033759413,0.0287432516300012,-0.052946892973577,0.0469390317914746,0.10207228387556,0.00555262530074878,-0.0903082875908317,0.0315716903823937,-0.0527131297192329,-0.0461794016541817,0.00718955133308744,0.00326758483160034,-0.0321205110153517,0.0464975007653353,0.0118782762806252,-0.0277151348168099,0.0319423464531961,-0.0226156089833168,-0.0276029935037489,0.00375746074064962
"QCmax",-0.0116051536167792,0.0106698571674195,0.02067122399403,-0.00570773669920749,-0.102113145239477,-0.13560677211078,0.058569379065615,0.0899310642595478,0.0239816110679478,0.150217414376898,-0.0454046457834134,0.182840912398611,-0.315479348151793,-0.0333410631144118,0.187487538320686,-0.0123703887860043,0.074825325551091,0.0407017364971847,0.266780845809567,0.00483922873952534,-0.0337628831151653,0.0484126023648341,0.0456714505574019,0.00522795970734283,0.0479474081876788,-0.103255930736271,-0.0564299864751035,-0.0195440755065299,-0.0736047380350455,0.0364895914554536,-0.0649100331522736,0.15445101079849,0.0691594874837612,-0.12589720579909,0.120686162013959,-0.00963449208974438,-0.0885682324204297,-0.0796438442525488,-0.00715945168355794,0.0634041198162492,0.0551262576106563,0.0542230944709813,0.025105007262617,0.05514811996967,-0.0977869690534633,0.0995103096470394,0.0263563937904853,0.00799887720481615,-0.0647891889472458,0.121466752021655,0.0621131698413988,-0.0128030083336192,-0.0186897046715479,0.00479060997250292,-0.169015499915936,-0.0530569105588332,0.0571691298815142,0.0195335021638554,-0.0198947826142689,-0.0934430415673091,0.00828323725200718,-0.0518310646997667,0.0157920519003902,0.105221213568615,-0.188555814825324,0.0857889979801729,-0.246456309081019,0.000163599378568555,0.0509779504951612,-0.244983441193452,0.0469611658543912,-0.10185488718474,-0.0786841268476079,0.157948798125348,0.00746721403901786,-0.149031267750898,0.130145569531832,-0.15619153956888,0.178792307291318,-0.0133872547847301,0.0571038622041199,0.00596050401529839,-0.0677983856034011,0.0849651991826952,-0.0662837156054822,-0.0400184026680896,-0.0558006956256766,-0.158022359667141,0.0551162567673043,0.0403944540318727,-0.0143772770907792,-0.0315906188070377,0.0300356579401,-0.0273981802468022,0.110307190698192,0.0951488985017418,0.0350146070601084,0.181670451615048,0.039582181210456,0.0164306470191539,0.0333822887492464,0.0188550479474151,-0.0836928193008097,0.0375647542064936,-0.100262378570431,-0.0411329874417669,-0.00351825949433443,-0.0278596343203881,-0.0475344659915845,0.047975871444071,-0.0603746632480249,-0.0155471677690276,-0.0712490206951212,-0.0268854923949945,0.0267854937187203,-0.0358915399138937,-0.0146190002722324,0.0395093782260427,-0.0130305481577813,-0.024529732732496,-0.0145894027558428,-0.0453402018770762,0.00658516369455186,0.00101235457634166,-0.0180862734005748,-0.0174796689929881,-0.00745856289278581,0.00141976592695775,0.0033545228402584,0.00340104350485754
"Arto",-0.150628957786455,0.0376538308948334,-0.0158834666135514,0.18342470373306,0.0477692477204509,-0.0651929751237578,-0.0505668126202829,-0.0127075293892241,0.0169719658666514,-0.0515988510095024,-0.0615123825151182,-0.0347262198225272,-0.0501229066852051,0.0162491290833649,0.0133443453198761,-0.0455755130019148,0.0137644234499549,0.114436474869599,-0.0659811729834418,0.0277452793391638,-0.0244199407798095,-0.0485567526858372,0.100017510214438,0.0399946069968658,-0.0578663629305024,0.0111231837191017,-0.011855226404248,-0.0528912857902455,-0.0456651034306715,-0.0211747311523752,0.08249244332542,-0.0659646700501897,0.0468883388326887,0.0712745021692143,-0.00886127912108149,0.0983618239576364,-0.0860277222660016,-0.0428379339526921,-0.0276901330134639,0.14126246102295,-0.032170387165893,-0.0809883292607238,-0.0411459085256742,0.131335845062763,-0.0498228355888321,-0.068431002331855,-0.0138953659197147,0.047903083527108,-0.0342423229326834,0.0293839418063856,-0.0183369300357614,0.0430371459909794,-0.0710871528740763,0.0271395656246283,-0.120562145221882,0.071923548800951,-0.0170321845946254,0.0271399721306278,-0.0480737709325855,0.0691666707038429,0.118706604591502,0.0853084295113159,0.0789049921736077,0.0257437208089655,0.09019227680245,-0.0503536176619157,0.012482988871008,0.0683180061327823,-0.00890426576992939,0.0619101239160884,0.0502397848895241,-0.065614080038614,-0.0379790052330123,0.0516684046236644,0.0495326905550391,-0.034768266244091,-0.0416148114332405,0.0492282058665288,0.0458125663864432,-0.0244671520747337,-0.068231731162311,0.0997439354083979,0.0180524793268097,-0.15120933437535,0.00799490094311615,-0.0325048133580122,0.0237527437115469,0.013383476010518,0.0380122552443254,0.0954060609860824,0.0456518449800097,0.0889769375935163,0.0476375795033236,-0.111455312286124,0.0144131335590632,0.120648287210886,0.0637740150047122,-0.00946508844597025,-0.0335834488767085,0.00565558166194681,-0.0359919027832515,0.0150004296018034,-0.0373444691355523,-0.0176875064212742,-0.0187248628275884,0.0161987607308064,0.0127163116766619,-0.0070386747600585,-0.0128867393289579,-0.00414553729396712,-0.0672275590473242,-0.0305596036698607,0.0206922651559824,0.0388938638573181,0.0970844649706958,0.00936330007500374,-0.0316754288245383,0.0169637430104133,0.0158655379996511,-0.00367341367808,0.0483659902190523,-0.0161519214333664,-0.0446949627880103,0.0439417232513959,0.0156056780605204,-0.0867409832223369,0.0139050772708408,0.0289976801243857,0.235298333568496,-0.698707559102122
"GATSe7",-0.111162628414597,-0.0259998225838385,-0.00686323650940688,0.00363334360062419,-0.152695780575099,-0.151576538311275,-0.107903598678801,-0.0297568038865988,-0.0216051026574633,-0.0162460757630728,0.0468704375561524,0.115045428838758,0.107025641278109,0.163276804631484,-0.0250569284713245,0.200690783649258,-0.0580490819707898,-0.00981784518186004,0.0868297317217867,0.225406613327761,-0.00633875429304691,-0.091133334377725,-0.012090522952396,-0.0296614271899723,0.0423514217694511,-0.0232476549895454,0.0126722751463128,-0.0176269587047996,0.0256805066524052,-0.0385683485306961,0.0279015921295104,-0.037327269513038,-0.0165485151060395,0.0282971176651101,-0.0154886139136419,-0.0113238060531075,-0.0285233436030501,-0.0144973093621467,0.0185776280540968,0.0611528715284908,-0.024327635540976,0.00627927424750913,0.000139628474324608,0.0345037932187197,0.022772254746766,8.59799270761352e-05,0.104294717755452,0.0110380959584554,0.0279555404013846,0.00663668459154859,0.0352815447059612,-0.00563899624523687,-0.0674720430992734,-0.0173404385068565,-0.0459602117442646,0.0433588221084198,-0.041355790382674,0.0237446117851772,0.160689564821145,0.12954510402015,0.0160995111875612,-0.0739271910564533,-0.105062076295361,-0.123729727689047,-0.0792592639749159,-0.181953563255482,0.0484820893272438,-0.110785273921074,0.0176468445961241,-0.0383176582830155,0.0481916301274087,-0.0962776162721163,-0.0788392003460451,-0.0674689750229201,-0.0216740797202645,0.0548795935455754,0.166318909401076,-0.00489195653701687,-0.0295320803106446,-0.00428499318895506,0.00984061776649911,0.164274261705862,-0.127810794562236,0.104941178937578,0.0333381691568787,0.138040208511493,-0.0494770547761723,-0.0131811382579693,0.06358637498333,-0.0111338728389991,-0.128155426986103,-0.133379801350325,0.0580164636503403,-0.122110010918458,0.112347359087977,0.0448639059311569,0.0273618122532405,-0.102799671117125,-0.0476953536191668,0.0101507197242739,-0.142107712318775,-0.22099617397557,-0.0383271186085235,0.125149984976232,0.128150533653997,-0.0533191678955531,-0.196731965739604,-0.0486636545827958,-0.025464535680553,-1.91995083140387e-06,-0.0121806441239376,0.0652531100743434,0.0169274979980077,0.0125694198700119,-0.182597934789908,0.409862974094255,-0.106608159755159,-0.0320513570660892,0.0462778472592691,-0.0734745381249844,0.00368615900277947,0.0278802981558783,-0.00457089287367532,-0.00778556253823411,-0.0114977961992835,0.00850945655369206,-0.0029354621822402,0.00630545627676279,0.00116540003982174,-0.00105202361694312
