"","RDFM10","RDFM11","RDFM18","E2u","E2v","E2p","E2e","E2m","Dm","De","Dv","Du","Dp","E1p","E1u","E1v","E1m","E1e","ASPAN","RDFM7","RDFM5","E3u","E3e","E3m","RDFU1","MoRSEE30","MoRSEV19","MoRSEV13","MoRSEV12","MoRSEV11","MoRSEV10","MoRSEV17","MoRSEV16","MoRSEV15","MoRSEV14","RDFM15","RASA","MoRSEM18","MoRSEM19","MoRSEM10","MoRSEM11","MoRSEM12","MoRSEM13","MoRSEM15","MoRSEM16","MoRSEM17","L3e","MoRSEE8","MoRSEE9","MoRSEE7","MoRSEE5","MoRSEE3","MoRSEP20","MoRSEP21","MoRSEP22","MoRSEP23","MoRSEP24","MoRSEP25","MoRSEP27","MoRSEE29","MoRSEE28","MoRSEE21","MoRSEE20","MoRSEE23","MoRSEE25","MoRSEE24","MoRSEE27","MoRSEE26","MoRSEV28","MoRSEV29","MoRSEV26","MoRSEU22","MoRSEE10","MoRSEE11","MoRSEE12","MoRSEE13","MoRSEE15","MoRSEE16","MoRSEE17","MoRSEE19","MoRSEM7","MoRSEM5","MoRSEM3","MoRSEM1","MoRSEV5","MoRSEV30","MoRSEM22","MoRSEM20","MoRSEM23","MoRSEM25","MoRSEP7","MoRSEP6","MoRSEP3","MoRSEP9","MoRSEM30","MoRSEP8","P3m","MoRSEN26","MoRSEN27","MoRSEN24","MoRSEN28","MoRSEN29","E3v","RDFU3","MoRSEV18","RDFM14","RDFM17","RDFM12","MoRSEM14","MoRSEE6","RDFM13","RDFU8","RDFU9","RDFU2","P2v","RDFE21"
"RDFM10",-0.142092828587617,-0.033956083895185,0.016988520066315,-0.0441827998101087,-0.062171812606035,-0.0760377646129704,0.106904404690293,-0.0587367594821379,-0.0408367743032716,0.0831479350177032,-0.00177226622509677,-0.00298710979590831,0.0258122662974908,-0.0652845698768662,-0.0123622864766486,-0.0782825456908919,-0.0254354165420003,0.0135468494465589,0.0762302528227614,0.00229007404689352,-0.0879690637712511,-0.00927028016025971,0.0894980234557207,0.061815200191313,-0.0158851206374229,-0.0552485534660939,-0.0212930441215695,0.0311490222228763,0.111225672529528,-0.0395860074233929,0.0892271945392835,0.0309489755978696,0.119569713262155,-0.0965803093023963,-0.140443078126976,0.321910357927225,-0.0292029884617093,0.0431135420841952,-0.0568869756159748,-0.0361486472286919,0.122972862562061,-0.08400070636601,0.103311374340218,-0.0129496962643346,-0.117716706670455,0.0522448434074484,-0.0724578744330584,-0.0640427199185418,0.0771255556934746,0.147260817110483,-0.169175477205479,0.0795632342998844,-0.0645449192678545,0.200859986470051,0.0804765525470261,0.138064641173353,0.0224378047597169,-0.117057333178781,-0.0635387495311827,-0.00256270655977989,0.045482824154134,-0.0714811565107586,0.0603765754558321,0.0440863102866341,0.189602984996335,0.140423458031579,0.032495034297362,0.111663950040622,0.0275004864175255,0.250102841590521,-0.179248487340281,-0.128869921051042,0.0613041405456794,-0.107841916123478,-0.152435639120494,0.000704273070318909,-0.00633001600166838,-0.0161857350837797,-0.0356383872814495,-0.0936999319290062,0.00891725329492955,-0.000396470917340124,-0.0563929697769853,0.0385192445870215,0.126591583016935,0.0369201283951313,0.0152470837259384,0.152163271760271,0.0391276782535635,-0.00459662640240826,0.168653793288764,-0.0856352238772391,0.0661957017449015,0.187169669298992,0.0375583098180299,-0.0718285785414941,-0.0567447763919623,-0.0286941099338395,-0.177197006431997,0.122055790351676,0.0206042582224873,-0.052007098880093,0.178293350174343,0.00252539801002905,0.0961035269699038,-0.0324549021047687,0.126917084671796,-0.0448561450152681,0.11545344106138,0.113386385741836,0.047668695410751,0.0135215574278703,7.70086003887652e-15,-4.61455787328916e-15,0,0
"RDFM11",-0.147407527722509,-0.030201721666083,0.0276453531260696,0.00587503094063276,-0.0799671450859886,-0.0710796194021675,0.0999832112570181,-0.025315985565266,-0.0310693060822212,0.0363637130025338,0.00513120707715358,-0.0421660156192907,0.0214633895910282,-0.0341862801335142,0.0120593862418485,-0.126124730733009,0.0406242736892761,0.041599922492051,0.0752569261668335,0.0151789677388677,-0.0577365417599206,-0.031019995793407,0.0347770375208337,0.0829175535485131,-0.0276182436765177,-0.0518203671018621,0.055768568002084,0.0312475600507374,0.0218064801901886,-0.0370448979474099,-0.0396235516345715,-0.0285423661931588,0.0246812716190877,-0.0700839591983161,-0.107581441667938,0.0772589940832389,-0.023802133767945,-0.0857276080630555,0.0854950792776016,-0.0500133521773611,-0.0619780520595476,0.21408108797756,0.00501440914202749,0.0313039554053817,0.111098368562397,0.170161074449664,0.0377443032656978,-0.0600797789618348,0.105258673525339,-0.176198969544527,0.046078171950805,0.0568314145512039,-0.0483007728489267,0.245460861345231,-0.00892171298861325,-0.176868720187018,0.0863366990658836,0.0274163365943574,0.176068080134008,-0.0780446502683203,-0.125954623136863,0.0339217996042377,0.0229923465548765,0.0905050118110762,-0.123362061212287,0.0888215519107814,0.0938665913080727,-0.184619399658383,0.0381326470053797,-0.190488077910982,0.228567177577287,0.204054826283896,-0.131577502579068,-0.0477250503405483,0.0635136950592051,0.075751294441738,-0.0401636597773658,0.0408731204906352,0.123440955649616,-0.162880181009895,0.123424693204848,0.131149417196984,-0.0872285714022347,-0.0369491991033648,0.14825321858591,0.0558326108688116,0.12648383635298,0.038378838574135,0.0189479442281272,0.0296635416399177,-0.054589357240819,0.0934086612403448,0.0531743387359947,0.0544760915169455,0.181429682533141,0.136964011051965,8.57521766616607e-05,0.0332959520988236,-0.0855187155897391,0.195033604324271,-0.04598126669463,-0.234921941349341,-0.0435326586865274,-0.00272414808016404,0.0131203862561738,-0.0693731997187753,-0.0232778907015459,0.0357981075430082,-0.0205268643537724,-0.0970565789528506,0.0136570374103529,0.00968700696016354,2.3457566678531e-15,-1.96238313210618e-15,1.13996486865389e-14,-1.85076059274939e-15
"RDFM18",-0.150562861309587,-0.0183287517029949,0.0223297934218753,-0.0484147522007239,-0.00307430904046613,-0.0233093157087507,0.0702431208052048,-0.00866211258906905,-0.00260417199797036,0.0625829900242825,-0.0180272626115098,0.0378068983320355,-0.00198472879618344,0.0207392023429476,0.0190813081647265,-0.075594547614284,-0.0326095814590738,0.0661399025219454,0.0478206088907857,-0.0548370699719135,-0.0517140930526572,-0.0236013326227206,0.0674596986045727,0.084121862192524,-0.0709209360386161,-0.000904700068401466,0.100748611957569,0.133083372278524,-0.0532716974955229,-0.0288079921707794,-0.199231194936953,-0.043830272342453,0.00914307131925017,0.0500859966637277,0.147162565632248,0.077186964114416,0.0463006794815077,0.102519313369581,-0.0542819666308554,-0.0270805598242708,-0.0547036827175914,-0.0292603592040123,-0.0078134157029837,-0.0565030142711322,-0.0423766095185617,-0.0798442217330069,0.183453940241106,0.0176578840262041,-0.129517336742683,0.125434260813219,-0.0212996851712951,0.00175141292527472,0.0647117222222062,-0.17233524108678,-0.323245425732824,-0.0298095087636787,-0.240242501086557,-0.0563304808473021,0.0276799405952478,-0.121684439830419,0.0104550023496586,-0.163591779333896,0.123277632644545,0.226495701409217,0.0942851870433656,0.0134014371985296,0.146485442100018,0.17953772471872,0.155937815762079,-0.361635070882085,-0.149620016204391,0.0677905657873987,0.149111955685993,0.188748379901211,-0.100511012717965,0.242620878084221,-0.0843729120501961,0.0749868036797217,-0.0278048683626202,-0.0419276000526707,-0.0521674495927075,-2.93442987103928e-05,-0.0328405515095851,0.0420448837979249,0.0738240994012239,0.0558283527779572,0.00664675853292413,-0.0526920755905475,-0.0492373876603366,0.00471998473368155,0.00899741332837436,0.00604555310555538,-0.0257566095381137,0.0168948635112709,0.00111229002070545,-0.0330994880379048,0.0428925919041578,-0.00936738041595008,0.00162671628385625,0.0307719477374671,-0.0362405474721426,-0.00527466600329864,0.0263957043877101,-0.00377546768184213,-0.0253139782165328,-0.00551235109731012,-0.0189507460189402,0.010903906549305,-0.0119257195745485,-0.00219633955259296,-0.00209290043006152,0.0076930843624829,3.84494684075544e-15,-4.24825152288808e-15,3.34164854343142e-15,-3.40508254426503e-15
"E2u",0.044113120709169,-0.0383294724761998,-0.0835994814941939,-0.0735042821461096,-0.144996308238503,0.0277813710810321,-0.163810750525272,0.190120149158168,0.0369932198546419,0.0634129484921525,-0.135985131988148,0.0705431057255281,-0.0742706476386192,-0.0948999125660136,0.0732513224463699,0.0157682856163542,0.0908711200592227,0.479946087466842,-0.0125722975970789,0.0456306318143142,0.107764314527266,0.0993934080978304,-0.0328549572649345,0.0932546133093889,0.105894035265286,-0.040746965023992,-0.0256360586556097,-0.0333778813223763,0.0673365006982695,-0.106047120773713,-0.0815280917206639,0.0466514574220688,-0.0187993296304489,-0.0527047142523352,-0.0335172501950221,0.0190955002068473,-0.0210674881100513,-0.0725804511126112,-0.239284309954324,0.14156030981521,0.00267122455646541,0.0397856550986537,0.0285273099448049,-0.0431116616027401,0.0027042898218278,0.0146155807156549,0.0184872672015566,0.0387612309173952,0.0478708850521058,0.171648847083557,-0.0231768965636358,0.071468506834863,0.00311484936296218,0.0285855001049846,-0.118175630094402,0.0427367593205113,0.110730852796407,0.0831573166573451,0.106315652561353,-0.0240447941143011,0.135418565726965,0.100445388235748,-0.0234375350391604,-0.0194344393083017,-0.19623448347577,0.0883133434423503,-0.0132779280755456,-0.00147476862828325,-0.109141242813561,-0.027481033205582,-0.0467431886746745,-0.0439427485894221,0.0354140441072135,0.0202553226430351,-0.0170761421021224,-0.0128365748930856,-0.0262949360539372,0.0508324614839778,-0.133028329047591,0.0156017445696798,0.0924671232900535,-0.0269171341654087,-0.226650637438208,0.0373482309978414,-0.00333956568108068,-0.168820532979744,-0.0310649047919206,-0.0511822465586338,-0.0274840662276585,-0.0363099483647492,-0.00402112918288441,0.00854223993160571,0.0328225004784468,0.0196262159560923,0.0520387534702313,0.0169525729364946,-0.0175176886517237,0.00111704423623717,0.0434954046582628,-0.00405290236813389,0.0293797810169487,0.00902669784001621,-0.0165775281846351,0.018109895292827,-0.00457246189940945,-0.00880299593288842,-0.0158204491267388,-0.00832123054263589,0.010654042160116,-0.00134860613260601,-0.00435554576225355,-0.0154641589165393,0.163016542267016,-0.159120014550625,-0.209870418985207,-0.206927014542756
"E2v",-0.0389258213601266,0.0173881926348353,-0.0840491823119563,-0.116541081764406,-0.215342208145397,0.0105400705488416,0.0135665921649523,0.0010447257634305,0.0609604612311541,0.330247045030995,-0.132573086156415,-0.0352308080433301,-0.0205738146901873,0.0124836131490737,0.20192139474895,0.0655053590019979,-0.00932025651385451,-0.000260647290612529,0.0817757792437813,0.132963421890379,0.241048363695458,-0.0143797614990946,0.0171995580549696,-0.058040472720237,0.090829578053272,-0.0302805801119397,-0.0122952881674568,-0.0174799449872742,-0.0169332621135137,0.0209027070989604,0.0554571752524796,-0.0114337772951814,-0.00879814118059358,0.0934670306544536,-0.0433246313860786,-0.0505310084860863,0.0520829880557024,0.0812914361607485,0.11108199829444,0.00325239869058681,-0.0443091680468749,0.010435024330216,-0.0255374277497247,0.0201399284501569,0.0034201303371431,0.00347232819602625,-0.0988677897945072,-0.0509893384457688,-0.111945892301948,-0.252344786120522,0.045453396908145,-0.0474634375416382,0.03185613383572,-0.0129095729560669,0.194237560343599,-0.091350671402507,-0.160057050302454,-0.0870189185682105,-0.145556339004041,0.0173834419085227,-0.161928423146247,-0.0821265817457372,0.0842293549830884,-0.00151231499865012,0.230216266951398,0.023321096820221,-0.0170606223034389,0.00797140253089654,0.100471405474727,0.0234876746829005,0.0298038540519085,0.00831708051205885,0.0250876260371382,0.0537753322436583,1.60502902580015e-06,-0.0180222042448821,-0.0844498166996477,0.00330121481003427,-0.0276893564941809,0.0762405872218472,0.0637636202898808,-0.0653186370554251,-0.315834190105398,-0.0457398227314178,0.0417783349221196,-0.204727581267094,-0.0295388911997418,-0.0780493886356264,-0.0548999001759593,-0.0444200377780626,-0.0172757599450253,0.0169905344479663,-0.0115167586517749,-0.0010294306062534,-0.00106536445288788,-0.00385354899496832,0.0186415145988537,-0.0172495397325061,-0.00982410882861786,-0.0185478469877865,-0.00958688348390583,-0.000136581647959949,0.00737458853109503,0.0194478169430938,0.0265685694471281,-0.00816993371105676,0.0160086471302354,0.00754784704425603,-0.00435054680648734,-0.000869826649741687,0.0136104174519962,-0.0266271083611554,-0.0609019826098955,0.279854348881351,-0.0569189864571117,-0.205448511622818
"E2p",-0.036616074934896,0.0535446891230038,-0.0445835161184158,-0.0829304054523013,-0.165053094698843,0.0378558094293073,0.0369210518865093,-0.000705999655894407,0.0552716471798761,0.313979977822531,-0.194706574799963,-0.0199861676731417,-0.0217905444495113,-0.00549526570439574,0.237838701183748,0.0736594968331026,-0.0674595720067168,-0.241470977023813,0.177783623727017,0.127012102054976,0.249088286845807,-0.0305322474009447,0.0558268586953015,-0.0460920667265727,0.0417818149710295,-0.0284957043465406,-0.0106321415265465,0.0333954402999583,0.0406967641348128,-0.0061436735641607,-0.0472804335924225,0.0346449604325723,-0.0445866934418345,-0.000778393871066783,-0.0283386884803111,-0.0537377868949842,0.0719601989934877,-0.0129904709400997,-0.197520724517369,0.185179743253601,-0.122317787687623,-0.00221327672209003,0.0847002661749083,-0.127969933750362,0.073628986038621,0.0278962713560263,-0.0356255435335599,-0.0104888463535832,-0.0308403510790854,0.139569323010556,-0.00689066331583543,0.0480116984932036,-0.00907206046606416,0.0186304183742989,-0.0707268087254895,0.0260021096459552,0.037620217294776,-0.0146588594008917,0.0891189323537152,0.0328995915433724,0.0534037710542029,0.0341273886481327,-0.0136404888884916,0.0039576638220549,-0.110379816748822,-0.0799454957821493,-0.00934870386784202,-0.029970015812537,-0.0278088153245168,0.011543120122944,0.000809607352626865,0.0285805310075728,-0.00713749856498645,-0.0537667295540987,0.0207856477022077,0.0181885256978845,0.0827655835710748,-0.0211040081787761,0.100513976477165,-0.0947749427236618,-0.136358244208955,0.0339761067824888,0.353555999604706,0.0400582136422,-0.0254958463577348,0.209857289622725,0.0291236608502099,0.0808065446984387,0.054839837281661,0.068148999503508,0.0339161140506444,0.00829144304782576,0.0144169004015211,-0.00819648386730456,-0.00824539125576494,-0.0032513014455402,-0.0171698583844149,0.0131150769261952,0.00680533782853523,0.0337377589369431,0.0137090095426515,0.008492883893377,0.00179808713700362,-0.0153063310951408,-0.0238196102933769,0.0265013067004976,-0.0159833722610488,-0.0147897386964037,-0.00237780539613482,0.00127932647688158,-0.0722608145045583,0.352673024351362,1.36859500110239e-14,1.75281369054777e-16,2.40112729459904e-14,-2.57246809947317e-15
"E2e",0.0477238122918478,-0.0771924324392341,-0.110060973546287,-0.0800982110920472,-0.118272153360554,-0.0132569403819347,-0.161674329614665,0.15517716652276,0.0705418974887273,0.0552084168384367,-0.155853790974391,0.0483640053595757,-0.0942629809016408,-0.00955580352657271,-0.0397155709949346,-0.0129658389318765,-0.0169813287636618,0.465547658234563,-0.0413933070318848,0.045557352576889,-0.167626113627697,0.041147036940866,-0.129499301742068,0.0224721575675131,0.00288112544233348,0.0394886364124112,-0.030659768369634,-0.0369727415197487,-0.00202520138410686,-0.0192568229751476,0.056862877732738,-0.0112400819028582,0.0187428468043538,-0.00806723105411453,-0.0535185143644513,0.00706078149669828,-0.0606892436569141,-0.0234141419782432,0.0783511014658125,-0.0871166962913103,0.0659985721284983,-0.0190945836413418,-0.0780688002847016,0.0919557887609961,-0.0408377334894845,-0.0266743369272442,0.0352067609519415,-5.69856711905386e-05,-0.0139724339980485,-0.114064630314391,0.00672802795045776,-0.0501268677509649,-0.00869750450963251,-0.0424461423266517,0.0727482415601094,-0.0499858916589968,-0.0879263301226663,-0.0584364907454403,-0.0973262641490628,0.0112062005232541,-0.108981593081806,-0.0637400250229496,0.00241795189037525,0.0271199548950691,0.166164673863583,-0.0829356747315325,0.0214323275529813,-0.00328716072127863,0.0681557534230138,0.0108176841440972,0.0248971790442999,0.0505059867385621,-0.0477138380424192,-0.0196911357365575,0.0203047862053636,0.00862989359746122,0.0835292194296565,-0.0518503407383184,0.178526699421606,-0.0498958487336366,-0.126977900614146,0.0258048874923348,0.321080901573915,-0.0208415978806918,-0.0104515688743398,0.230176524954368,0.0387780346922801,0.0798808069449695,0.0576426922446181,0.0561522047526097,0.00530034696812431,-0.0244255489763742,-0.0307184986647227,-0.0295812628453762,-0.0602147455494178,-0.0155341795490448,0.0173030538478209,0.000159848843083405,-0.0471932535634622,0.00401605019595794,-0.0333013436173222,-0.00852286419972904,0.0163432756334656,-0.0230023215610798,0.00268669831292065,0.0110620321030905,0.0159476393713647,0.0119967218602433,-0.0150535595192117,0.000909695606220467,-0.000317109086270323,0.0130158174841249,0.114887886110403,0.158738439766026,-0.289926530578872,0.262494317932883
"E2m",0.00701222798595918,-0.0499159451682761,-0.103295495403538,-0.0831382346456517,-0.103979910080369,-0.0107523133427763,-0.0401131005873138,0.029187550119007,0.100415839548259,0.194666600393129,-0.27529385717362,0.00137204194320588,-0.0984230940884778,0.0839167264412752,0.0090678806874065,0.0132766564496683,-0.240120250491155,-0.155081780891502,0.0998651031101285,0.0266436677689256,-0.406717886315126,-0.11476213398077,-0.211759288425504,-0.130765685618977,-0.21509114502188,0.118765103823371,-0.000749824424859276,0.0635304610323783,-0.0337400479980755,0.150926539849677,0.126315965322718,-0.0292077256230079,0.0014993394637834,-0.00889862951890601,-0.0240487828249012,-0.0298459780955186,-0.0326155025314179,-0.0431012582289958,0.175107556597071,-0.101496535809769,-0.0145297238997598,-0.0170330198318767,0.00258741633535983,0.00737284119413898,-0.0833458011846647,0.000632328197931793,0.0570453110486629,0.0536178341052709,0.0241950394038842,0.0848123296109467,-0.0148907908686015,-0.0354819149672891,-0.00832043384619383,-0.0235994335717158,-0.0783094035698932,0.0251058329527992,0.106691054510032,0.0345298031981796,0.0750044531655329,-0.0222661452625498,0.112845027134464,0.0372334565697838,-0.0418051686685379,-0.0363550735043728,-0.135494899356048,0.059191095556607,0.00525435772973456,0.00239228079433568,-0.0522174551079976,-0.0139577906045655,-0.0140696237816245,-0.038713701423822,0.00504444947899734,0.0147222174637605,-0.00462286881386974,0.00222607084639176,-0.0390513116720459,0.0200147050216318,-0.0825833632125438,0.0331986780725966,0.0711239062243996,0.0144942742772841,-0.116762823628162,0.0179728336438551,-0.00973970073482942,-0.0667554983997947,-0.00507520335316468,-0.0180807611878772,-0.024276809500025,-0.00391409967699009,-0.00821826067548718,0.00533449981023737,-0.0135387066699618,0.00973671105522399,0.0117837500899914,0.0017680802035147,0.00185397759002938,-0.00365822303196316,-0.00566584281495732,0.000860073642292759,6.82584940800983e-05,0.00241459460456501,-0.00869824966461344,0.0095920755752128,-0.00302237548730737,-0.00759007728673199,-0.00719053816243215,0.000763638946645119,0.0032996671053743,-0.00380244408949585,-0.00195072715503737,0.00199832856833436,-0.38973934926515,-0.123621457208244,-0.215842815925725,0.00693823947343613
"Dm",-0.000833229242364048,-0.0455676718302342,-0.132158877430389,-0.134357683529392,-0.170281188728448,0.128430966817529,-0.0392608906963881,-0.12980454835007,0.161013050971427,0.0880667272166608,-0.0337844365262334,-0.0659163515339867,-0.094036946218531,0.148519174099052,-0.0651055208850358,-0.0279496912642266,-0.124287801965355,-0.00474062696352279,-0.261215664033822,-0.0723919595381089,-0.166106093074274,-0.0815251308015105,0.168554739081082,-0.114251385767225,-0.191939921893402,0.00292576534189779,0.138195622038312,0.16148126947521,-0.0916786252146834,0.14310177234928,0.143009987698542,-0.0516536305441445,0.0025194632812265,-0.0190827657836338,-0.107023409555222,-0.0756675699416635,-0.0333765602106227,-0.0728785217347296,-0.0533857310631011,0.0293898901577553,-0.0427941987350592,-0.0202093103467849,-0.0101764598270046,0.0443083990813727,-0.0293557356045119,0.0173869045989593,-0.0123516190075377,0.000303305057346153,0.0335280517739602,0.0753720639803827,0.0218990812260511,-0.0309570608300554,-0.0551645775433663,0.00784342004405559,0.0241175536499996,0.030847113560174,0.0269952112877242,0.027024242453124,-0.000882577724147183,-0.00165366490168636,0.051185233547367,0.0440756890164988,0.000658822467566574,0.0229140461303803,-0.00720435239898133,-0.0663419205566675,0.0411652967537202,-0.0653769161389717,0.0196616793705563,-0.0316803824961373,-0.0339253826090363,0.0445250711618077,0.0402792372287207,-0.0402998373672944,0.0564969313994218,-0.00868988995621527,-0.0560860846525648,-0.0189563123994188,-0.134240160460775,-0.0549064934876736,0.0212437461593577,-0.0567868708040344,-0.0223823322638975,0.0392956793144995,-0.00160360710936373,-0.02121627686565,-0.000658480938951336,-0.00216779799427242,-0.0168299032399939,-0.000139682057924543,0.0157973541057713,0.0223956892470388,0.0551660054569024,0.0330484684085463,0.0791377208887784,0.0446311286371145,-0.0583425010621548,0.00461398009273523,0.083789710727268,0.0282509577714357,0.0252015898277086,0.0525151219083756,-0.0187665372003028,0.0256717313246373,0.00212697323293619,0.00169233918464668,-0.0124695750609995,-0.00560166443457042,0.0125410297717224,-0.00177587013437109,-0.00189293501612524,-0.0102041261098606,0.526571534729707,0.167023269706805,0.291622293352439,-0.00937416099949561
"De",0.0146179578302322,-0.060231852260698,-0.179991688937538,-0.109652410676183,-0.202612352244112,0.0324819420300417,-0.196285255753836,0.196762733335284,-0.0362142041897828,-0.0673260773454675,-0.0380840321340963,0.0859871661745667,-0.0337980778768761,-0.0529934417953626,-0.0352219984648319,-0.0193938314052677,0.0379058645296632,0.0735187740166091,-0.1206082302689,-0.073254555752002,-0.0640240920932647,-0.00709139000109048,0.0745295679447101,-0.0141651856077792,-0.0783021431771657,0.0163635711375732,0.0431094491549507,0.0858132747790647,0.0433621918328941,-0.0076007777260849,-0.00856732533914483,0.0439345624454881,0.017090552060786,-0.0169898226345222,0.0174117711227213,0.00406803109818333,0.0139376257960341,0.0140463392349103,0.0811406415750069,-0.0366006667094519,-0.0514842067936242,0.00161691292807969,0.0370081503514384,-0.0340092666916905,0.0156507551389176,0.0318024668105048,-0.0621342246445975,-0.0175744094311086,-0.0297158955748675,-0.026110660435056,0.0115994241293814,-0.00714213277241478,0.000182502426910683,-0.0123131626652115,0.0400547722883339,-0.0284628687222751,-0.000837915835103257,-0.0234968433970125,-0.0365006454123855,0.0238896860430183,-0.079774190565663,0.00301088426831882,0.0044747094219141,0.0219296085652812,0.0458449136836845,0.0645000155835591,-0.0171563751998123,0.0507637743015714,-0.0429995886972052,0.00294227193094525,0.0433738374540696,-0.0207071865028591,-0.04130111724429,0.0512233145800357,-0.0557684193615936,0.0518526855521144,0.166307241822614,0.0185248966718217,0.239868061871801,0.0846102052737297,-0.0812739783596736,-0.00291758860384646,0.0861620239377034,-0.0117182885265021,0.0106688179492916,0.0711727498064183,0.0475586285162113,0.043321365051795,0.0373105977902224,0.0166308089638927,-0.015876574393706,-0.0330222701744688,-0.0871681034203552,-0.0339313287795343,-0.112994695674069,-0.0555352986012803,0.0797248655708217,-0.0218468235975599,-0.134626189173204,-0.0215901145341398,-0.0518244286610636,-0.0613935187752783,0.0220501739875455,-0.0344462321698185,0.013596540450346,0.00107849341738472,0.0264992859142015,0.0280031285972902,-0.0276473637505977,-0.00571573631044277,0.00813549332859334,-0.02742801857165,-0.189091289330263,-0.261263891763036,0.477183307433542,-0.432033269130729
