ID	Neighbors
DTXSID90896373	DTXSID50896379 DTXSID40379782 DTXSID80379721 DTXSID40239857 DTXSID0067848 DTXSID00681090 DTXSID20895930 DTXSID9071890 DTXSID4059831 DTXSID00380753 DTXSID2071657 DTXSID70824497 DTXSID60239571 DTXSID00896506 DTXSID40895199 DTXSID5060986 DTXSID50895988 DTXSID80535320 DTXSID60896749 DTXSID80896504
DTXSID90896378	DTXSID40543663 DTXSID60193068 DTXSID50896192 DTXSID80285777 DTXSID3066215 DTXSID30848038 DTXSID40880222 DTXSID70848037 DTXSID60379289 DTXSID80896347 DTXSID30896352 DTXSID80896302 DTXSID10379274 DTXSID40896080 DTXSID70896659 DTXSID20896381 DTXSID40826029 DTXSID80344217 DTXSID60895939 DTXSID50895680
DTXSID80880463	DTXSID90897042 DTXSID50897043 DTXSID10896491 DTXSID6067836 DTXSID70896533 DTXSID80238647 DTXSID60895474 DTXSID80896029 DTXSID60880406 DTXSID10881140 DTXSID3070252 DTXSID4063660 DTXSID20881111 DTXSID20660160 DTXSID90896116 DTXSID70195598 DTXSID40240983 DTXSID70881065 DTXSID9062934 DTXSID40881072
DTXSID60378853	DTXSID5046560 DTXSID70477447 DTXSID70892570 DTXSID10897549 DTXSID10185115 DTXSID2071655 DTXSID5059793 DTXSID50562865 DTXSID70565479 DTXSID10892998 DTXSID80505826 DTXSID8031865 DTXSID90896595 DTXSID90881340 DTXSID50892997 DTXSID9059919 DTXSID10184724 DTXSID50226894 DTXSID10896592 DTXSID6073073
DTXSID80617574	DTXSID90880151 DTXSID80880120 DTXSID40897310 DTXSID00210900 DTXSID5059874 DTXSID80826669 DTXSID20893355 DTXSID00542617 DTXSID60893354 DTXSID50181176 DTXSID20896568 DTXSID70880250 DTXSID10880118 DTXSID8052019 DTXSID10880158 DTXSID00880248 DTXSID00893252 DTXSID40896328 DTXSID20870500 DTXSID20880442
DTXSID20239597	DTXSID70896538 DTXSID80229474 DTXSID60873414 DTXSID50881184 DTXSID1070220 DTXSID7070218 DTXSID80240841 DTXSID40239594 DTXSID70881368 DTXSID80239598 DTXSID8071726 DTXSID80896605 DTXSID1072559 DTXSID90881365 DTXSID10240839 DTXSID80239593 DTXSID10880471 DTXSID30881066 DTXSID10884510 DTXSID40893554
DTXSID30233046	DTXSID70895521 DTXSID70280271 DTXSID00895438 DTXSID50335697 DTXSID20371926 DTXSID00525026 DTXSID10895646 DTXSID70382168 DTXSID10895368 DTXSID30802039 DTXSID00895498 DTXSID5075236 DTXSID40895391 DTXSID80458500 DTXSID40896606 DTXSID20895495 DTXSID60379709 DTXSID50184809 DTXSID00895478 DTXSID90896035
DTXSID90886557	DTXSID80880448 DTXSID40896727 DTXSID50583510 DTXSID20896200 DTXSID20896725 DTXSID30896190 DTXSID40896207 DTXSID30846776 DTXSID90896191 DTXSID20896149 DTXSID60896123 DTXSID50896218 DTXSID60896249 DTXSID30896751 DTXSID60701107 DTXSID00896107 DTXSID80895693 DTXSID40896242 DTXSID30896271 DTXSID60896163
DTXSID50379556	DTXSID20337244 DTXSID70895208 DTXSID00379268 DTXSID10335698 DTXSID90897567 DTXSID30773270 DTXSID00508475 DTXSID90896671 DTXSID6047575 DTXSID40337443 DTXSID80896488 DTXSID00895190 DTXSID50575036 DTXSID30895163 DTXSID20459495 DTXSID5073119 DTXSID50296259 DTXSID10895186 DTXSID60895318 DTXSID60379269
DTXSID60895414	DTXSID40895437 DTXSID20895394 DTXSID80892526 DTXSID40371105 DTXSID50895387 DTXSID50895428 DTXSID60895393 DTXSID30895385 DTXSID10896552 DTXSID10895449 DTXSID20897474 DTXSID90880434 DTXSID60895439 DTXSID00895574 DTXSID30895466 DTXSID50897548 DTXSID90895689 DTXSID20144319 DTXSID90881062 DTXSID70895425
DTXSID60895419	DTXSID50184723 DTXSID00526457 DTXSID10895626 DTXSID8059924 DTXSID10517598 DTXSID20895415 DTXSID50381038 DTXSID50896374 DTXSID00892442 DTXSID80672906 DTXSID20895339 DTXSID60895338 DTXSID50504109 DTXSID60195123 DTXSID10895328 DTXSID70381151 DTXSID80880564 DTXSID30880195 DTXSID30396867 DTXSID20892363
DTXSID60880188	DTXSID20880462 DTXSID50881366 DTXSID60164839 DTXSID6027426 DTXSID80881172 DTXSID7072884 DTXSID50896334 DTXSID10193639 DTXSID60880527 DTXSID10880234 DTXSID90895705 DTXSID60892504 DTXSID20893299 DTXSID10880476 DTXSID90460396 DTXSID70895263 DTXSID60895914 DTXSID40896702 DTXSID70220516 DTXSID60880486
DTXSID90380989	DTXSID20465531 DTXSID40897012 DTXSID40896363 DTXSID80896004 DTXSID00895716 DTXSID70896311 DTXSID20896326 DTXSID40178671 DTXSID40896323 DTXSID90896151 DTXSID80895951 DTXSID50596968 DTXSID50895362 DTXSID40432922 DTXSID10880239 DTXSID50895206 DTXSID70896159 DTXSID90544569 DTXSID90895684 DTXSID40896565
DTXSID40895593	DTXSID70895965 DTXSID20767880 DTXSID00895756 DTXSID30292734 DTXSID90895967 DTXSID60895616 DTXSID40895159 DTXSID10895505 DTXSID50524766 DTXSID10895560 DTXSID40185108 DTXSID3065586 DTXSID20895157 DTXSID60895631 DTXSID20895490 DTXSID10285765 DTXSID70754563 DTXSID40895578 DTXSID00404882 DTXSID30637843
DTXSID30627108	DTXSID00192353 DTXSID40437856 DTXSID00627413 DTXSID2067329 DTXSID00895978 DTXSID80897511 DTXSID80881359 DTXSID2070342 DTXSID20880568 DTXSID90895563 DTXSID00893353 DTXSID70895667 DTXSID80896064 DTXSID10895762 DTXSID90896358 DTXSID50895246 DTXSID80889254 DTXSID00880223 DTXSID20895536 DTXSID60880421
DTXSID50597753	DTXSID20216702 DTXSID7061017 DTXSID50379773 DTXSID50896617 DTXSID20380674 DTXSID30170109 DTXSID20380250 DTXSID50647328 DTXSID1074595 DTXSID6061022 DTXSID6068985 DTXSID90626970 DTXSID2073229 DTXSID30371331 DTXSID10597158 DTXSID5073901 DTXSID90382049 DTXSID00896309 DTXSID3074654 DTXSID50892417
DTXSID4059881	DTXSID50896293 DTXSID60371288 DTXSID80189069 DTXSID60591585 DTXSID9060990 DTXSID90895361 DTXSID30289321 DTXSID10191135 DTXSID60654260 DTXSID50575036 DTXSID10895186 DTXSID10896739 DTXSID70869964 DTXSID30895163 DTXSID70348022 DTXSID4059912 DTXSID30895244 DTXSID00895493 DTXSID80895178 DTXSID60895318
DTXSID40895598	DTXSID80458500 DTXSID00399941 DTXSID60296260 DTXSID00895498 DTXSID90895503 DTXSID70379715 DTXSID50184809 DTXSID40896606 DTXSID5075236 DTXSID3059977 DTXSID60525027 DTXSID00895418 DTXSID60379709 DTXSID10896496 DTXSID70895521 DTXSID30233046 DTXSID70382168 DTXSID20577986 DTXSID50897023 DTXSID90660157
DTXSID10896294	DTXSID30193671 DTXSID70193675 DTXSID30235040 DTXSID60371783 DTXSID00870523 DTXSID2060965 DTXSID4059914 DTXSID10597158 DTXSID50892351 DTXSID90626970 DTXSID80379261 DTXSID1074595 DTXSID30371331 DTXSID50647328 DTXSID30380842 DTXSID00190839 DTXSID70191136 DTXSID0074059 DTXSID00896309 DTXSID50892417
