"","DIM1","DIM2"
"DTXSID8070839",-2.71330829405014,2.04508443292194
"DTXSID20896341",-4.91617963131826,-5.61996758475099
"DTXSID90893549",-2.46903543545573,3.27799178403496
"DTXSID20379548",5.58388902255334,-4.72894584572639
"DTXSID40895295",-3.89594616315012,-1.36485867775385
"DTXSID20895970",-4.72843483749011,-5.57532854388973
"DTXSID00166413",7.43432114457572,0.662602899815145
"DTXSID4063660",-0.2479298452282,5.32466644754933
"DTXSID50896374",3.89404921045839,1.47766593720846
"DTXSID30895401",1.05042440372969,3.61947687782956
"DTXSID50379930",3.54763887660786,1.80729309234313
"DTXSID9059884",2.15674886830947,-6.96345553192334
"DTXSID00896102",3.9478081539288,0.183647126551681
"DTXSID70896396",-6.60965784938235,-2.5855095660812
"DTXSID20874028",2.36122811945292,-0.996961306539233
"DTXSID80880443",-3.24705147247082,1.12862928690557
"DTXSID90881067",1.18501910048194,2.34839473032873
"DTXSID80310730",4.19268514614286,-1.11636408891483
"DTXSID50892351",7.07528732230242,-3.53183673181388
"DTXSID50896652",4.8124045719998,1.46665009907764
"DTXSID7068556",-2.48017086722745,0.600441079771963
"DTXSID40382054",2.65905522925993,-0.261630142845809
"DTXSID80895577",-2.59191927490197,1.065708057145
"DTXSID8070889",-2.13289885700357,2.64274169240489
"DTXSID70896694",-2.71409674989347,2.12928874506916
"DTXSID2072594",-4.93263343843021,3.87683675048283
"DTXSID60896380",-4.13521157914658,-0.987768293909981
"DTXSID10895742",2.83206716212972,0.560278601851324
"DTXSID00895574",-4.31025072949129,4.35593906077931
"DTXSID60896345",1.77219196345799,-4.31763327783501
"DTXSID40895194",0.182981511636223,-1.38956589401191
"DTXSID60896284",-11.6137137768258,-3.82593547698248
"DTXSID60897251",-0.943758773732877,5.53076241409926
"DTXSID80832341",-5.06986989528109,-6.46427587582384
"DTXSID20464266",-2.32220423846489,-1.94531628756188
"DTXSID20895975",-4.71027751037347,-3.32661703230856
"DTXSID80893396",-0.0722769343534643,-0.13076620247627
"DTXSID50380763",-4.75341826388652,-0.323293871458754
"DTXSID70805307",-5.45656471417127,-7.70552536833989
"DTXSID60599940",-2.75580659389914,1.23669620046522
"DTXSID60550233",-5.49621644703671,-6.83412781148479
"DTXSID90896050",-4.43874984225845,-3.48257975604178
"DTXSID10192889",1.50395154994045,8.3778519580181
"DTXSID70399897",1.03209659392691,2.55947889255642
"DTXSID60896320",2.26441637993161,-3.98803681211966
"DTXSID20895738",0.410877531192806,0.786880594997283
"DTXSID00896001",-5.07590021956966,-2.04425375128813
"DTXSID30896711",-3.15148182614993,-3.18052568475734
"DTXSID7047566",5.02656887260705,-0.637240760771135
"DTXSID20895915",-4.15874740270548,-1.6055485524832
"DTXSID80672906",3.89956888136021,1.01251209911609
"DTXSID60896547",-2.09450178503618,0.510168824284127
"DTXSID70560929",-0.834102441065884,-1.65663221352298
"DTXSID80896221",-6.30067586356391,-2.51718558648194
"DTXSID20897550",1.0061073968825,4.85661779009304
"DTXSID3059890",9.9634617099414,-0.171207477983535
"DTXSID20896381",-0.865208852757982,-3.94474029553084
"DTXSID70896477",8.12068411318529,-2.48204953034093
"DTXSID50631767",1.10214195665838,-1.5540556934089
"DTXSID10895404",-4.73787170934181,4.94040390789556
"DTXSID00895953",-0.898713383377487,-2.15756640142955
"DTXSID20880427",-5.49209096410695,2.04415474220883
"DTXSID70613686",-3.14325917770204,-5.93246549214392
"DTXSID30806395",-3.83780235655209,-5.34134650438895
"DTXSID50895761",3.05213778922256,4.10331986359509
"DTXSID80371063",-5.18700526428307,3.20073686287825
"DTXSID90896378",-1.50717088575478,-3.96015759983263
"DTXSID60881195",-15.5507289627075,5.22640524877545
"DTXSID00846723",6.58051525390434,-1.68943021235105
"DTXSID70880139",7.93363318430344,-0.400430583551692
"DTXSID0027141",4.01970342710061,4.4673840985411
"DTXSID30395037",3.19295665080079,-1.44625967421697
"DTXSID30896418",-4.59875362909573,0.731008980345582
"DTXSID80873012",5.00927823668286,1.048818891718
"DTXSID80371528",6.87205294149208,0.860210009765308
"DTXSID60896724",-4.39486308206328,0.963715105161535
"DTXSID90880136",4.24328831292474,-2.12859120127075
"DTXSID40379267",2.34683620592256,-4.27545613224204
"DTXSID3066215",-2.04766917974365,-4.12031144160727
"DTXSID50896137",-5.90777062404307,-6.25086802305052
"DTXSID60379441",5.47535216991437,-1.48124811023166
"DTXSID60895696",1.91413513694453,0.0911381203688443
"DTXSID50844092",-6.19958547504704,-5.17191919666335
"DTXSID60557803",-2.30544520674248,-5.66962200136029
"DTXSID0059875",4.58716521762048,1.70284644031211
"DTXSID20896361",-5.18302846101988,-4.58902973613981
"DTXSID00468500",-12.2552587761499,1.10289925309867
"DTXSID20896700",-3.0776260896891,-4.67436155368641
"DTXSID60896082",-1.24134135164122,-3.98928766139782
"DTXSID10380022",3.28077406079258,9.72086324812266
"DTXSID60535646",0.160035739334138,-1.82559888045169
"DTXSID3059923",4.11427153724347,1.97252163575671
"DTXSID5059878",2.56183647926398,5.24806705377077
"DTXSID40895396",1.81324714888112,-4.63299767018876
"DTXSID40371286",1.87337919401765,-1.47625990138118
"DTXSID50895983",-1.4666973732512,-6.24671567890078
"DTXSID00896026",0.330210737380547,1.79175507964881
"DTXSID70759053",-1.38514732781287,-1.20088217789153
"DTXSID40340351",-4.84199148960789,-1.30874233563317
"DTXSID00883911",-17.3774333994041,-0.421787827683051
"DTXSID90861920",9.30293303598416,-1.23316862913484
"DTXSID00896061",-4.80914026701347,-6.28911000199618
"DTXSID30897041",-11.1723147252788,-5.22282589691216
"DTXSID20896184",-5.39265712057289,-5.30305568208749
"DTXSID70893284",-12.2702539294579,4.08858647759557
"DTXSID20625517",3.36435065759006,1.52719356555205
"DTXSID40379808",3.59317725295829,2.37180470450355
"DTXSID40526476",4.22135202484367,2.26891179202869
"DTXSID40895497",2.83370260425951,-3.51716513786782
"DTXSID50896632",4.86786324694883,2.52939943316939
"DTXSID5059799",1.80162486529187,0.953147782756381
"DTXSID80896620",2.29950267932008,5.95255034419474
"DTXSID60892504",-0.356113976600868,2.858646321529
"DTXSID30893548",-9.60530107654382,1.92244687294117
"DTXSID5062760",-0.695779214294436,2.68587706046621
"DTXSID00895751",-4.50752068041124,-3.76798989547107
"DTXSID70895541",2.41367415412002,-3.45252268343458
"DTXSID40896247",-9.75942051718722,-4.79108572863215
"DTXSID90896752",-7.02170319749095,0.218097721451061
"DTXSID10381190",3.70630884203268,-0.243371151224289
"DTXSID20880987",-6.48659943007946,4.17208447335375
"DTXSID50371297",2.40375759778271,-4.40418964156889
"DTXSID90194902",6.12753747883115,-1.2391203411613
"DTXSID20895213",0.396979616397359,-1.24266357455553
"DTXSID60881377",-4.97620700794803,4.46633495254026
"DTXSID80895719",3.84592951256754,1.61913773017575
"DTXSID70896058",-1.44686656910721,-1.58552794506129
"DTXSID50881346",7.65724241725981,-0.389854193767577
"DTXSID70895248",6.14027682377603,-1.18104970526475
"DTXSID30771731",-5.98163161348598,-5.77827424821363
"DTXSID20895450",-6.70477392061885,4.28471634653805
