"","E2u","E2e","MEcc","Dm","E1u","E1m","E1e","ASPAN","RDFM7","RDFM8","E3m","MoRSEE30","MoRSEV19","MoRSEV18","MoRSEV12","MoRSEV11","MoRSEV10","MoRSEV17","MoRSEV16","MoRSEV15","MoRSEV14","MoRSEM18","MoRSEM19","MoRSEM10","MoRSEM11","MoRSEM12","MoRSEM13","MoRSEM14","MoRSEM15","MoRSEM16","MoRSEM17","P1m","E2v","L3e","MoRSEE8","MoRSEE9","MoRSEE6","MoRSEE7","MoRSEE5","MoRSEE2","MoRSEE3","MoRSEE1","MoRSEN21","MoRSEP20","MoRSEP21","MoRSEP22","MoRSEP23","MoRSEP24","MoRSEP25","MoRSEP27","MoRSEE29","MoRSEE28","MoRSEE21","MoRSEE23","MoRSEE25","MoRSEE24","MoRSEE27","MoRSEE26","grav","MoRSEV28","MoRSEV29","MoRSEV26","L2e","MoRSEU22","De","MoRSEE10","MoRSEE11","MoRSEE12","MoRSEE14","MoRSEE15","MoRSEE17","Dv","MoRSEE19","E1p","MoRSEM5","MoRSEM3","MoRSEM1","MoRSEM9","MoRSEM27","MoRSEP7","MoRSEP5","MoRSEP3","MoRSEP9","MoRSEM30","MoRSEP8","P3m","P3e","MoRSEN26","MoRSEN24","MoRSEN25","MoRSEN22","MoRSEN23","MoRSEN20","MoRSEN28","MoRSEN29","E3v","E3u","RDFU3","P2u","MoRSEV13","TASA","RDFU8"
"E2u",-0.0617524108078032,-0.0203108217429538,0.0424521829998485,-0.0387871368546367,-0.0801492090566295,-0.00321384280915068,0.0361472295327078,-0.210134161286213,0.119722699838036,-0.238585462506074,0.103612052232882,-0.368476700949393,0.00043008689246057,0.082012503299056,-0.078209392232177,-0.0221768879271747,0.153045878423975,0.127614214193886,0.0283870599966402,0.0594608396119076,-0.281475556256281,0.0892225704833524,-0.0461183143092079,-0.164286633701692,-0.0289255173511101,-0.0916762487954025,0.0617246764867569,0.143643071209297,-0.0544777986226455,0.07577739552686,-0.0893247213758883,0.0215230172649534,-0.0157977619703959,-0.0806605439700341,-0.0520549745800911,0.0422496757066153,-0.0476180608159319,-0.011286629902768,0.000965073558007766,0.00365325344299125,-0.010497185687132,-0.028725789447331,0.00140741052356992,-0.000162202532712354,-0.0799681362813441,-0.0232069593395191,-0.067229126329298,-0.101974807196969,0.0374685298003955,-0.0802902545082748,0.0133252066172811,0.0221880888237474,0.0368514089642912,-0.0502763293040108,0.17240430269505,-0.0123361537460001,-0.105393777078201,-0.0198984905110102,-0.231540719347848,0.0373855499735561,0.00798824385406268,-0.0975404016531132,0.0989830912821668,0.0591289802642932,-0.0293997480409585,0.0187688772040892,-0.0817835363156772,-0.020441262728151,-0.00112398441323474,-0.0361010936663306,0.0629454220554384,7.06066131272487e-05,-0.0144366669818084,-0.00103398180927671,-0.0237539188602519,-0.0712793586143708,0.238932039218742,0.274702105237377,0.199119301210624,0.0599936168787837,-0.101186383420827,-0.151651767172558,0.117966749661706,-0.239144056965497,-0.0010495942567082,0.0172130983765366,-0.0227022300986998,-0.0285603145029681,-0.00737875430476118,-0.0286885288377056,0.0284536034982433,-0.0357644863602588,-0.0534636990455073,-0.0980623428271676,-0.0227951362771204,0.0402518026871805,-0.068898831145036,0.0630382762510609,-0.0480595029799429,-0.0150837041423206,0.0099548303249069,0.00314889270411521
"E2e",-0.0713456886413102,-0.0163668048335106,0.0883336502530964,-0.0571478280082645,-0.122381761203777,0.00451849963395491,0.0242738608100291,-0.187662878092935,0.0874636751400651,-0.23612635408002,0.10762650256177,-0.377465582774886,0.00198628408735157,0.096919079922795,-0.0432337636854161,-0.00988091538295362,0.103818124297947,0.0829517106874695,0.0260469292269088,0.0534945833737068,-0.241580784350888,0.0896009249029469,-0.0121033244888206,-0.130411899512101,-0.0318441937182152,-0.0176618027725673,0.0154536960993386,0.0258268940657753,-0.0107795642400136,0.00083097281021342,-0.0421987264914152,0.00397746722574395,-0.027485811041978,-0.0340254261770496,0.000978929530831958,-0.0104801773538797,-0.0335604372869396,0.0868465592565577,-0.0401710625775589,0.0392651502142465,-0.0990678316237857,0.0886312247169992,-0.0152235844427794,0.0189968359170062,0.0555923141050439,0.0121151023087053,0.0433667459352362,0.0726055432706618,0.0195826767374596,0.0143894892457319,0.0385495378777809,-0.000250164897007972,-0.0167276858034113,0.0548873059453496,-0.23973084572397,0.0168631039038659,0.161482371265947,0.0526869125035946,0.322882437872102,-0.0644019893212893,-0.0324753314124276,0.11827434720091,-0.121109943395488,-0.0791539027495776,0.044892557500099,-0.0585555032168438,0.0628220307436173,-0.0260551848872458,0.00533635955072323,0.0352865946423883,-0.0125246560451204,-0.00602331156655104,0.0525234291160868,0.00132586132056603,0.00640051910700976,0.0514633455059149,-0.195597381046469,-0.256085522910396,-0.176519032403791,-0.0486240012172636,0.0746100476450798,0.136589675288697,-0.0225369636773437,0.149972205884548,0.00488763825493629,-0.0213382156081441,0.0389295935720387,0.0453832006575229,0.0132583782918554,0.0285564301844177,-0.0524403860246454,0.0711503945107764,0.0634836994048075,0.134318713617266,0.0153086863090236,-0.0663615598925435,0.0329448385173282,0.151702639982354,-0.166722219741959,-0.0673553273921285,-0.134271510292328,-0.0243747514480219
"MEcc",0.0193905567565652,0.0108814866134363,-0.281452381077251,0.0105147526386957,-0.155194238027071,-0.0102491736960079,0.205033697916459,0.0045174384838691,-0.0514945900020504,0.0136665804162395,0.0663550560072226,0.0717091615281137,-0.000756999007123659,-0.0431113625457252,-0.0849801402079781,-0.0672920544550982,0.206491867649337,0.133220697487709,-0.0158305692842201,0.0512599899681341,-0.047646276867928,0.0335877660395712,0.0719217641585993,0.130461355002567,-0.0186523717192218,-0.0594112790574544,0.103293072288246,0.0117421788936222,-0.0580503173042566,-0.0587834749244077,0.0063397022150869,0.0611087398013284,0.0426612879309716,0.00153538250678335,-0.089387467784794,0.0538363944083295,0.0181294579937274,-0.220975239781322,0.113879009212864,-0.175784952584293,0.248546887833102,-0.357733841830651,0.134728436130364,0.0148689371586662,-0.161640848904747,-0.0639599205675298,-0.00947491528986256,-0.0670760167436053,0.0130600342124113,0.135059739818492,-0.0320186574431106,0.0437795915876368,-0.0162125637981028,0.171254966639863,-0.01047026793997,0.0153208312079677,0.203021544408541,-0.0816973363848975,0.0734617184468994,-0.0355098903247136,-0.0691223433361369,0.154487485992731,-0.0931407901285361,0.0273476115565184,0.148187102554113,0.0057039773156454,0.277927525201262,0.0552854057879271,0.00215186308635053,-0.0188648637297551,-0.0420794322868493,-0.000198834146069759,0.160909238614267,-0.0630890077321777,0.0526751444373754,-0.128743718314441,0.0458037461239901,0.100994356100266,0.0578478670297873,-0.00289850284424354,0.0260586672720675,0.00352982486758001,-0.133169795659345,0.0913600357193006,0.00742642043006943,-0.00938890664471187,-0.00371349641189933,0.024271171988684,-0.00113620340590337,-0.0116721310946577,0.0120408444402735,-0.0246923759160047,-0.0228913400008559,-0.0998015727041669,-0.0206207261962156,0.0234677916934303,-0.039951982433953,0.0535928985047859,-0.0825178205275243,-0.0159614503982225,-0.0181777414370968,-0.013825670730361
"Dm",-0.0157049549921705,0.00306585813555594,0.15086383049212,-0.225420161095854,-0.216042657189031,0.0917669032822121,0.0124100590527651,0.0153785536921877,-0.15739204479265,0.163393464514528,0.0882778690770357,0.0477592122092283,-0.181754058108964,0.0853933623017567,0.139684389499148,-0.128615986322207,-0.0767326245896941,0.0978333682446221,-0.0451874506168814,-0.0453883357144121,0.0455902564910623,0.00978919454208936,-0.0898720666242767,-0.117708744143133,0.0585342845229875,-0.0423214016162517,-0.00812152041156104,-0.0217806381829689,0.0690836558135574,-0.0379709859284777,0.0538788815643733,-0.048957976827086,0.0433057810480705,0.0686501890121646,0.0252466474457094,-0.104921385594153,0.115917601948246,-0.0958988925934909,0.0135451777213828,0.0318738912857473,0.0436145945031048,0.00970834001552075,-0.0258041254051947,0.0350613088256447,0.076979591044611,-0.0162060711199025,0.0807046468899961,0.120601787154955,0.00645949389550299,-0.0782507055614249,0.0218459120734966,-0.0302664754797255,0.00486877027192429,0.0140812163895397,-0.206498435465025,0.0300958987833103,0.0685416803159408,0.0887334025014682,0.204134459971072,0.0366817434836737,-0.0312565815544612,0.14870243523521,-0.0896641656995869,-0.0893215464610093,0.063280009697586,0.0341866042206354,0.0763750362281874,-0.0361110454924076,0.0223252014499986,-0.0157806007190842,0.0665585717768008,-0.0697417202844774,-0.256304369107171,0.0679591040975032,-0.135607218087698,-0.018352812232507,0.312146267536166,0.266493005239117,0.197850490804987,0.0453702001690147,-0.0523182388789451,-0.171706018041225,-0.0199972886211821,-0.0589870891487068,-0.00441835486217072,0.0359099025552855,0.0126790008825824,0.00997179453619166,0.00566031279855042,0.0335026783277842,-0.0204604689144769,0.0262424415472277,0.092027422587152,0.267714539001221,0.0462913768501088,-0.0605381165880152,0.0334424986649585,-0.000876692491843916,0.0367234667356318,-0.0110572234078787,-0.0554094854168929,0.0028141052395151
"E1u",-0.0160212047984471,-0.00934976423576915,-0.109368574156161,-0.16298930130353,-0.099582763639526,0.01284797271312,0.150180802058483,-0.188630149682549,0.037454705293777,-0.151929330122542,-0.0300241228513078,0.0058360598495984,0.178138560619415,-0.154039997705808,-0.0731225766185593,0.22945240983427,-0.354556394777142,-0.223932771462228,0.0471057791045233,0.0419995923395487,0.19609809569064,0.00978125776946469,0.00677772003871966,0.0509865607626157,0.0262786244244413,0.0470909110996459,-0.0270390986241033,0.0541794221902423,-0.00891152749804314,0.0437306825502063,0.0500243727047979,-0.013247013373282,-0.0302176923305836,-0.00321150202954463,-0.00386912986904334,0.0405442167619439,-0.0168541309633557,0.0281101914557626,-0.0362733472165033,-0.0109925904093443,-0.0297626445149906,0.0118104469108037,0.00505623079342323,0.00736922712177745,-0.028924213473036,-0.014916573034649,0.0390679068844165,-0.0124073923891574,0.00127395786849893,-0.0219278630627693,0.017814205194431,0.00728278599884673,-0.0413583173722484,0.042771055247463,-0.0604747376393398,-0.0242149508002034,0.0750873616773205,0.01283704053664,0.0991013097525638,0.00361960240177623,-0.0609716698697922,0.054714863238514,-0.0404354715981947,-0.0767816660330592,0.0180947965857912,-0.128855522508786,-0.132972368666708,-0.100033492753622,-0.0174420119598137,0.0187110046119083,0.104942699030882,-0.0329608655745738,0.469090355775385,-0.13424704315844,0.106668167440961,-0.112059075536606,0.07718598206171,0.140346377390208,0.0901419997949591,0.0277358625476433,-0.00664684870288017,-0.0290715495549307,0.108068147838678,-0.161851485512631,0.00980654060069127,-0.0117654788803113,-0.0230503922536311,0.00542736537803109,-0.0143795177722648,-0.00304969504542825,-0.0364509568689289,0.0705790425930115,0.0291058305425265,0.252845586917007,0.0407746233506238,-0.0233015085189262,-0.0269347401369871,-0.0100264219634313,0.0632541419302007,0.00086708067477091,0.0495372464555968,0.00498080372206112
"E1m",-0.0317941000671445,-0.00592744431332296,0.0361375760492507,-0.158969518392617,-0.203040510986407,0.0394960962609777,0.0563764501047232,0.00788623775943185,-0.169565797582122,0.178926176671865,0.106858883731369,0.04226289061529,-0.226029837721667,0.0779555996100648,0.1692498108257,-0.213706615355035,-0.167034340445991,0.269041811833165,-0.0719652311700652,-0.0411518543200231,-0.0249014967965877,-0.0657807719812812,-0.0671455395555667,-0.0218885421853254,-0.0219019955098923,-0.130730961617394,0.0863644274498388,0.225763154256699,0.0288807951319559,-0.0125054042358504,-0.14615656681023,-0.0203514093368912,0.043366382621195,0.103832799762983,-0.000383485468091948,-0.164750700113477,0.120922784570701,-0.0887569270761701,-0.0270413042829043,0.0934703266284695,0.0514246711450743,0.0167772075093254,-0.0184518538313978,-0.0523897982746562,0.065262331326132,0.00587701879636636,0.0123759198726859,0.063665482904344,0.00848967770275058,-0.132061355851902,0.0235071705829972,-0.0119844323943305,-0.0138513080683107,-0.0275272349463557,0.0885522885753792,-0.0310463209045365,-0.0997443046483388,0.00274349346047508,-0.0486180441262978,0.023682160290983,-0.0138562755243746,-0.0463808057657199,0.0517467400287144,-0.0217539081357895,-0.0346392347688974,-0.112273959211243,-0.215131554831301,-0.070144654988124,-0.0236528489644066,0.0683978831338215,0.0519124817559458,-0.00895921369844163,0.366942658086805,-0.110327323474266,0.107706547850188,-0.0320751715125276,-0.151037654121501,-0.104310536083315,-0.105372446351467,-0.0375563598936786,0.0484312054048587,0.0852843834516161,-0.000144143538503938,0.0271679550010906,0.0104252540103636,-0.0170442437142464,-0.0250215491382352,-0.0253868898746682,-0.00872615230900765,-0.0285046614132885,0.0293648142305382,-0.0293264183127248,-0.0887850448013577,-0.222133174310178,-0.038023408240098,0.0581798803014396,-0.0689001575651761,0.0514405671860117,-0.0720010556010867,-0.000600133477335064,0.0667206798231255,0.00425200309801397
"E1e",-0.0293228099409227,-0.00669162061178072,-0.0897761580092662,-0.183004125016204,-0.179759346560102,0.0193783760529561,0.155807667088899,-0.162585079128106,0.00276593397433621,-0.139978832780903,0.00571923296576948,0.00653269664465958,0.142884735745923,-0.131488663134831,-0.0484356511852837,0.149997968433241,-0.313572283588732,-0.153485931169333,0.0630304347295763,0.0475183243918227,0.203051794814572,-0.00233284449109398,-0.075833092390271,-0.0358847497537162,0.0675069290206452,-0.0202584170475284,0.00633802780525238,0.1609443593305,0.0437877670819006,0.017950694396797,-0.106665873430706,-0.0777143290603288,-0.00919871486808011,0.157789326489774,0.0262515828881461,-0.20470404664419,0.143662836635534,-0.132018620247638,-0.0101685954058941,-0.0107190314045811,0.0754311811135081,-0.107619630688853,-0.00441973859964934,-0.0273051988381086,-0.0610241550538844,-0.0316929502195719,-0.0710651518127079,-0.0501281857357734,0.0609162527421166,-0.0476246120361157,0.0015985346366208,0.00979359395829741,0.0260900485209065,-0.0173509213379574,0.101904072452993,0.0285705635603962,-0.0661726942588508,-0.0318079144625965,-0.111069565808058,0.00379318634577894,0.0333628365883078,-0.0505762966627261,0.0215553514430846,0.0522690188731101,-0.0161645126492346,0.100961490240493,0.0821664712013219,0.0802497567774025,0.0152671418624551,-0.00848740970659928,-0.0715225993842072,0.0314242028570161,-0.376373595492432,0.114820294388135,-0.0770883390394175,0.0954553369926759,-0.0516534465961889,-0.132453887062248,-0.0657167684204465,-0.0180882961091337,-0.00652877340742077,0.0202581846907853,0.000964550034543936,0.0669137145382347,-0.00790549594965669,0.00116739668579544,0.0388276229074608,0.0113191660414264,0.0170774791624948,0.0170917117922805,0.00395658190086274,-0.0034305189570389,0.0107577187771712,-0.151098275686831,-0.0273255322822653,-0.0286549553583491,0.0169896380470777,0.169447789267487,-0.228448163567248,-0.0736616146325808,-0.204548289411249,-0.0297127903168997
"ASPAN",-0.144671486247558,0.0638674920882389,-0.0692165557804277,-0.0723004372402282,-0.103864552331708,0.0263057055542675,0.097483173007866,0.0444749541304644,-0.0937240188826591,0.0876689861115499,0.0627845677364591,0.0320290907518851,-0.00685483360079498,0.0415512767280368,0.0371668953209055,-0.0311076417887198,0.0611347922584991,0.00295078936149795,-0.000650611461491253,-0.00747080111651784,0.0367684536827338,-0.0227475992624098,-0.0883387022958947,-0.172749351664386,0.0464125248757207,-0.0297721817634528,-0.103017279151978,-0.15813170489413,-0.0110156942577414,0.0584637450466267,0.116199667800165,-0.0598782544359244,-0.0120804298344054,0.0476281888481736,0.0845271189917578,-0.167862236469338,0.0363712617353562,0.156583593724741,-0.298341483937863,0.280256496989487,-0.260868916912939,0.254313130138284,0.129825711031675,0.012188331970742,-0.254699271218777,-0.0369533473203636,-0.160301247846139,-0.100871194185735,-0.0929436442306625,0.228553884812329,-0.107216485544662,0.0157124463421726,0.0474080920989609,0.24953838168407,0.189386866380413,-0.0435332659333149,0.205567147695559,-0.0604708929434895,-0.102865788482465,-0.162818274381314,-0.0595449120575721,-0.0186474219849638,-0.033269920450574,0.076515013334348,0.0535635209946705,0.0718981649833729,0.124728430216484,-0.011789090424673,-0.0545933544079884,-0.0337621773603601,-0.0735631314451884,0.0450383709506363,0.0300590266442163,-0.0250668525589303,0.0710425677039243,-0.0691346387838728,-0.0059220009941354,0.0304866974367586,0.0208615955314211,-0.0117886152243221,-0.0660350747568081,0.00781387614277059,0.0128458213110028,0.00540269700566295,-0.0105022700305129,-0.0247039031682199,-0.00530769188667482,-0.00977629103495341,0.0175296667681154,-0.0534158098185083,0.0232156584884654,-0.00184466399210187,-0.00924633584569201,0.0152790144224937,-0.00635371760728346,0.0560489300814763,-0.0284853874703481,0.00158030082427499,-0.018886110759316,-0.00156205503723325,0.00757135574672589,-0.00588155982383399
"RDFM7",0.111528821137032,0.019289191569344,0.152415028998621,-0.0939754648936608,-0.0599749509083337,0.0772091775501851,-0.0343801183403494,0.151058135108138,-0.260305634947866,0.0303789338557737,0.0918475182516141,-0.0303613357708973,0.112331089058209,-0.0310562057741186,-0.144345922313071,0.0627642289544345,0.064497645311615,-0.0632612676573145,0.0971954015313246,0.0362464770399053,-0.0604510703968972,0.0500689302613836,0.131655103012722,0.0484423535340273,0.0672207170458859,-0.0173012079862738,0.0283067725187077,0.0164203525604397,-0.192686194517359,-0.0122539264759413,-0.00278936324533412,-0.00615923497992784,-0.113552689148405,-0.0423844925587775,-0.0890352150999148,-0.0718869913304423,0.0949030733130275,0.0111559401440797,-0.0673949819803228,-0.199224238946591,-0.117841881313047,0.023683461343242,-0.0370477331049624,-0.058440902193547,0.212774749604441,0.022120706333324,-0.132558645179449,0.00181363929356576,-0.149800288693508,-0.188778291410791,0.116153287695511,0.161199127152055,-0.0711222316836422,0.0317068063703947,0.050040156333237,-0.0287776177423423,0.136116391777585,-0.144858011012143,-0.00902279297394116,0.0227140581008809,-0.257979072316505,0.146296582544997,0.0695187456248117,0.127933695088689,0.113658540190947,0.110305276137832,-0.194999443639161,0.157782869311361,0.0585412263776196,-0.149649309439451,-0.131972090051373,-0.068427103125685,0.0167537771257902,0.0963449214470475,0.126346118759282,0.145413538485889,-0.124187596139533,0.0155136608014698,0.000921691821016944,0.169098735273855,-0.0946085019021419,-0.0982216830074388,-0.0763087376138674,-0.0208807632701758,0.135189926178362,-0.0197384338771216,-0.0218656439300436,0.00192925050246415,0.0139219245653193,-0.0282994616203925,0.0187832854455681,-0.0214049099123915,-0.0769218164219964,0.0461458094848558,0.0701800481356045,0.0528674738679343,-0.08056969600149,-0.00518738951926497,0.01267440184399,0.0125343933035148,-0.0431273268043215,-0.0113202544892622
"RDFM8",0.14262161944609,0.0162044369703036,0.127602521388431,-0.0302588595549613,-0.0274421306541366,0.161694006101694,0.0110014624211553,0.113606761396725,-0.143917573486565,0.0159575197919629,0.0541502849289089,-0.0127149827496145,0.0193335620748659,-0.0370006339645773,-0.0155195569135653,0.0366936791567456,0.0149879353759429,-0.0580501955029356,0.104396033048581,0.136179339230889,-0.0533406066046233,0.113901423141574,0.0816586872450365,0.0960878025070327,-0.0228723534190381,-0.0634744966711886,-0.0683412749005734,0.0623709331856771,-0.24956555984114,0.0429597354293397,0.134826327311027,0.0747641894878938,-0.113734861139346,0.142111980234835,-0.177654170260424,0.0101685054220056,0.037088149689351,0.0302494355633271,-0.149158470416464,0.0124796172060546,-0.0401429213437532,-0.0433621309304886,0.160788090975316,0.1705107648622,-0.119197795148396,-0.0918491759005435,0.0922243258787171,0.163572141152174,0.00350782860113189,0.0138642435000346,0.0902240755973618,0.0063492401052042,0.0115197663847067,-0.256094020370366,0.118742793843001,0.0322685306440468,-0.0689162120606494,0.125696585432169,0.020087930154305,-0.0551302682747935,0.246909633246118,-0.0494936649552425,-0.0617757635490963,0.0327257115002973,0.0467529468744191,-0.206883915293503,0.0902962883952241,-0.0105261254535626,0.00721220548377225,0.0607198625823261,-0.0249327826408722,0.102803650943816,0.0181996499215512,0.0873112823900474,-0.222692636372474,-0.156624656914836,0.0790956594037115,-0.0433143124774476,-0.0471415523771446,-0.00418731784592731,0.074525106506896,0.139880668846875,0.0408040610258535,0.010652472501103,-0.0359388093992487,-0.144682701126615,-0.173869372788534,-0.190454188072004,0.0939451617527803,-0.0575085487513388,0.0350511845086007,-0.0389155587499402,-0.0187754122417035,0.0848989212542464,-0.00680296072315928,0.160896984163994,-0.0882120748840585,0.00553900618595471,0.00200353207894789,0.00663885440991304,-0.0801869475047407,-0.0533564867893102
