"","DIM1","DIM2"
"DTXSID5024134",-7.50770723754398,-0.985921139785296
"DTXSID6022715",0.705873980749571,9.02043526268714
"DTXSID8023846",-3.80631789101174,-6.49931989195002
"DTXSID8034538",4.61328164618638,-4.24366899481488
"DTXSID1040295",-1.76137012447011,-2.62418953552025
"DTXSID9032375",4.27182684430071,-4.10362432759415
"DTXSID3023219",2.28985297811495,5.24810261766205
"DTXSID9022310",2.63986899129951,0.357649730547848
"DTXSID0025571",-4.46902713058033,-1.73211798925917
"DTXSID6045870",-2.0397812344372,-3.02523046226442
"DTXSID2045579",8.53893458413212,-3.36991354576876
"DTXSID4041529",0.507212276229187,-2.79078867759811
"DTXSID5029263",-4.79115658389992,-6.34335863315928
"DTXSID0041357",-2.99218674154258,1.25570075886866
"DTXSID2026943",-6.73638962593463,-5.30151882029399
"DTXSID0045462",5.87037657869146,-3.30861771025938
"DTXSID3020960",0.416327936938023,5.6346550820822
"DTXSID4046151",3.47189662025044,1.10890607685492
"DTXSID0047294",4.66543230831666,1.32437577563075
"DTXSID4047092",-4.01999699067568,4.00235309232326
"DTXSID8020707",-0.0237954932124577,1.5223773501873
"DTXSID6040664",-1.70166200838836,2.68175968737412
"DTXSID7022671",9.22280943211756,-0.135854105811756
"DTXSID2042436",3.63940380600924,-2.35655808362881
"DTXSID8049208",-3.58027794905007,2.07329946519719
"DTXSID1044772",-2.71437626976588,3.68279109073628
"DTXSID2046123",2.61393897137788,6.08156571737155
"DTXSID0042400",-1.96600057480594,2.95975870927467
"DTXSID8032671",2.20938593104748,-0.495401047814673
"DTXSID2041412",-5.92327332478276,-8.07192900044583
"DTXSID0046357",6.34529869670066,2.2770752788518
"DTXSID3045144",5.00596804068784,6.35740946306911
"DTXSID4047838",-2.36263981177868,3.32048283058974
"DTXSID5020021",-2.77804608399299,-7.29491228925584
"DTXSID4020820",-5.84352162471207,-3.62105056638009
"DTXSID6057740",1.54612863874424,-3.8681614852095
"DTXSID0023084",5.0557609050146,0.511242574867245
"DTXSID1033664",2.69147904250168,7.81981553420535
"DTXSID2042220",2.4637862002188,1.36514382432653
"DTXSID8046323",5.81069852970795,4.09193625034705
"DTXSID8020591",-0.261971197634768,0.453325487301734
"DTXSID6045820",6.19217907170853,-3.74780861402002
"DTXSID3041247",-1.37565882265279,2.68130300107891
"DTXSID5040704",-3.35648831132011,0.756547442218969
"DTXSID9045899",-0.207834061099917,0.846214781681745
"DTXSID3021223",3.73583394362918,3.5468059568649
"DTXSID9048271",4.03626423465472,1.64577030988674
"DTXSID7041708",6.49280232462213,-0.482725122011424
"DTXSID1020980",-8.87915499783265,-2.32056448135256
"DTXSID5046481",6.43233076704589,7.65298668990697
"DTXSID6046183",2.51686662516414,4.15358105400559
"DTXSID3041613",2.07807170358475,-0.485356285243835
"DTXSID0033047",-3.41194031174124,2.35191160337542
"DTXSID6057611",9.28151378703565,-1.43338809495499
"DTXSID0045547",1.44532517987662,1.618087356464
"DTXSID8029606",-9.03112298018719,-0.093587947009023
"DTXSID9045639",1.97194555836851,-2.89924270062865
"DTXSID1046974",-3.68449180347034,2.14920285513306
"DTXSID7022253",3.10916785924813,4.20410956587055
"DTXSID5048710",0.368209321206372,-1.94591147095665
"DTXSID2048878",0.0857070455114996,1.18099554334955
"DTXSID6047286",9.29767776237352,1.44547597195746
"DTXSID9040342",-4.5641211021419,-5.33834080288603
"DTXSID2052289",-3.18857892123522,0.583691119225702
"DTXSID3027322",-5.26330655394282,6.42321228841426
"DTXSID4021212",-1.8678099285915,-5.77773503402196
"DTXSID5022194",-4.07419559649358,-0.148892739536427
"DTXSID0040705",2.92543157806025,2.15015848403457
"DTXSID8021305",0.773159325583461,-3.70308625422359
"DTXSID3026560",1.25834491680184,0.164386140292095
"DTXSID1046500",4.55436290825785,-0.185277582190595
"DTXSID5044029",10.4396223038396,5.83772201582545
"DTXSID1040324",-0.299836884672178,-0.0377251585179171
"DTXSID3022873",4.87466672014201,5.44404893039229
"DTXSID7027174",-3.40877890867994,3.64651069101151
"DTXSID5057622",-1.24940992592558,7.68908310202836
"DTXSID2041545",-0.611842018538455,-3.14551938612094
"DTXSID7049423",-1.60314219724351,-2.65571083751091
"DTXSID4032532",5.89576991421149,-4.9952102540979
"DTXSID0030588",-1.00510469182884,-0.298116070448241
"DTXSID6020692",-5.55868175765347,-1.63116761668396
"DTXSID0041513",-5.38414463845669,-3.0486812977951
"DTXSID1047102",1.3430856248969,9.344777552622
"DTXSID9021928",-5.54947922573072,-3.1804778208766
"DTXSID4045638",0.438424191946567,5.83976526089951
"DTXSID5024922",-6.90908232163223,1.37697492079543
"DTXSID4048804",7.47827737149883,1.39752424837798
"DTXSID2023145",12.351521831278,6.11968382449426
"DTXSID5049366",-5.31829342879116,1.41376179972785
"DTXSID1022217",-1.23244599182052,-2.35206453953273
"DTXSID2048668",15.2294577829108,-9.76797593827431
"DTXSID3037545",0.192554348297256,-0.303643141703313
"DTXSID3046617",2.34094199765881,1.78682325312254
"DTXSID8021191",1.6075515470283,3.04173221007468
"DTXSID0044523",-1.32435962937733,-3.31223815639282
"DTXSID5026097",-3.24408166788251,-2.42216125441823
"DTXSID5052593",-5.79870060186997,0.607507345065896
"DTXSID1023526",-5.09345361411581,5.26093032092934
"DTXSID2021997",-4.7779852831833,-0.43908306987384
"DTXSID8041452",-3.1962018651506,3.53942890904841
"DTXSID2021816",-5.62941622758662,-3.77850143752279
"DTXSID5057703",6.52975842370392,2.59174989023604
"DTXSID2026573",1.10770932053579,2.60462027579662
"DTXSID0046511",0.875850763400317,-8.18422371784719
"DTXSID5045413",0.909462813755032,5.92258095013075
"DTXSID6047656",-5.41594257635941,4.03412848082467
"DTXSID6021957",0.134488375730528,-1.20320889641802
"DTXSID7034549",-0.125395688262811,-1.6575544281051
"DTXSID6022133",-1.32725363347627,-2.49492937504425
"DTXSID7027596",-7.628331487635,-2.99472750547445
"DTXSID2023519",4.24773261793091,2.8555503986758
"DTXSID3020914",1.02803129685948,4.34993488433276
"DTXSID2040579",0.690525758319037,2.07660465730403
"DTXSID7040657",1.50556702732639,8.48512365490043
"DTXSID3027790",-1.1988646282631,-1.17898568734334
"DTXSID9021425",6.5462395554331,0.315985041505337
"DTXSID5046061",9.03668126176597,-1.91740410225447
"DTXSID3023188",6.44861201881224,1.71734426232896
"DTXSID7025508",-1.37753427541225,1.5571924843912
"DTXSID2041206",-1.94778388455976,3.91708420520296
"DTXSID6045117",0.925925810023857,1.05032604177043
"DTXSID1045534",7.59344236877676,0.674899412044151
"DTXSID4021767",-9.39515159984916,-7.04226801128168
"DTXSID8021062",-7.68100063923124,0.0395434890624748
"DTXSID3020415",-13.036485841473,-0.424623220491705
"DTXSID9044536",-0.63247837828216,6.84095374118463
"DTXSID0041359",-3.52371017143562,-0.360435322661583
"DTXSID1045324",6.0663558496936,0.392627939384348
"DTXSID5047538",1.34146063449989,0.5748175179501
"DTXSID1024128",-5.6393728926473,3.74942543471302
"DTXSID4025581",3.08153974657074,2.65001534602158
"DTXSID1023071",3.87914666901955,2.9149758208494
"DTXSID0020286",-4.56550181642357,0.607737117540634
"DTXSID6026088",-6.84125811851142,0.733153588488719
"DTXSID5047663",-3.28886419406511,0.615043571545808
"DTXSID6048838",5.73685462865295,-0.560041853624646
"DTXSID6022056",-7.54133178460709,1.48756019737598
"DTXSID5048847",7.8080334944485,-2.82201402869294
"DTXSID2020424",-0.558396590291507,0.335971341340568
"DTXSID2028016",-3.25798128398985,-3.54310078966216
"DTXSID4045478",3.56119817623079,0.804815155994556
"DTXSID0020151",-2.76315126578617,0.567675150839424
"DTXSID7049217",-5.6378809731106,-1.97694191930186
"DTXSID8047842",8.49344773048634,-3.79265387551789
"DTXSID0047038",-2.26200641806235,0.692268672234462
"DTXSID5049312",-2.03410755334135,6.58729808193914
"DTXSID1026954",-0.714999251511574,-2.26795303501953
"DTXSID2021232",9.7285178819596,-3.4829763065469
"DTXSID9045683",1.97910229918657,3.80485932701829
"DTXSID1025148",-5.16681544911083,0.956160855087455
"DTXSID7044970",1.00367180058865,2.14181276078985
"DTXSID7046752",9.11517656415537,-1.24984843968682
"DTXSID1024413",-2.42790640727969,1.64358860659057
"DTXSID2038813",-0.455782745936389,-3.40772366671509
"DTXSID8046535",-6.38999176213902,3.858058097269
"DTXSID9044320",-10.13428965801,0.220466335368021
"DTXSID5049071",2.87412466437497,2.87884536127557
"DTXSID1020697",-1.00498858372385,3.31188336377221
"DTXSID9023463",0.00901060700708259,-0.359458643691343
"DTXSID1025809",-2.75941087798621,4.53031009142496
"DTXSID5025609",-11.3685793496264,-9.90000355541379
"DTXSID6025565",-2.94536364968289,-0.506602583448124
"DTXSID0049315",-1.87653009543098,1.96219335849679
"DTXSID5022647",6.61676965314532,-4.95988123963868
"DTXSID6024460",-2.424654338481,1.95806439733546
"DTXSID0048189",1.73064777369189,0.949992276834109
"DTXSID7023271",-3.29281231856028,-2.46985498398488
"DTXSID8045224",4.41831550446763,-0.0746806298827173
"DTXSID4033390",0.628719209071339,1.28148025591468
"DTXSID7032688",3.01947154072509,3.85262829363185
"DTXSID9021552",-9.48074921872623,8.21752224370613
"DTXSID8024101",7.07711464224647,-5.74942427166686
"DTXSID9047702",-4.04712172090106,1.94615560345015
"DTXSID5020493",-8.44239112265278,-7.55182632607596
"DTXSID6045165",5.37702920397617,5.33268570678499
"DTXSID3041451",-6.82889644836662,-6.26111564604967
"DTXSID9043938",1.37682427291067,-1.04045492575169
"DTXSID4047389",8.96336964227335,-0.33438254064874
"DTXSID9045136",2.37434276020236,5.61291136227458
"DTXSID1046213",5.82800587614657,2.45272993613289
"DTXSID4022527",-1.30107559665799,-1.61326944662083
"DTXSID4022369",7.89359829166126,4.46544985501784
"DTXSID3029154",-9.38026261168835,-0.442416160039942
"DTXSID1045370",2.30173443864756,-2.99222299436834
"DTXSID6044698",-8.25628351122729,3.86905163551165
"DTXSID0042084",2.66225948055596,-2.93004729501847
"DTXSID6032518",-5.95194398909093,-4.74333319015556
"DTXSID0057623",-1.15523896550845,7.28154298105765
"DTXSID7025427",-9.23085146715618,-3.12595598300101
"DTXSID8021488",-0.921513692041728,-6.67062139249611
