system	organ	exp	control
Nervous System	Nervous System	7030.0	313.0
Immune System	Immune System	2350.0	313.0
Respiratory System	Lung	601.0	313.0
Digestive System	Colon	549.0	313.0
Digestive System	Small intestine	461.0	313.0
Digestive System	Stomach	408.0	313.0
Digestive System	Tongue	394.0	313.0
Digestive System	Liver	342.0	313.0
Digestive System	Salivary gland	337.0	313.0
Digestive System	Peritoneum	304.0	313.0
Digestive System	Esophagus	293.0	313.0
Digestive System	Pancreas	280.0	313.0
Visual System	Eye	524.0	313.0
Cardiovascular System	Vascular	447.0	313.0
Cardiovascular System	Heart	357.0	313.0
Endocrine System	Adrenal gland	427.0	313.0
Endocrine System	Pituitary gland	320.0	313.0
Endocrine System	Adipose tissue	301.0	313.0
Endocrine System	Thyroid gland	301.0	313.0
Urogenital System	Kidney	399.0	313.0
Urogenital System	Bladder	325.0	313.0
Urogenital System	Penis	319.0	313.0
Urogenital System	Prostate gland	318.0	313.0
Urogenital System	Uterus	317.0	313.0
Urogenital System	Ovary	294.0	313.0
Urogenital System	Vagina	281.0	313.0
Urogenital System	Urethra	272.0	313.0
Urogenital System	Placenta	257.0	313.0
Urogenital System	Testes	248.0	313.0
Integumentary System	Skin	323.0	313.0
Musculoskeletal System	Skeletal Muscle	309.0	313.0
Musculoskeletal System	Joint	289.0	313.0
Exocrine System	Mammary gland	296.0	313.0
Olfactory System	Nervous System	260.0	313.0
