system	organ	exp	control
Musculoskeletal System	Joint	2980.0	893.0
Musculoskeletal System	Skeletal Muscle	326.0	893.0
Urogenital System	Placenta	2810.0	893.0
Urogenital System	Penis	2590.0	893.0
Urogenital System	Bladder	2340.0	893.0
Urogenital System	Urethra	2200.0	893.0
Urogenital System	Uterus	2050.0	893.0
Urogenital System	Vagina	2000.0	893.0
Urogenital System	Prostate gland	1090.0	893.0
Urogenital System	Ovary	843.0	893.0
Urogenital System	Kidney	586.0	893.0
Urogenital System	Testes	274.0	893.0
Nervous System	Nervous System	2440.0	893.0
Endocrine System	Adipose tissue	2360.0	893.0
Endocrine System	Thyroid gland	816.0	893.0
Endocrine System	Adrenal gland	797.0	893.0
Endocrine System	Pituitary gland	289.0	893.0
Cardiovascular System	Vascular	2260.0	893.0
Cardiovascular System	Heart	2020.0	893.0
Exocrine System	Mammary gland	2130.0	893.0
Respiratory System	Lung	1980.0	893.0
Immune System	Immune System	1940.0	893.0
Integumentary System	Skin	1920.0	893.0
Digestive System	Colon	1770.0	893.0
Digestive System	Liver	1740.0	893.0
Digestive System	Small intestine	1720.0	893.0
Digestive System	Stomach	1470.0	893.0
Digestive System	Peritoneum	1220.0	893.0
Digestive System	Esophagus	1070.0	893.0
Digestive System	Tongue	909.0	893.0
Digestive System	Salivary gland	410.0	893.0
Digestive System	Pancreas	256.0	893.0
Visual System	Eye	1590.0	893.0
Olfactory System	Nervous System	381.0	893.0
