system	organ	exp	control
Endocrine System	Thyroid gland	4930.0	1140.0
Endocrine System	Adipose tissue	2060.0	1570.0
Endocrine System	Pituitary gland	1820.0	1140.0
Endocrine System	Adrenal gland	1590.0	1570.0
Digestive System	Liver	3150.0	1570.0
Digestive System	Colon	3110.0	1570.0
Digestive System	Salivary gland	2080.0	1570.0
Digestive System	Tongue	1700.0	1570.0
Digestive System	Pancreas	1640.0	1570.0
Digestive System	Esophagus	1630.0	1570.0
Digestive System	Stomach	1600.0	1570.0
Digestive System	Small intestine	1580.0	1570.0
Digestive System	Peritoneum	1140.0	1140.0
Nervous System	Nervous System	3110.0	1570.0
Urogenital System	Uterus	2160.0	1570.0
Urogenital System	Kidney	2030.0	1570.0
Urogenital System	Ovary	1940.0	1570.0
Urogenital System	Vagina	1790.0	1570.0
Urogenital System	Testes	1690.0	1570.0
Urogenital System	Penis	1390.0	1570.0
Urogenital System	Prostate gland	1380.0	1570.0
Urogenital System	Placenta	1320.0	1570.0
Urogenital System	Urethra	1310.0	1140.0
Urogenital System	Bladder	1180.0	1570.0
Cardiovascular System	Vascular	2080.0	1570.0
Cardiovascular System	Heart	1740.0	1570.0
Musculoskeletal System	Skeletal Muscle	2050.0	1570.0
Musculoskeletal System	Joint	1160.0	1570.0
Immune System	Immune System	1870.0	1570.0
Exocrine System	Mammary gland	1860.0	1570.0
Respiratory System	Lung	1410.0	1570.0
Integumentary System	Skin	1290.0	1570.0
Olfactory System	Nervous System	329.0	276.0
Visual System	Eye	226.0	276.0
