system	organ	exp	control
Immune System	Immune System	3700.0	1350.0
Digestive System	Pancreas	2800.0	1350.0
Digestive System	Peritoneum	1830.0	1350.0
Digestive System	Salivary gland	1740.0	1350.0
Digestive System	Tongue	1630.0	1350.0
Digestive System	Colon	1540.0	1350.0
Digestive System	Liver	1500.0	1260.0
Digestive System	Stomach	1340.0	1350.0
Digestive System	Small intestine	1260.0	1260.0
Digestive System	Esophagus	1180.0	1260.0
Integumentary System	Skin	2280.0	1350.0
Musculoskeletal System	Skeletal Muscle	2250.0	1350.0
Musculoskeletal System	Joint	2040.0	1350.0
Nervous System	Nervous System	1970.0	1350.0
Cardiovascular System	Vascular	1870.0	1350.0
Cardiovascular System	Heart	1640.0	1350.0
Urogenital System	Testes	1850.0	1260.0
Urogenital System	Bladder	1810.0	1260.0
Urogenital System	Urethra	1800.0	1350.0
Urogenital System	Kidney	1700.0	1350.0
Urogenital System	Placenta	1670.0	1260.0
Urogenital System	Penis	1670.0	1350.0
Urogenital System	Uterus	1660.0	1350.0
Urogenital System	Vagina	1600.0	1350.0
Urogenital System	Prostate gland	1450.0	1350.0
Urogenital System	Ovary	1440.0	1350.0
Exocrine System	Mammary gland	1670.0	1350.0
Endocrine System	Adrenal gland	1670.0	1350.0
Endocrine System	Adipose tissue	1610.0	1350.0
Endocrine System	Thyroid gland	1560.0	1350.0
Endocrine System	Pituitary gland	1510.0	1350.0
Respiratory System	Lung	1480.0	1350.0
Olfactory System	Nervous System	1470.0	1260.0
Visual System	Eye	1450.0	1260.0
