system	organ	exp	control
Immune System	Immune System	1630.0	294.0
Digestive System	Colon	1310.0	294.0
Digestive System	Small intestine	877.0	294.0
Digestive System	Liver	755.0	294.0
Digestive System	Stomach	456.0	294.0
Digestive System	Tongue	396.0	294.0
Digestive System	Pancreas	288.0	294.0
Digestive System	Salivary gland	285.0	294.0
Digestive System	Esophagus	273.0	188.0
Digestive System	Peritoneum	206.0	294.0
Urogenital System	Testes	1030.0	294.0
Urogenital System	Bladder	744.0	294.0
Urogenital System	Uterus	367.0	294.0
Urogenital System	Penis	333.0	294.0
Urogenital System	Vagina	327.0	294.0
Urogenital System	Kidney	321.0	294.0
Urogenital System	Placenta	318.0	294.0
Urogenital System	Ovary	312.0	294.0
Urogenital System	Prostate gland	222.0	294.0
Urogenital System	Urethra	182.0	294.0
Nervous System	Nervous System	786.0	294.0
Musculoskeletal System	Skeletal Muscle	565.0	294.0
Musculoskeletal System	Joint	214.0	294.0
Cardiovascular System	Heart	454.0	294.0
Cardiovascular System	Vascular	227.0	294.0
Endocrine System	Thyroid gland	356.0	294.0
Endocrine System	Adrenal gland	273.0	294.0
Endocrine System	Pituitary gland	231.0	294.0
Endocrine System	Adipose tissue	222.0	294.0
Integumentary System	Skin	353.0	294.0
Respiratory System	Lung	349.0	294.0
Visual System	Eye	337.0	294.0
Olfactory System	Nervous System	314.0	294.0
Exocrine System	Mammary gland	259.0	294.0
