system	organ	exp	control
Digestive System	Pancreas	11700.0	1180.0
Digestive System	Small intestine	5930.0	1180.0
Digestive System	Colon	3130.0	1180.0
Digestive System	Peritoneum	2750.0	1180.0
Digestive System	Liver	2370.0	1180.0
Digestive System	Salivary gland	1310.0	1150.0
Digestive System	Stomach	1310.0	1180.0
Digestive System	Tongue	1040.0	1150.0
Digestive System	Esophagus	970.0	1150.0
Nervous System	Nervous System	10800.0	1180.0
Cardiovascular System	Vascular	2380.0	1180.0
Cardiovascular System	Heart	2320.0	1180.0
Exocrine System	Mammary gland	2040.0	1180.0
Urogenital System	Uterus	1980.0	1180.0
Urogenital System	Ovary	1960.0	1180.0
Urogenital System	Kidney	1640.0	1180.0
Urogenital System	Vagina	1280.0	1150.0
Urogenital System	Bladder	1130.0	1150.0
Urogenital System	Urethra	1120.0	1180.0
Urogenital System	Testes	1120.0	1180.0
Urogenital System	Placenta	992.0	1150.0
Urogenital System	Penis	939.0	1150.0
Urogenital System	Prostate gland	861.0	1150.0
Endocrine System	Adipose tissue	1920.0	1180.0
Endocrine System	Adrenal gland	1810.0	1180.0
Endocrine System	Thyroid gland	1370.0	1180.0
Endocrine System	Pituitary gland	1240.0	1180.0
Immune System	Immune System	1660.0	1180.0
Olfactory System	Nervous System	1570.0	833.0
Respiratory System	Lung	1290.0	1180.0
Musculoskeletal System	Skeletal Muscle	1280.0	1150.0
Musculoskeletal System	Joint	1160.0	833.0
Integumentary System	Skin	1200.0	1150.0
Visual System	Eye	819.0	833.0
