system	organ	exp	control
Immune System	Immune System	9450.0	663.0
Nervous System	Nervous System	2060.0	663.0
Musculoskeletal System	Skeletal Muscle	2050.0	663.0
Musculoskeletal System	Joint	821.0	663.0
Cardiovascular System	Heart	1930.0	663.0
Cardiovascular System	Vascular	561.0	663.0
Digestive System	Tongue	1660.0	663.0
Digestive System	Colon	1540.0	663.0
Digestive System	Liver	1250.0	663.0
Digestive System	Pancreas	894.0	663.0
Digestive System	Salivary gland	799.0	663.0
Digestive System	Stomach	671.0	663.0
Digestive System	Small intestine	564.0	663.0
Digestive System	Esophagus	367.0	663.0
Digestive System	Peritoneum	325.0	663.0
Endocrine System	Adrenal gland	1430.0	663.0
Endocrine System	Thyroid gland	1010.0	663.0
Endocrine System	Pituitary gland	561.0	663.0
Endocrine System	Adipose tissue	519.0	663.0
Urogenital System	Testes	1300.0	663.0
Urogenital System	Kidney	1140.0	663.0
Urogenital System	Bladder	1020.0	663.0
Urogenital System	Uterus	915.0	663.0
Urogenital System	Placenta	770.0	663.0
Urogenital System	Ovary	589.0	663.0
Urogenital System	Vagina	404.0	663.0
Urogenital System	Prostate gland	401.0	663.0
Urogenital System	Penis	335.0	663.0
Urogenital System	Urethra	333.0	663.0
Olfactory System	Nervous System	1210.0	663.0
Respiratory System	Lung	1050.0	663.0
Integumentary System	Skin	454.0	663.0
Visual System	Eye	447.0	663.0
Exocrine System	Mammary gland	446.0	663.0
