system	organ	exp	control
Immune System	Immune System	4140.0	796.0
Nervous System	Nervous System	2690.0	796.0
Cardiovascular System	Heart	2540.0	796.0
Cardiovascular System	Vascular	1090.0	796.0
Musculoskeletal System	Skeletal Muscle	2310.0	580.0
Musculoskeletal System	Joint	700.0	796.0
Digestive System	Colon	1800.0	796.0
Digestive System	Tongue	1510.0	796.0
Digestive System	Stomach	1370.0	796.0
Digestive System	Liver	1000.0	796.0
Digestive System	Small intestine	933.0	796.0
Digestive System	Esophagus	916.0	796.0
Digestive System	Pancreas	858.0	796.0
Digestive System	Salivary gland	722.0	796.0
Digestive System	Peritoneum	667.0	796.0
Endocrine System	Adrenal gland	1680.0	796.0
Endocrine System	Thyroid gland	1260.0	796.0
Endocrine System	Adipose tissue	1040.0	796.0
Endocrine System	Pituitary gland	584.0	796.0
Urogenital System	Testes	1210.0	552.0
Urogenital System	Kidney	1170.0	796.0
Urogenital System	Bladder	1140.0	552.0
Urogenital System	Uterus	1020.0	796.0
Urogenital System	Placenta	798.0	552.0
Urogenital System	Vagina	767.0	796.0
Urogenital System	Urethra	687.0	796.0
Urogenital System	Ovary	661.0	796.0
Urogenital System	Penis	604.0	796.0
Urogenital System	Prostate gland	547.0	796.0
Olfactory System	Nervous System	1120.0	552.0
Visual System	Eye	1110.0	796.0
Respiratory System	Lung	1080.0	796.0
Exocrine System	Mammary gland	950.0	796.0
Integumentary System	Skin	618.0	552.0
