system	organ	exp	control
Digestive System	Salivary gland	9970.0	391.0
Digestive System	Stomach	1770.0	391.0
Digestive System	Small intestine	1700.0	391.0
Digestive System	Pancreas	1350.0	391.0
Digestive System	Tongue	1210.0	391.0
Digestive System	Esophagus	779.0	391.0
Digestive System	Colon	660.0	391.0
Digestive System	Liver	519.0	385.0
Digestive System	Peritoneum	360.0	385.0
Nervous System	Nervous System	2930.0	391.0
Urogenital System	Ovary	755.0	391.0
Urogenital System	Urethra	547.0	391.0
Urogenital System	Bladder	527.0	391.0
Urogenital System	Uterus	475.0	391.0
Urogenital System	Kidney	461.0	391.0
Urogenital System	Placenta	439.0	391.0
Urogenital System	Testes	413.0	391.0
Urogenital System	Vagina	386.0	385.0
Urogenital System	Prostate gland	340.0	391.0
Urogenital System	Penis	318.0	385.0
Respiratory System	Lung	751.0	391.0
Immune System	Immune System	582.0	391.0
Cardiovascular System	Heart	524.0	391.0
Cardiovascular System	Vascular	406.0	385.0
Musculoskeletal System	Skeletal Muscle	464.0	391.0
Musculoskeletal System	Joint	418.0	385.0
Endocrine System	Adrenal gland	459.0	391.0
Endocrine System	Thyroid gland	451.0	391.0
Endocrine System	Adipose tissue	419.0	385.0
Endocrine System	Pituitary gland	357.0	385.0
Exocrine System	Mammary gland	431.0	391.0
Olfactory System	Nervous System	414.0	391.0
Visual System	Eye	361.0	391.0
Integumentary System	Skin	312.0	385.0
