system	organ	exp	control
Digestive System	Liver	3430.0	277.0
Digestive System	Colon	1330.0	277.0
Digestive System	Small intestine	974.0	277.0
Digestive System	Pancreas	587.0	277.0
Digestive System	Tongue	552.0	277.0
Digestive System	Stomach	485.0	277.0
Digestive System	Salivary gland	288.0	277.0
Digestive System	Peritoneum	151.0	277.0
Digestive System	Esophagus	123.0	277.0
Nervous System	Nervous System	1650.0	277.0
Cardiovascular System	Heart	849.0	277.0
Cardiovascular System	Vascular	267.0	277.0
Endocrine System	Thyroid gland	636.0	277.0
Endocrine System	Adrenal gland	537.0	277.0
Endocrine System	Pituitary gland	240.0	277.0
Endocrine System	Adipose tissue	176.0	277.0
Urogenital System	Testes	618.0	277.0
Urogenital System	Uterus	608.0	277.0
Urogenital System	Kidney	570.0	277.0
Urogenital System	Placenta	516.0	277.0
Urogenital System	Bladder	384.0	277.0
Urogenital System	Ovary	338.0	277.0
Urogenital System	Prostate gland	211.0	277.0
Urogenital System	Vagina	163.0	277.0
Urogenital System	Penis	150.0	277.0
Urogenital System	Urethra	142.0	277.0
Respiratory System	Lung	617.0	277.0
Immune System	Immune System	604.0	277.0
Musculoskeletal System	Skeletal Muscle	577.0	277.0
Musculoskeletal System	Joint	180.0	277.0
Olfactory System	Nervous System	538.0	277.0
Exocrine System	Mammary gland	319.0	277.0
Integumentary System	Skin	302.0	277.0
Visual System	Eye	265.0	277.0
