system	organ	exp	control
Digestive System	Liver	33200.0	112.0
Digestive System	Stomach	812.0	112.0
Digestive System	Small intestine	327.0	112.0
Digestive System	Colon	175.0	112.0
Digestive System	Peritoneum	145.0	112.0
Digestive System	Pancreas	115.0	112.0
Digestive System	Esophagus	110.0	112.0
Digestive System	Salivary gland	109.0	112.0
Digestive System	Tongue	106.0	112.0
Immune System	Immune System	328.0	112.0
Urogenital System	Testes	264.0	112.0
Urogenital System	Uterus	130.0	112.0
Urogenital System	Kidney	124.0	112.0
Urogenital System	Placenta	114.0	112.0
Urogenital System	Prostate gland	113.0	112.0
Urogenital System	Ovary	107.0	112.0
Urogenital System	Bladder	106.0	112.0
Urogenital System	Urethra	104.0	112.0
Urogenital System	Vagina	103.0	112.0
Urogenital System	Penis	99.8	112.0
Cardiovascular System	Vascular	163.0	112.0
Cardiovascular System	Heart	125.0	112.0
Nervous System	Nervous System	160.0	112.0
Endocrine System	Pituitary gland	159.0	112.0
Endocrine System	Adrenal gland	132.0	112.0
Endocrine System	Thyroid gland	125.0	112.0
Endocrine System	Adipose tissue	113.0	112.0
Visual System	Eye	153.0	112.0
Olfactory System	Nervous System	131.0	112.0
Musculoskeletal System	Skeletal Muscle	117.0	112.0
Musculoskeletal System	Joint	104.0	112.0
Respiratory System	Lung	116.0	112.0
Exocrine System	Mammary gland	114.0	112.0
Integumentary System	Skin	106.0	112.0
