system	organ	exp	control
Digestive System	Liver	16700.0	789.0
Digestive System	Colon	2490.0	789.0
Digestive System	Tongue	1530.0	789.0
Digestive System	Small intestine	1270.0	789.0
Digestive System	Pancreas	953.0	789.0
Digestive System	Salivary gland	888.0	789.0
Digestive System	Stomach	672.0	789.0
Digestive System	Peritoneum	611.0	789.0
Digestive System	Esophagus	532.0	789.0
Musculoskeletal System	Skeletal Muscle	2610.0	789.0
Musculoskeletal System	Joint	559.0	789.0
Nervous System	Nervous System	2330.0	789.0
Cardiovascular System	Heart	2330.0	789.0
Cardiovascular System	Vascular	876.0	789.0
Urogenital System	Bladder	1700.0	789.0
Urogenital System	Testes	1310.0	789.0
Urogenital System	Uterus	1300.0	789.0
Urogenital System	Kidney	1180.0	789.0
Urogenital System	Placenta	963.0	789.0
Urogenital System	Vagina	745.0	789.0
Urogenital System	Ovary	733.0	789.0
Urogenital System	Penis	607.0	789.0
Urogenital System	Prostate gland	597.0	789.0
Urogenital System	Urethra	449.0	789.0
Immune System	Immune System	1420.0	789.0
Olfactory System	Nervous System	1280.0	789.0
Endocrine System	Adrenal gland	1160.0	789.0
Endocrine System	Thyroid gland	1130.0	789.0
Endocrine System	Pituitary gland	927.0	789.0
Endocrine System	Adipose tissue	681.0	789.0
Respiratory System	Lung	1060.0	789.0
Integumentary System	Skin	727.0	789.0
Exocrine System	Mammary gland	688.0	789.0
Visual System	Eye	618.0	789.0
