system	organ	exp	control
Digestive System	Liver	32500.0	306.0
Digestive System	Small intestine	27000.0	2220.0
Digestive System	Colon	9700.0	2220.0
Digestive System	Tongue	9190.0	2220.0
Digestive System	Pancreas	3270.0	2220.0
Digestive System	Stomach	2280.0	2220.0
Digestive System	Salivary gland	2090.0	2220.0
Digestive System	Peritoneum	1200.0	2220.0
Digestive System	Esophagus	995.0	2220.0
Nervous System	Nervous System	26100.0	2220.0
Cardiovascular System	Heart	14600.0	2220.0
Cardiovascular System	Vascular	3700.0	2220.0
Musculoskeletal System	Skeletal Muscle	11000.0	2220.0
Musculoskeletal System	Joint	1050.0	2220.0
Olfactory System	Nervous System	6830.0	2220.0
Urogenital System	Testes	6410.0	2220.0
Urogenital System	Uterus	4820.0	2220.0
Urogenital System	Bladder	3650.0	2220.0
Urogenital System	Kidney	3110.0	2220.0
Urogenital System	Ovary	2300.0	2220.0
Urogenital System	Placenta	2290.0	2220.0
Urogenital System	Vagina	1640.0	2220.0
Urogenital System	Prostate gland	1500.0	2220.0
Urogenital System	Penis	872.0	2220.0
Urogenital System	Urethra	760.0	2220.0
Endocrine System	Adrenal gland	5030.0	2220.0
Endocrine System	Thyroid gland	3420.0	2220.0
Endocrine System	Pituitary gland	2090.0	2220.0
Endocrine System	Adipose tissue	1200.0	2220.0
Respiratory System	Lung	3370.0	2220.0
Immune System	Immune System	2610.0	2220.0
Integumentary System	Skin	2180.0	2220.0
Exocrine System	Mammary gland	1520.0	2220.0
Visual System	Eye	1250.0	2220.0
