system	organ	exp	control
Digestive System	Colon	1100.0	219.0
Digestive System	Salivary gland	551.0	219.0
Digestive System	Tongue	387.0	219.0
Digestive System	Pancreas	256.0	219.0
Digestive System	Liver	235.0	219.0
Digestive System	Small intestine	205.0	219.0
Digestive System	Peritoneum	200.0	219.0
Digestive System	Esophagus	188.0	219.0
Digestive System	Stomach	178.0	219.0
Immune System	Immune System	930.0	219.0
Cardiovascular System	Heart	744.0	219.0
Cardiovascular System	Vascular	194.0	219.0
Nervous System	Nervous System	527.0	219.0
Musculoskeletal System	Skeletal Muscle	492.0	219.0
Musculoskeletal System	Joint	178.0	219.0
Olfactory System	Nervous System	358.0	219.0
Urogenital System	Testes	337.0	219.0
Urogenital System	Uterus	277.0	219.0
Urogenital System	Kidney	273.0	219.0
Urogenital System	Placenta	238.0	219.0
Urogenital System	Bladder	227.0	219.0
Urogenital System	Ovary	214.0	219.0
Urogenital System	Prostate gland	197.0	219.0
Urogenital System	Penis	197.0	219.0
Urogenital System	Urethra	181.0	219.0
Urogenital System	Vagina	171.0	219.0
Endocrine System	Thyroid gland	331.0	219.0
Endocrine System	Adrenal gland	287.0	219.0
Endocrine System	Pituitary gland	229.0	219.0
Endocrine System	Adipose tissue	204.0	219.0
Respiratory System	Lung	281.0	219.0
Integumentary System	Skin	226.0	219.0
Exocrine System	Mammary gland	203.0	219.0
Visual System	Eye	161.0	219.0
