system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	22200.0	3780.0
Musculoskeletal System	Joint	2710.0	3780.0
Cardiovascular System	Heart	14600.0	3780.0
Cardiovascular System	Vascular	9120.0	3780.0
Nervous System	Nervous System	10300.0	3780.0
Digestive System	Liver	7270.0	3780.0
Digestive System	Tongue	6930.0	3780.0
Digestive System	Small intestine	5990.0	3780.0
Digestive System	Stomach	5720.0	3780.0
Digestive System	Esophagus	5300.0	3780.0
Digestive System	Colon	5290.0	3780.0
Digestive System	Pancreas	4130.0	3780.0
Digestive System	Peritoneum	4080.0	3780.0
Digestive System	Salivary gland	3180.0	3780.0
Urogenital System	Kidney	7160.0	3780.0
Urogenital System	Urethra	4760.0	3780.0
Urogenital System	Uterus	4610.0	3780.0
Urogenital System	Testes	4340.0	3780.0
Urogenital System	Placenta	4320.0	3780.0
Urogenital System	Vagina	4000.0	3780.0
Urogenital System	Prostate gland	3480.0	3780.0
Urogenital System	Bladder	3180.0	3780.0
Urogenital System	Ovary	2500.0	3780.0
Urogenital System	Penis	2330.0	3780.0
Endocrine System	Adrenal gland	6110.0	3780.0
Endocrine System	Thyroid gland	4740.0	3780.0
Endocrine System	Pituitary gland	3810.0	3780.0
Endocrine System	Adipose tissue	3520.0	3780.0
Olfactory System	Nervous System	5040.0	3780.0
Exocrine System	Mammary gland	4430.0	3780.0
Respiratory System	Lung	4120.0	3780.0
Immune System	Immune System	3810.0	3780.0
Visual System	Eye	3050.0	3780.0
Integumentary System	Skin	2550.0	3780.0
