system	organ	exp	control
Immune System	Immune System	15600.0	2350.0
Musculoskeletal System	Skeletal Muscle	4790.0	2350.0
Musculoskeletal System	Joint	2990.0	2350.0
Visual System	Eye	4590.0	2350.0
Urogenital System	Uterus	3470.0	2350.0
Urogenital System	Urethra	3020.0	2350.0
Urogenital System	Testes	2920.0	2350.0
Urogenital System	Vagina	2840.0	2350.0
Urogenital System	Placenta	2810.0	2350.0
Urogenital System	Ovary	2760.0	2350.0
Urogenital System	Bladder	2480.0	2350.0
Urogenital System	Prostate gland	2400.0	2350.0
Urogenital System	Penis	2370.0	2350.0
Urogenital System	Kidney	2260.0	2350.0
Exocrine System	Mammary gland	3290.0	2350.0
Digestive System	Small intestine	3230.0	2350.0
Digestive System	Peritoneum	3200.0	2350.0
Digestive System	Colon	3030.0	2350.0
Digestive System	Tongue	2770.0	2350.0
Digestive System	Stomach	2270.0	2350.0
Digestive System	Esophagus	1940.0	2350.0
Digestive System	Salivary gland	1790.0	2350.0
Digestive System	Liver	1360.0	2350.0
Digestive System	Pancreas	1210.0	469.0
Nervous System	Nervous System	3200.0	2350.0
Cardiovascular System	Vascular	2930.0	2350.0
Cardiovascular System	Heart	2750.0	2350.0
Endocrine System	Thyroid gland	2740.0	2350.0
Endocrine System	Adipose tissue	2160.0	2350.0
Endocrine System	Pituitary gland	2140.0	2350.0
Endocrine System	Adrenal gland	1720.0	2350.0
Integumentary System	Skin	2480.0	2350.0
Respiratory System	Lung	2210.0	2350.0
Olfactory System	Nervous System	1040.0	469.0
