system	organ	exp	control
Digestive System	Salivary gland	6430.0	912.0
Digestive System	Liver	1350.0	912.0
Digestive System	Colon	1260.0	912.0
Digestive System	Small intestine	1180.0	912.0
Digestive System	Stomach	1120.0	912.0
Digestive System	Pancreas	988.0	912.0
Digestive System	Peritoneum	626.0	912.0
Digestive System	Tongue	438.0	912.0
Digestive System	Esophagus	344.0	912.0
Nervous System	Nervous System	5730.0	912.0
Cardiovascular System	Heart	3350.0	912.0
Cardiovascular System	Vascular	1210.0	912.0
Endocrine System	Adipose tissue	2910.0	912.0
Endocrine System	Adrenal gland	2370.0	912.0
Endocrine System	Thyroid gland	1040.0	912.0
Endocrine System	Pituitary gland	490.0	912.0
Respiratory System	Lung	2680.0	912.0
Urogenital System	Placenta	2270.0	912.0
Urogenital System	Penis	1510.0	912.0
Urogenital System	Prostate gland	1410.0	912.0
Urogenital System	Kidney	1340.0	912.0
Urogenital System	Uterus	1030.0	912.0
Urogenital System	Bladder	878.0	912.0
Urogenital System	Vagina	799.0	912.0
Urogenital System	Urethra	765.0	912.0
Urogenital System	Ovary	517.0	912.0
Urogenital System	Testes	413.0	912.0
Immune System	Immune System	1700.0	912.0
Musculoskeletal System	Joint	1500.0	912.0
Musculoskeletal System	Skeletal Muscle	1290.0	912.0
Integumentary System	Skin	1200.0	912.0
Exocrine System	Mammary gland	1120.0	912.0
Visual System	Eye	1020.0	912.0
Olfactory System	Nervous System	603.0	912.0
