system	organ	exp	control
Urogenital System	Uterus	18300.0	252.0
Urogenital System	Vagina	7600.0	252.0
Urogenital System	Urethra	2250.0	252.0
Urogenital System	Testes	1230.0	908.0
Urogenital System	Kidney	1070.0	908.0
Urogenital System	Prostate gland	1030.0	252.0
Urogenital System	Placenta	919.0	908.0
Urogenital System	Ovary	876.0	908.0
Urogenital System	Penis	823.0	252.0
Urogenital System	Bladder	701.0	725.0
Exocrine System	Mammary gland	5340.0	252.0
Digestive System	Peritoneum	4750.0	252.0
Digestive System	Colon	1990.0	908.0
Digestive System	Tongue	1420.0	908.0
Digestive System	Liver	1240.0	908.0
Digestive System	Pancreas	1120.0	908.0
Digestive System	Salivary gland	1110.0	908.0
Digestive System	Small intestine	1080.0	908.0
Digestive System	Stomach	839.0	908.0
Digestive System	Esophagus	613.0	908.0
Musculoskeletal System	Skeletal Muscle	2040.0	908.0
Musculoskeletal System	Joint	1240.0	252.0
Cardiovascular System	Heart	1670.0	908.0
Cardiovascular System	Vascular	1090.0	908.0
Nervous System	Nervous System	1550.0	908.0
Olfactory System	Nervous System	1300.0	725.0
Endocrine System	Pituitary gland	1290.0	252.0
Endocrine System	Adrenal gland	1210.0	908.0
Endocrine System	Adipose tissue	1110.0	908.0
Endocrine System	Thyroid gland	1090.0	908.0
Immune System	Immune System	1130.0	908.0
Respiratory System	Lung	941.0	908.0
Integumentary System	Skin	655.0	908.0
Visual System	Eye	632.0	725.0
