system	organ	exp	control
Nervous System	Nervous System	5450.0	1320.0
Immune System	Immune System	4700.0	1320.0
Cardiovascular System	Heart	4490.0	1320.0
Cardiovascular System	Vascular	1760.0	1320.0
Musculoskeletal System	Skeletal Muscle	4450.0	1320.0
Musculoskeletal System	Joint	852.0	1320.0
Digestive System	Tongue	3170.0	1320.0
Digestive System	Colon	2980.0	1320.0
Digestive System	Small intestine	2850.0	1320.0
Digestive System	Pancreas	2530.0	1320.0
Digestive System	Liver	2360.0	1320.0
Digestive System	Salivary gland	2330.0	1320.0
Digestive System	Stomach	1800.0	1320.0
Digestive System	Esophagus	1320.0	1320.0
Digestive System	Peritoneum	989.0	1110.0
Urogenital System	Kidney	3130.0	1320.0
Urogenital System	Testes	2210.0	1110.0
Urogenital System	Placenta	2050.0	1320.0
Urogenital System	Uterus	1980.0	1320.0
Urogenital System	Bladder	1400.0	1320.0
Urogenital System	Vagina	1120.0	1320.0
Urogenital System	Ovary	1050.0	1110.0
Urogenital System	Penis	988.0	1320.0
Urogenital System	Prostate gland	866.0	1320.0
Urogenital System	Urethra	815.0	1320.0
Endocrine System	Thyroid gland	2700.0	1320.0
Endocrine System	Adrenal gland	2680.0	1320.0
Endocrine System	Adipose tissue	1120.0	1320.0
Endocrine System	Pituitary gland	1010.0	1110.0
Respiratory System	Lung	2150.0	1320.0
Visual System	Eye	2110.0	1320.0
Olfactory System	Nervous System	2060.0	1320.0
Integumentary System	Skin	1170.0	1320.0
Exocrine System	Mammary gland	1020.0	1320.0
