system	organ	exp	control
Digestive System	Salivary gland	813.0	373.0
Digestive System	Colon	601.0	373.0
Digestive System	Small intestine	490.0	373.0
Digestive System	Tongue	464.0	373.0
Digestive System	Pancreas	430.0	292.0
Digestive System	Stomach	405.0	373.0
Digestive System	Liver	370.0	373.0
Digestive System	Esophagus	356.0	373.0
Digestive System	Peritoneum	311.0	373.0
Urogenital System	Kidney	783.0	373.0
Urogenital System	Testes	419.0	373.0
Urogenital System	Uterus	391.0	373.0
Urogenital System	Vagina	388.0	373.0
Urogenital System	Ovary	383.0	373.0
Urogenital System	Penis	374.0	373.0
Urogenital System	Placenta	362.0	373.0
Urogenital System	Urethra	317.0	373.0
Urogenital System	Prostate gland	314.0	373.0
Urogenital System	Bladder	300.0	373.0
Nervous System	Nervous System	589.0	373.0
Musculoskeletal System	Skeletal Muscle	579.0	373.0
Musculoskeletal System	Joint	380.0	373.0
Cardiovascular System	Vascular	490.0	373.0
Cardiovascular System	Heart	443.0	373.0
Immune System	Immune System	480.0	373.0
Endocrine System	Adipose tissue	435.0	373.0
Endocrine System	Adrenal gland	395.0	373.0
Endocrine System	Thyroid gland	387.0	373.0
Endocrine System	Pituitary gland	383.0	373.0
Exocrine System	Mammary gland	429.0	373.0
Respiratory System	Lung	377.0	373.0
Integumentary System	Skin	353.0	373.0
Olfactory System	Nervous System	279.0	292.0
Visual System	Eye	227.0	292.0
