system	organ	exp	control
Digestive System	Colon	771.0	275.0
Digestive System	Pancreas	396.0	275.0
Digestive System	Salivary gland	346.0	275.0
Digestive System	Tongue	292.0	275.0
Digestive System	Liver	276.0	275.0
Digestive System	Stomach	266.0	275.0
Digestive System	Small intestine	253.0	275.0
Digestive System	Peritoneum	244.0	275.0
Digestive System	Esophagus	233.0	275.0
Nervous System	Nervous System	358.0	275.0
Urogenital System	Ovary	353.0	275.0
Urogenital System	Uterus	307.0	275.0
Urogenital System	Bladder	292.0	275.0
Urogenital System	Vagina	285.0	275.0
Urogenital System	Kidney	262.0	275.0
Urogenital System	Penis	245.0	275.0
Urogenital System	Urethra	238.0	275.0
Urogenital System	Placenta	229.0	275.0
Urogenital System	Testes	228.0	275.0
Urogenital System	Prostate gland	216.0	275.0
Exocrine System	Mammary gland	350.0	275.0
Cardiovascular System	Heart	347.0	275.0
Cardiovascular System	Vascular	298.0	275.0
Immune System	Immune System	333.0	275.0
Respiratory System	Lung	304.0	275.0
Endocrine System	Adipose tissue	292.0	275.0
Endocrine System	Pituitary gland	291.0	275.0
Endocrine System	Thyroid gland	285.0	275.0
Endocrine System	Adrenal gland	274.0	275.0
Integumentary System	Skin	286.0	275.0
Musculoskeletal System	Skeletal Muscle	284.0	275.0
Musculoskeletal System	Joint	261.0	275.0
Visual System	Eye	0.0	0.0
Olfactory System	Nervous System	0.0	0.0
