system	organ	exp	control
Digestive System	Colon	1150.0	335.0
Digestive System	Pancreas	474.0	335.0
Digestive System	Salivary gland	415.0	335.0
Digestive System	Small intestine	411.0	335.0
Digestive System	Liver	372.0	335.0
Digestive System	Peritoneum	367.0	335.0
Digestive System	Tongue	359.0	335.0
Digestive System	Stomach	328.0	335.0
Digestive System	Esophagus	294.0	335.0
Urogenital System	Placenta	1050.0	186.0
Urogenital System	Ovary	415.0	335.0
Urogenital System	Uterus	375.0	335.0
Urogenital System	Vagina	361.0	335.0
Urogenital System	Kidney	353.0	335.0
Urogenital System	Bladder	323.0	335.0
Urogenital System	Testes	310.0	335.0
Urogenital System	Penis	305.0	335.0
Urogenital System	Urethra	292.0	335.0
Urogenital System	Prostate gland	290.0	335.0
Immune System	Immune System	858.0	335.0
Nervous System	Nervous System	511.0	335.0
Musculoskeletal System	Skeletal Muscle	439.0	335.0
Musculoskeletal System	Joint	335.0	335.0
Respiratory System	Lung	432.0	335.0
Cardiovascular System	Vascular	428.0	335.0
Cardiovascular System	Heart	383.0	335.0
Endocrine System	Thyroid gland	420.0	203.0
Endocrine System	Adipose tissue	379.0	335.0
Endocrine System	Adrenal gland	353.0	203.0
Endocrine System	Pituitary gland	316.0	335.0
Exocrine System	Mammary gland	348.0	335.0
Integumentary System	Skin	300.0	335.0
Visual System	Eye	161.0	203.0
Olfactory System	Nervous System	123.0	203.0
