system	organ	exp	control
Immune System	Immune System	20600.0	3210.0
Nervous System	Nervous System	11600.0	3210.0
Endocrine System	Adipose tissue	7840.0	3210.0
Endocrine System	Thyroid gland	4460.0	3210.0
Endocrine System	Pituitary gland	2590.0	3210.0
Endocrine System	Adrenal gland	1690.0	3210.0
Olfactory System	Nervous System	7520.0	3210.0
Musculoskeletal System	Joint	7380.0	3210.0
Musculoskeletal System	Skeletal Muscle	2550.0	3210.0
Digestive System	Peritoneum	6990.0	3210.0
Digestive System	Stomach	6940.0	3210.0
Digestive System	Colon	6060.0	3210.0
Digestive System	Liver	3990.0	3210.0
Digestive System	Small intestine	3530.0	3210.0
Digestive System	Tongue	3460.0	3210.0
Digestive System	Esophagus	1960.0	3210.0
Digestive System	Pancreas	1650.0	3210.0
Digestive System	Salivary gland	951.0	3210.0
Cardiovascular System	Heart	6410.0	3210.0
Cardiovascular System	Vascular	5050.0	3210.0
Urogenital System	Uterus	6180.0	3210.0
Urogenital System	Vagina	4320.0	3210.0
Urogenital System	Kidney	3960.0	3210.0
Urogenital System	Urethra	3940.0	3210.0
Urogenital System	Ovary	3060.0	3210.0
Urogenital System	Penis	2670.0	3210.0
Urogenital System	Testes	2420.0	3210.0
Urogenital System	Placenta	2110.0	3210.0
Urogenital System	Bladder	1750.0	3210.0
Urogenital System	Prostate gland	1210.0	3210.0
Respiratory System	Lung	5680.0	3210.0
Exocrine System	Mammary gland	4890.0	3210.0
Integumentary System	Skin	2770.0	3210.0
Visual System	Eye	1260.0	3210.0
