system	organ	exp	control
Nervous System	Nervous System	19800.0	1470.0
Digestive System	Colon	6550.0	1470.0
Digestive System	Tongue	2700.0	1470.0
Digestive System	Liver	1990.0	1470.0
Digestive System	Stomach	1830.0	1470.0
Digestive System	Pancreas	1350.0	1470.0
Digestive System	Salivary gland	1210.0	1470.0
Digestive System	Esophagus	1180.0	1470.0
Digestive System	Peritoneum	1160.0	1470.0
Digestive System	Small intestine	1150.0	1470.0
Cardiovascular System	Heart	4280.0	1470.0
Cardiovascular System	Vascular	2970.0	1470.0
Immune System	Immune System	3640.0	1470.0
Olfactory System	Nervous System	3550.0	1470.0
Endocrine System	Adrenal gland	2800.0	1470.0
Endocrine System	Pituitary gland	2540.0	1470.0
Endocrine System	Thyroid gland	2060.0	1470.0
Endocrine System	Adipose tissue	1430.0	1470.0
Urogenital System	Uterus	2730.0	1470.0
Urogenital System	Bladder	2600.0	1470.0
Urogenital System	Ovary	2220.0	1470.0
Urogenital System	Testes	2130.0	1470.0
Urogenital System	Kidney	1770.0	1470.0
Urogenital System	Vagina	1440.0	1470.0
Urogenital System	Prostate gland	1370.0	1470.0
Urogenital System	Urethra	1250.0	1470.0
Urogenital System	Placenta	1140.0	1470.0
Urogenital System	Penis	767.0	1470.0
Respiratory System	Lung	2410.0	1470.0
Musculoskeletal System	Skeletal Muscle	2330.0	1470.0
Musculoskeletal System	Joint	1910.0	1470.0
Exocrine System	Mammary gland	1570.0	1470.0
Integumentary System	Skin	1550.0	1470.0
Visual System	Eye	1130.0	1470.0
