system	organ	exp	control
Nervous System	Nervous System	9990.0	227.0
Musculoskeletal System	Skeletal Muscle	1030.0	227.0
Musculoskeletal System	Joint	149.0	227.0
Digestive System	Tongue	587.0	227.0
Digestive System	Colon	568.0	227.0
Digestive System	Liver	393.0	227.0
Digestive System	Pancreas	389.0	227.0
Digestive System	Salivary gland	230.0	227.0
Digestive System	Small intestine	212.0	227.0
Digestive System	Stomach	202.0	227.0
Digestive System	Esophagus	142.0	227.0
Digestive System	Peritoneum	129.0	227.0
Endocrine System	Adrenal gland	509.0	227.0
Endocrine System	Thyroid gland	478.0	227.0
Endocrine System	Pituitary gland	215.0	227.0
Endocrine System	Adipose tissue	183.0	227.0
Immune System	Immune System	507.0	227.0
Cardiovascular System	Heart	503.0	227.0
Cardiovascular System	Vascular	239.0	227.0
Olfactory System	Nervous System	465.0	227.0
Urogenital System	Testes	464.0	227.0
Urogenital System	Uterus	456.0	227.0
Urogenital System	Kidney	380.0	227.0
Urogenital System	Placenta	322.0	227.0
Urogenital System	Ovary	225.0	227.0
Urogenital System	Bladder	218.0	227.0
Urogenital System	Prostate gland	172.0	227.0
Urogenital System	Vagina	153.0	227.0
Urogenital System	Penis	127.0	227.0
Urogenital System	Urethra	126.0	227.0
Respiratory System	Lung	385.0	227.0
Visual System	Eye	209.0	227.0
Integumentary System	Skin	176.0	227.0
Exocrine System	Mammary gland	169.0	227.0
