system	organ	exp	control
Digestive System	Liver	1530.0	402.0
Digestive System	Colon	879.0	402.0
Digestive System	Pancreas	715.0	402.0
Digestive System	Tongue	556.0	402.0
Digestive System	Salivary gland	518.0	402.0
Digestive System	Small intestine	407.0	402.0
Digestive System	Stomach	373.0	402.0
Digestive System	Esophagus	331.0	402.0
Digestive System	Peritoneum	243.0	402.0
Immune System	Immune System	898.0	402.0
Musculoskeletal System	Skeletal Muscle	746.0	402.0
Musculoskeletal System	Joint	377.0	402.0
Urogenital System	Kidney	722.0	402.0
Urogenital System	Testes	669.0	402.0
Urogenital System	Uterus	542.0	402.0
Urogenital System	Vagina	466.0	402.0
Urogenital System	Placenta	442.0	402.0
Urogenital System	Ovary	396.0	402.0
Urogenital System	Bladder	393.0	402.0
Urogenital System	Prostate gland	353.0	402.0
Urogenital System	Penis	351.0	402.0
Urogenital System	Urethra	304.0	402.0
Nervous System	Nervous System	614.0	402.0
Endocrine System	Thyroid gland	604.0	402.0
Endocrine System	Adrenal gland	474.0	402.0
Endocrine System	Pituitary gland	416.0	402.0
Endocrine System	Adipose tissue	397.0	402.0
Respiratory System	Lung	547.0	402.0
Olfactory System	Nervous System	547.0	402.0
Cardiovascular System	Heart	546.0	402.0
Cardiovascular System	Vascular	384.0	402.0
Integumentary System	Skin	385.0	402.0
Exocrine System	Mammary gland	373.0	402.0
Visual System	Eye	331.0	402.0
