system	organ	exp	control
Nervous System	Nervous System	12100.0	1820.0
Cardiovascular System	Heart	10000.0	1820.0
Cardiovascular System	Vascular	1500.0	1820.0
Digestive System	Colon	7780.0	1820.0
Digestive System	Tongue	5740.0	1820.0
Digestive System	Pancreas	2150.0	1820.0
Digestive System	Liver	2140.0	1820.0
Digestive System	Salivary gland	2100.0	1820.0
Digestive System	Stomach	1770.0	1820.0
Digestive System	Peritoneum	1490.0	1820.0
Digestive System	Small intestine	1400.0	1820.0
Digestive System	Esophagus	1370.0	1820.0
Musculoskeletal System	Skeletal Muscle	7470.0	1820.0
Musculoskeletal System	Joint	1830.0	595.0
Urogenital System	Testes	5440.0	1820.0
Urogenital System	Uterus	3470.0	1820.0
Urogenital System	Kidney	3170.0	1820.0
Urogenital System	Placenta	2940.0	1820.0
Urogenital System	Bladder	2750.0	1820.0
Urogenital System	Ovary	2670.0	595.0
Urogenital System	Vagina	2070.0	1820.0
Urogenital System	Penis	1590.0	1820.0
Urogenital System	Prostate gland	1320.0	1820.0
Urogenital System	Urethra	1190.0	1820.0
Endocrine System	Thyroid gland	4490.0	1820.0
Endocrine System	Adrenal gland	2870.0	1820.0
Endocrine System	Adipose tissue	1750.0	1820.0
Endocrine System	Pituitary gland	1640.0	1820.0
Olfactory System	Nervous System	3470.0	1820.0
Exocrine System	Mammary gland	3300.0	1820.0
Immune System	Immune System	2840.0	1820.0
Respiratory System	Lung	2150.0	1820.0
Integumentary System	Skin	1950.0	1820.0
Visual System	Eye	1110.0	1820.0
