system	organ	exp	control
Immune System	Immune System	305.0	144.0
Musculoskeletal System	Skeletal Muscle	250.0	144.0
Musculoskeletal System	Joint	125.0	144.0
Digestive System	Colon	228.0	144.0
Digestive System	Salivary gland	198.0	144.0
Digestive System	Pancreas	176.0	144.0
Digestive System	Tongue	175.0	144.0
Digestive System	Liver	175.0	144.0
Digestive System	Small intestine	147.0	144.0
Digestive System	Stomach	143.0	144.0
Digestive System	Esophagus	116.0	144.0
Digestive System	Peritoneum	115.0	144.0
Nervous System	Nervous System	220.0	144.0
Endocrine System	Adrenal gland	200.0	144.0
Endocrine System	Thyroid gland	161.0	144.0
Endocrine System	Pituitary gland	153.0	144.0
Endocrine System	Adipose tissue	142.0	144.0
Olfactory System	Nervous System	199.0	144.0
Cardiovascular System	Heart	185.0	144.0
Cardiovascular System	Vascular	166.0	144.0
Urogenital System	Uterus	183.0	144.0
Urogenital System	Testes	179.0	144.0
Urogenital System	Kidney	171.0	144.0
Urogenital System	Placenta	154.0	144.0
Urogenital System	Bladder	144.0	144.0
Urogenital System	Ovary	137.0	144.0
Urogenital System	Vagina	133.0	144.0
Urogenital System	Prostate gland	118.0	144.0
Urogenital System	Urethra	118.0	144.0
Urogenital System	Penis	118.0	144.0
Respiratory System	Lung	169.0	144.0
Visual System	Eye	135.0	144.0
Exocrine System	Mammary gland	134.0	144.0
Integumentary System	Skin	122.0	144.0
