system	organ	exp	control
Nervous System	Nervous System	4940.0	251.0
Immune System	Immune System	881.0	251.0
Digestive System	Colon	572.0	251.0
Digestive System	Tongue	447.0	251.0
Digestive System	Pancreas	341.0	251.0
Digestive System	Liver	324.0	251.0
Digestive System	Peritoneum	315.0	208.0
Digestive System	Salivary gland	282.0	251.0
Digestive System	Small intestine	264.0	251.0
Digestive System	Stomach	246.0	251.0
Digestive System	Esophagus	221.0	251.0
Musculoskeletal System	Skeletal Muscle	462.0	251.0
Musculoskeletal System	Joint	257.0	251.0
Cardiovascular System	Heart	440.0	251.0
Cardiovascular System	Vascular	316.0	251.0
Urogenital System	Testes	394.0	251.0
Urogenital System	Kidney	357.0	251.0
Urogenital System	Uterus	334.0	251.0
Urogenital System	Placenta	308.0	251.0
Urogenital System	Ovary	280.0	251.0
Urogenital System	Prostate gland	251.0	251.0
Urogenital System	Penis	242.0	251.0
Urogenital System	Vagina	226.0	251.0
Urogenital System	Bladder	224.0	251.0
Urogenital System	Urethra	214.0	251.0
Visual System	Eye	346.0	251.0
Respiratory System	Lung	339.0	251.0
Endocrine System	Adrenal gland	338.0	251.0
Endocrine System	Thyroid gland	334.0	251.0
Endocrine System	Pituitary gland	265.0	251.0
Endocrine System	Adipose tissue	240.0	251.0
Olfactory System	Nervous System	319.0	251.0
Exocrine System	Mammary gland	270.0	251.0
Integumentary System	Skin	251.0	251.0
