system	organ	exp	control
Digestive System	Small intestine	6660.0	131.0
Digestive System	Colon	2070.0	131.0
Digestive System	Liver	164.0	131.0
Digestive System	Tongue	159.0	131.0
Digestive System	Pancreas	151.0	131.0
Digestive System	Salivary gland	142.0	131.0
Digestive System	Stomach	135.0	131.0
Digestive System	Esophagus	123.0	131.0
Digestive System	Peritoneum	113.0	131.0
Cardiovascular System	Vascular	791.0	131.0
Cardiovascular System	Heart	218.0	131.0
Immune System	Immune System	358.0	131.0
Urogenital System	Kidney	276.0	131.0
Urogenital System	Bladder	250.0	131.0
Urogenital System	Testes	186.0	131.0
Urogenital System	Uterus	146.0	131.0
Urogenital System	Placenta	144.0	131.0
Urogenital System	Ovary	134.0	131.0
Urogenital System	Vagina	125.0	131.0
Urogenital System	Prostate gland	121.0	131.0
Urogenital System	Urethra	116.0	131.0
Urogenital System	Penis	109.0	131.0
Nervous System	Nervous System	193.0	131.0
Musculoskeletal System	Skeletal Muscle	187.0	131.0
Musculoskeletal System	Joint	123.0	131.0
Endocrine System	Adrenal gland	169.0	131.0
Endocrine System	Thyroid gland	158.0	131.0
Endocrine System	Adipose tissue	132.0	131.0
Endocrine System	Pituitary gland	130.0	131.0
Olfactory System	Nervous System	167.0	131.0
Respiratory System	Lung	148.0	131.0
Integumentary System	Skin	129.0	131.0
Exocrine System	Mammary gland	128.0	131.0
Visual System	Eye	124.0	131.0
