system	organ	exp	control
Nervous System	Nervous System	1950.0	753.0
Digestive System	Colon	1860.0	753.0
Digestive System	Small intestine	1210.0	753.0
Digestive System	Tongue	1170.0	753.0
Digestive System	Stomach	1090.0	753.0
Digestive System	Pancreas	988.0	687.0
Digestive System	Liver	961.0	687.0
Digestive System	Salivary gland	941.0	753.0
Digestive System	Peritoneum	853.0	753.0
Digestive System	Esophagus	719.0	753.0
Cardiovascular System	Vascular	1540.0	753.0
Cardiovascular System	Heart	1150.0	753.0
Immune System	Immune System	1490.0	753.0
Musculoskeletal System	Skeletal Muscle	1120.0	753.0
Musculoskeletal System	Joint	755.0	753.0
Urogenital System	Kidney	1070.0	753.0
Urogenital System	Vagina	1030.0	753.0
Urogenital System	Uterus	976.0	753.0
Urogenital System	Bladder	944.0	753.0
Urogenital System	Testes	849.0	753.0
Urogenital System	Ovary	731.0	753.0
Urogenital System	Placenta	720.0	687.0
Urogenital System	Penis	713.0	753.0
Urogenital System	Prostate gland	640.0	753.0
Urogenital System	Urethra	622.0	753.0
Exocrine System	Mammary gland	944.0	753.0
Endocrine System	Adipose tissue	943.0	753.0
Endocrine System	Pituitary gland	906.0	687.0
Endocrine System	Adrenal gland	844.0	753.0
Endocrine System	Thyroid gland	674.0	753.0
Respiratory System	Lung	870.0	753.0
Integumentary System	Skin	587.0	687.0
Visual System	Eye	506.0	753.0
Olfactory System	Nervous System	416.0	753.0
