system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	1480.0	503.0
Musculoskeletal System	Joint	386.0	503.0
Cardiovascular System	Heart	1270.0	503.0
Cardiovascular System	Vascular	683.0	503.0
Nervous System	Nervous System	1210.0	503.0
Endocrine System	Adrenal gland	1150.0	503.0
Endocrine System	Thyroid gland	722.0	503.0
Endocrine System	Pituitary gland	568.0	503.0
Endocrine System	Adipose tissue	441.0	503.0
Digestive System	Pancreas	1120.0	503.0
Digestive System	Tongue	1100.0	503.0
Digestive System	Liver	1070.0	503.0
Digestive System	Colon	898.0	503.0
Digestive System	Salivary gland	620.0	503.0
Digestive System	Stomach	598.0	503.0
Digestive System	Small intestine	577.0	503.0
Digestive System	Esophagus	296.0	503.0
Digestive System	Peritoneum	291.0	503.0
Urogenital System	Testes	1100.0	503.0
Urogenital System	Kidney	937.0	503.0
Urogenital System	Uterus	911.0	503.0
Urogenital System	Placenta	765.0	503.0
Urogenital System	Ovary	528.0	503.0
Urogenital System	Vagina	429.0	503.0
Urogenital System	Prostate gland	379.0	503.0
Urogenital System	Bladder	367.0	503.0
Urogenital System	Penis	312.0	503.0
Urogenital System	Urethra	302.0	503.0
Respiratory System	Lung	956.0	503.0
Immune System	Immune System	921.0	503.0
Olfactory System	Nervous System	900.0	503.0
Integumentary System	Skin	480.0	503.0
Exocrine System	Mammary gland	467.0	503.0
Visual System	Eye	426.0	503.0
