system	organ	exp	control
Nervous System	Nervous System	4650.0	101.0
Immune System	Immune System	237.0	101.0
Digestive System	Colon	189.0	101.0
Digestive System	Liver	110.0	98.4
Digestive System	Pancreas	109.0	101.0
Digestive System	Tongue	108.0	101.0
Digestive System	Peritoneum	106.0	101.0
Digestive System	Salivary gland	105.0	101.0
Digestive System	Small intestine	101.0	101.0
Digestive System	Stomach	101.0	101.0
Digestive System	Esophagus	96.2	101.0
Cardiovascular System	Vascular	171.0	101.0
Cardiovascular System	Heart	142.0	101.0
Urogenital System	Vagina	127.0	98.4
Urogenital System	Bladder	114.0	98.4
Urogenital System	Testes	114.0	101.0
Urogenital System	Placenta	110.0	98.4
Urogenital System	Ovary	108.0	101.0
Urogenital System	Kidney	106.0	101.0
Urogenital System	Uterus	106.0	101.0
Urogenital System	Prostate gland	99.7	101.0
Urogenital System	Urethra	99.0	101.0
Urogenital System	Penis	94.8	98.4
Musculoskeletal System	Skeletal Muscle	122.0	101.0
Musculoskeletal System	Joint	97.9	101.0
Endocrine System	Adrenal gland	117.0	101.0
Endocrine System	Thyroid gland	113.0	101.0
Endocrine System	Pituitary gland	107.0	98.4
Endocrine System	Adipose tissue	98.7	101.0
Olfactory System	Nervous System	107.0	98.4
Respiratory System	Lung	104.0	101.0
Exocrine System	Mammary gland	102.0	101.0
Integumentary System	Skin	101.0	98.4
Visual System	Eye	97.7	98.4
