system	organ	exp	control
Nervous System	Nervous System	2060.0	469.0
Cardiovascular System	Heart	1850.0	469.0
Cardiovascular System	Vascular	401.0	469.0
Immune System	Immune System	1690.0	469.0
Musculoskeletal System	Skeletal Muscle	1610.0	469.0
Musculoskeletal System	Joint	263.0	469.0
Digestive System	Colon	1340.0	469.0
Digestive System	Tongue	1150.0	469.0
Digestive System	Liver	881.0	469.0
Digestive System	Pancreas	778.0	469.0
Digestive System	Salivary gland	530.0	469.0
Digestive System	Stomach	477.0	469.0
Digestive System	Small intestine	451.0	469.0
Digestive System	Peritoneum	390.0	469.0
Digestive System	Esophagus	275.0	469.0
Urogenital System	Testes	1210.0	469.0
Urogenital System	Kidney	861.0	469.0
Urogenital System	Uterus	791.0	469.0
Urogenital System	Bladder	674.0	469.0
Urogenital System	Placenta	643.0	469.0
Urogenital System	Ovary	475.0	469.0
Urogenital System	Vagina	344.0	469.0
Urogenital System	Prostate gland	305.0	469.0
Urogenital System	Penis	234.0	469.0
Urogenital System	Urethra	230.0	469.0
Endocrine System	Thyroid gland	1040.0	469.0
Endocrine System	Adrenal gland	877.0	469.0
Endocrine System	Pituitary gland	468.0	469.0
Endocrine System	Adipose tissue	349.0	469.0
Olfactory System	Nervous System	1000.0	469.0
Respiratory System	Lung	806.0	469.0
Visual System	Eye	425.0	469.0
Integumentary System	Skin	420.0	469.0
Exocrine System	Mammary gland	318.0	469.0
