system	organ	exp	control
Immune System	Immune System	8230.0	1890.0
Urogenital System	Kidney	7020.0	1890.0
Urogenital System	Placenta	5500.0	1890.0
Urogenital System	Ovary	5040.0	1890.0
Urogenital System	Uterus	2610.0	1890.0
Urogenital System	Urethra	2490.0	1890.0
Urogenital System	Prostate gland	2360.0	1890.0
Urogenital System	Testes	2040.0	1890.0
Urogenital System	Bladder	1930.0	1890.0
Urogenital System	Penis	1170.0	1890.0
Urogenital System	Vagina	1050.0	1890.0
Digestive System	Pancreas	6770.0	1590.0
Digestive System	Liver	4190.0	1890.0
Digestive System	Small intestine	4070.0	1890.0
Digestive System	Salivary gland	3670.0	1890.0
Digestive System	Stomach	3650.0	1890.0
Digestive System	Colon	2520.0	1890.0
Digestive System	Peritoneum	2460.0	1890.0
Digestive System	Tongue	1640.0	1890.0
Digestive System	Esophagus	1630.0	1890.0
Endocrine System	Adrenal gland	6500.0	1890.0
Endocrine System	Thyroid gland	3880.0	1890.0
Endocrine System	Adipose tissue	3000.0	1890.0
Endocrine System	Pituitary gland	2890.0	1890.0
Visual System	Eye	5330.0	1890.0
Cardiovascular System	Vascular	3810.0	1890.0
Cardiovascular System	Heart	3520.0	1890.0
Exocrine System	Mammary gland	3550.0	1890.0
Musculoskeletal System	Skeletal Muscle	3500.0	1890.0
Musculoskeletal System	Joint	1850.0	1890.0
Nervous System	Nervous System	2940.0	1890.0
Olfactory System	Nervous System	2890.0	1890.0
Respiratory System	Lung	2760.0	1890.0
Integumentary System	Skin	1470.0	1890.0
