system	organ	exp	control
Endocrine System	Adipose tissue	2050.0	434.0
Endocrine System	Thyroid gland	1340.0	434.0
Endocrine System	Adrenal gland	1070.0	434.0
Endocrine System	Pituitary gland	720.0	434.0
Cardiovascular System	Heart	1770.0	434.0
Cardiovascular System	Vascular	958.0	434.0
Respiratory System	Lung	1350.0	434.0
Urogenital System	Kidney	1300.0	434.0
Urogenital System	Placenta	1020.0	434.0
Urogenital System	Uterus	933.0	434.0
Urogenital System	Urethra	789.0	434.0
Urogenital System	Penis	678.0	434.0
Urogenital System	Prostate gland	576.0	434.0
Urogenital System	Vagina	509.0	434.0
Urogenital System	Bladder	402.0	434.0
Urogenital System	Ovary	337.0	434.0
Urogenital System	Testes	260.0	434.0
Digestive System	Liver	1060.0	434.0
Digestive System	Stomach	935.0	434.0
Digestive System	Colon	797.0	434.0
Digestive System	Salivary gland	728.0	434.0
Digestive System	Small intestine	645.0	434.0
Digestive System	Peritoneum	614.0	434.0
Digestive System	Esophagus	403.0	434.0
Digestive System	Tongue	318.0	434.0
Digestive System	Pancreas	229.0	434.0
Immune System	Immune System	942.0	434.0
Nervous System	Nervous System	848.0	434.0
Musculoskeletal System	Joint	717.0	434.0
Musculoskeletal System	Skeletal Muscle	440.0	434.0
Exocrine System	Mammary gland	690.0	434.0
Integumentary System	Skin	684.0	434.0
Olfactory System	Nervous System	303.0	434.0
Visual System	Eye	258.0	434.0
