system	organ	exp	control
Immune System	Immune System	23200.0	470.0
Digestive System	Tongue	2760.0	470.0
Digestive System	Stomach	1600.0	470.0
Digestive System	Small intestine	1220.0	470.0
Digestive System	Colon	1210.0	470.0
Digestive System	Liver	708.0	470.0
Digestive System	Salivary gland	591.0	470.0
Digestive System	Peritoneum	539.0	470.0
Digestive System	Pancreas	458.0	470.0
Digestive System	Esophagus	395.0	470.0
Respiratory System	Lung	2180.0	470.0
Endocrine System	Adipose tissue	1350.0	470.0
Endocrine System	Thyroid gland	696.0	470.0
Endocrine System	Adrenal gland	549.0	470.0
Endocrine System	Pituitary gland	375.0	470.0
Musculoskeletal System	Skeletal Muscle	842.0	470.0
Musculoskeletal System	Joint	402.0	470.0
Urogenital System	Penis	805.0	470.0
Urogenital System	Bladder	700.0	470.0
Urogenital System	Vagina	594.0	470.0
Urogenital System	Kidney	551.0	470.0
Urogenital System	Urethra	541.0	470.0
Urogenital System	Prostate gland	536.0	470.0
Urogenital System	Uterus	530.0	470.0
Urogenital System	Testes	418.0	470.0
Urogenital System	Ovary	382.0	470.0
Urogenital System	Placenta	345.0	297.0
Exocrine System	Mammary gland	737.0	470.0
Nervous System	Nervous System	704.0	470.0
Cardiovascular System	Vascular	626.0	470.0
Cardiovascular System	Heart	597.0	470.0
Integumentary System	Skin	424.0	470.0
Visual System	Eye	387.0	470.0
Olfactory System	Nervous System	340.0	297.0
