system	organ	exp	control
Digestive System	Small intestine	20400.0	2590.0
Digestive System	Colon	13300.0	2590.0
Digestive System	Salivary gland	9410.0	2590.0
Digestive System	Liver	4160.0	2590.0
Digestive System	Stomach	3790.0	2590.0
Digestive System	Pancreas	2860.0	2590.0
Digestive System	Esophagus	2740.0	2590.0
Digestive System	Tongue	2650.0	2590.0
Digestive System	Peritoneum	2290.0	2590.0
Visual System	Eye	9010.0	2590.0
Endocrine System	Adipose tissue	8830.0	2590.0
Endocrine System	Thyroid gland	7280.0	2590.0
Endocrine System	Adrenal gland	2510.0	2590.0
Endocrine System	Pituitary gland	787.0	2590.0
Urogenital System	Bladder	7400.0	2590.0
Urogenital System	Placenta	7200.0	2590.0
Urogenital System	Kidney	6840.0	2590.0
Urogenital System	Prostate gland	4670.0	2590.0
Urogenital System	Urethra	4520.0	2590.0
Urogenital System	Penis	3230.0	2590.0
Urogenital System	Uterus	2690.0	2590.0
Urogenital System	Ovary	2680.0	2590.0
Urogenital System	Vagina	2590.0	2590.0
Urogenital System	Testes	766.0	2590.0
Musculoskeletal System	Joint	5470.0	2590.0
Musculoskeletal System	Skeletal Muscle	2380.0	2590.0
Cardiovascular System	Vascular	5430.0	2590.0
Cardiovascular System	Heart	4190.0	2590.0
Respiratory System	Lung	5050.0	2590.0
Nervous System	Nervous System	4400.0	2590.0
Exocrine System	Mammary gland	3100.0	2590.0
Integumentary System	Skin	3090.0	2590.0
Immune System	Immune System	1480.0	2590.0
Olfactory System	Nervous System	1250.0	2590.0
