system	organ	exp	control
Nervous System	Nervous System	11200.0	3510.0
Urogenital System	Uterus	10500.0	3510.0
Urogenital System	Ovary	9280.0	3510.0
Urogenital System	Kidney	9120.0	3510.0
Urogenital System	Urethra	7010.0	3510.0
Urogenital System	Vagina	4670.0	3510.0
Urogenital System	Prostate gland	3680.0	3510.0
Urogenital System	Penis	3270.0	3510.0
Urogenital System	Bladder	3170.0	3510.0
Urogenital System	Placenta	2260.0	3510.0
Urogenital System	Testes	1510.0	3510.0
Cardiovascular System	Vascular	10100.0	3510.0
Cardiovascular System	Heart	8050.0	3510.0
Digestive System	Liver	10000.0	3510.0
Digestive System	Small intestine	7300.0	3510.0
Digestive System	Salivary gland	6910.0	3510.0
Digestive System	Peritoneum	6120.0	3510.0
Digestive System	Stomach	4360.0	3510.0
Digestive System	Colon	3920.0	3510.0
Digestive System	Esophagus	3390.0	3510.0
Digestive System	Tongue	3180.0	3510.0
Digestive System	Pancreas	1960.0	3510.0
Exocrine System	Mammary gland	7540.0	3510.0
Musculoskeletal System	Skeletal Muscle	7480.0	3510.0
Musculoskeletal System	Joint	3630.0	3510.0
Endocrine System	Adipose tissue	6250.0	3510.0
Endocrine System	Pituitary gland	4530.0	3510.0
Endocrine System	Adrenal gland	4110.0	3510.0
Endocrine System	Thyroid gland	1440.0	3510.0
Olfactory System	Nervous System	4460.0	3510.0
Respiratory System	Lung	2820.0	3510.0
Integumentary System	Skin	2420.0	3510.0
Immune System	Immune System	2170.0	3510.0
Visual System	Eye	1110.0	3510.0
