system	organ	exp	control
Musculoskeletal System	Joint	6790.0	113.0
Musculoskeletal System	Skeletal Muscle	506.0	113.0
Cardiovascular System	Heart	3830.0	113.0
Cardiovascular System	Vascular	112.0	113.0
Exocrine System	Mammary gland	1520.0	113.0
Immune System	Immune System	769.0	113.0
Digestive System	Colon	437.0	113.0
Digestive System	Small intestine	192.0	113.0
Digestive System	Stomach	175.0	113.0
Digestive System	Tongue	148.0	113.0
Digestive System	Liver	141.0	113.0
Digestive System	Pancreas	129.0	113.0
Digestive System	Salivary gland	111.0	113.0
Digestive System	Peritoneum	94.6	113.0
Digestive System	Esophagus	93.8	113.0
Visual System	Eye	322.0	113.0
Urogenital System	Penis	279.0	113.0
Urogenital System	Bladder	222.0	113.0
Urogenital System	Urethra	168.0	113.0
Urogenital System	Uterus	149.0	113.0
Urogenital System	Kidney	129.0	113.0
Urogenital System	Testes	124.0	113.0
Urogenital System	Placenta	123.0	113.0
Urogenital System	Ovary	108.0	113.0
Urogenital System	Vagina	105.0	113.0
Urogenital System	Prostate gland	99.0	113.0
Nervous System	Nervous System	195.0	113.0
Integumentary System	Skin	166.0	113.0
Endocrine System	Thyroid gland	158.0	113.0
Endocrine System	Adrenal gland	134.0	113.0
Endocrine System	Pituitary gland	109.0	113.0
Endocrine System	Adipose tissue	104.0	113.0
Respiratory System	Lung	145.0	113.0
Olfactory System	Nervous System	122.0	113.0
