system	organ	exp	control
Immune System	Immune System	5430.0	1030.0
Digestive System	Colon	2290.0	1030.0
Digestive System	Esophagus	2000.0	1030.0
Digestive System	Peritoneum	1720.0	1030.0
Digestive System	Small intestine	1690.0	1030.0
Digestive System	Tongue	1290.0	1030.0
Digestive System	Stomach	1240.0	1030.0
Digestive System	Salivary gland	1000.0	1030.0
Digestive System	Pancreas	991.0	1030.0
Digestive System	Liver	908.0	1030.0
Exocrine System	Mammary gland	2050.0	1030.0
Urogenital System	Vagina	1730.0	1030.0
Urogenital System	Testes	1590.0	835.0
Urogenital System	Uterus	1490.0	1030.0
Urogenital System	Penis	1260.0	1030.0
Urogenital System	Bladder	1190.0	755.0
Urogenital System	Kidney	1170.0	1030.0
Urogenital System	Ovary	1100.0	1030.0
Urogenital System	Urethra	1010.0	1030.0
Urogenital System	Prostate gland	992.0	1030.0
Urogenital System	Placenta	843.0	835.0
Nervous System	Nervous System	1550.0	1030.0
Respiratory System	Lung	1520.0	1030.0
Musculoskeletal System	Skeletal Muscle	1380.0	1030.0
Musculoskeletal System	Joint	1110.0	1030.0
Endocrine System	Adipose tissue	1240.0	1030.0
Endocrine System	Pituitary gland	1150.0	1030.0
Endocrine System	Adrenal gland	1090.0	1030.0
Endocrine System	Thyroid gland	1050.0	1030.0
Cardiovascular System	Vascular	1220.0	1030.0
Cardiovascular System	Heart	1110.0	1030.0
Visual System	Eye	1050.0	1030.0
Integumentary System	Skin	959.0	1030.0
Olfactory System	Nervous System	737.0	835.0
