system	organ	exp	control
Immune System	Immune System	11200.0	3980.0
Respiratory System	Lung	10500.0	3980.0
Digestive System	Esophagus	9370.0	3980.0
Digestive System	Colon	9200.0	3980.0
Digestive System	Stomach	8890.0	3980.0
Digestive System	Peritoneum	7540.0	3980.0
Digestive System	Tongue	7440.0	3980.0
Digestive System	Small intestine	7070.0	3980.0
Digestive System	Salivary gland	4190.0	3980.0
Digestive System	Liver	2930.0	3980.0
Digestive System	Pancreas	2330.0	3980.0
Urogenital System	Vagina	7900.0	3980.0
Urogenital System	Ovary	7490.0	3980.0
Urogenital System	Penis	7260.0	3980.0
Urogenital System	Uterus	6030.0	3980.0
Urogenital System	Bladder	5190.0	3980.0
Urogenital System	Kidney	4970.0	3980.0
Urogenital System	Urethra	4830.0	3980.0
Urogenital System	Prostate gland	4280.0	3980.0
Urogenital System	Placenta	3120.0	3980.0
Urogenital System	Testes	3040.0	3980.0
Cardiovascular System	Heart	7170.0	3980.0
Cardiovascular System	Vascular	4860.0	3980.0
Integumentary System	Skin	6480.0	3980.0
Visual System	Eye	6460.0	3980.0
Endocrine System	Thyroid gland	6300.0	3980.0
Endocrine System	Adipose tissue	4730.0	3980.0
Endocrine System	Adrenal gland	4130.0	3980.0
Endocrine System	Pituitary gland	3320.0	3980.0
Exocrine System	Mammary gland	4600.0	3980.0
Nervous System	Nervous System	4470.0	3980.0
Musculoskeletal System	Joint	4430.0	3980.0
Musculoskeletal System	Skeletal Muscle	3080.0	3980.0
Olfactory System	Nervous System	1490.0	3980.0
