system	organ	exp	control
Urogenital System	Prostate gland	22400.0	586.0
Urogenital System	Vagina	1540.0	586.0
Urogenital System	Testes	1180.0	586.0
Urogenital System	Uterus	1040.0	586.0
Urogenital System	Kidney	950.0	586.0
Urogenital System	Placenta	616.0	586.0
Urogenital System	Bladder	574.0	586.0
Urogenital System	Ovary	558.0	586.0
Urogenital System	Urethra	469.0	586.0
Urogenital System	Penis	303.0	586.0
Nervous System	Nervous System	6580.0	586.0
Musculoskeletal System	Skeletal Muscle	2180.0	586.0
Musculoskeletal System	Joint	349.0	586.0
Endocrine System	Adrenal gland	2130.0	586.0
Endocrine System	Thyroid gland	1310.0	586.0
Endocrine System	Pituitary gland	573.0	586.0
Endocrine System	Adipose tissue	479.0	586.0
Cardiovascular System	Heart	1990.0	586.0
Cardiovascular System	Vascular	881.0	586.0
Digestive System	Colon	1590.0	586.0
Digestive System	Esophagus	1340.0	586.0
Digestive System	Tongue	1310.0	586.0
Digestive System	Pancreas	1100.0	586.0
Digestive System	Small intestine	990.0	586.0
Digestive System	Stomach	846.0	586.0
Digestive System	Liver	752.0	586.0
Digestive System	Salivary gland	685.0	586.0
Digestive System	Peritoneum	272.0	586.0
Olfactory System	Nervous System	1040.0	586.0
Immune System	Immune System	937.0	586.0
Respiratory System	Lung	828.0	586.0
Visual System	Eye	568.0	586.0
Exocrine System	Mammary gland	480.0	586.0
Integumentary System	Skin	476.0	586.0
