system	organ	exp	control
Immune System	Immune System	451.0	222.0
Cardiovascular System	Heart	450.0	222.0
Cardiovascular System	Vascular	220.0	222.0
Digestive System	Colon	408.0	222.0
Digestive System	Tongue	315.0	222.0
Digestive System	Pancreas	304.0	222.0
Digestive System	Liver	268.0	222.0
Digestive System	Salivary gland	239.0	222.0
Digestive System	Small intestine	237.0	222.0
Digestive System	Stomach	227.0	222.0
Digestive System	Peritoneum	193.0	222.0
Digestive System	Esophagus	185.0	222.0
Olfactory System	Nervous System	364.0	222.0
Nervous System	Nervous System	353.0	222.0
Urogenital System	Uterus	334.0	222.0
Urogenital System	Testes	291.0	222.0
Urogenital System	Kidney	266.0	222.0
Urogenital System	Placenta	247.0	222.0
Urogenital System	Ovary	229.0	222.0
Urogenital System	Vagina	210.0	222.0
Urogenital System	Prostate gland	198.0	222.0
Urogenital System	Penis	189.0	222.0
Urogenital System	Urethra	185.0	222.0
Urogenital System	Bladder	180.0	222.0
Musculoskeletal System	Skeletal Muscle	319.0	222.0
Musculoskeletal System	Joint	194.0	222.0
Endocrine System	Adrenal gland	302.0	222.0
Endocrine System	Thyroid gland	292.0	222.0
Endocrine System	Pituitary gland	221.0	222.0
Endocrine System	Adipose tissue	214.0	222.0
Respiratory System	Lung	275.0	222.0
Exocrine System	Mammary gland	257.0	222.0
Integumentary System	Skin	235.0	222.0
Visual System	Eye	211.0	222.0
