system	organ	exp	control
Digestive System	Small intestine	4940.0	207.0
Digestive System	Liver	1770.0	207.0
Digestive System	Colon	1130.0	207.0
Digestive System	Pancreas	368.0	207.0
Digestive System	Tongue	348.0	207.0
Digestive System	Stomach	270.0	207.0
Digestive System	Salivary gland	256.0	207.0
Digestive System	Peritoneum	194.0	207.0
Digestive System	Esophagus	154.0	207.0
Urogenital System	Kidney	734.0	207.0
Urogenital System	Ovary	475.0	153.0
Urogenital System	Bladder	429.0	207.0
Urogenital System	Uterus	279.0	207.0
Urogenital System	Testes	268.0	207.0
Urogenital System	Placenta	266.0	207.0
Urogenital System	Urethra	200.0	153.0
Urogenital System	Vagina	170.0	207.0
Urogenital System	Penis	167.0	207.0
Urogenital System	Prostate gland	163.0	207.0
Endocrine System	Adrenal gland	677.0	207.0
Endocrine System	Thyroid gland	259.0	207.0
Endocrine System	Pituitary gland	224.0	207.0
Endocrine System	Adipose tissue	164.0	207.0
Immune System	Immune System	403.0	207.0
Cardiovascular System	Heart	372.0	207.0
Cardiovascular System	Vascular	203.0	207.0
Nervous System	Nervous System	367.0	207.0
Respiratory System	Lung	334.0	207.0
Musculoskeletal System	Skeletal Muscle	316.0	207.0
Musculoskeletal System	Joint	160.0	207.0
Olfactory System	Nervous System	256.0	207.0
Exocrine System	Mammary gland	217.0	207.0
Visual System	Eye	202.0	207.0
Integumentary System	Skin	164.0	207.0
