system	organ	exp	control
Nervous System	Nervous System	1180.0	284.0
Cardiovascular System	Heart	971.0	284.0
Cardiovascular System	Vascular	289.0	284.0
Musculoskeletal System	Skeletal Muscle	881.0	284.0
Musculoskeletal System	Joint	157.0	284.0
Digestive System	Colon	877.0	284.0
Digestive System	Tongue	733.0	284.0
Digestive System	Liver	605.0	284.0
Digestive System	Pancreas	548.0	284.0
Digestive System	Stomach	405.0	284.0
Digestive System	Salivary gland	269.0	284.0
Digestive System	Small intestine	242.0	284.0
Digestive System	Esophagus	150.0	284.0
Digestive System	Peritoneum	132.0	284.0
Immune System	Immune System	671.0	284.0
Urogenital System	Testes	663.0	284.0
Urogenital System	Uterus	601.0	284.0
Urogenital System	Kidney	563.0	284.0
Urogenital System	Placenta	467.0	284.0
Urogenital System	Bladder	347.0	284.0
Urogenital System	Ovary	332.0	284.0
Urogenital System	Prostate gland	219.0	284.0
Urogenital System	Vagina	182.0	284.0
Urogenital System	Penis	151.0	284.0
Urogenital System	Urethra	146.0	284.0
Endocrine System	Thyroid gland	656.0	284.0
Endocrine System	Adrenal gland	571.0	284.0
Endocrine System	Pituitary gland	270.0	284.0
Endocrine System	Adipose tissue	185.0	284.0
Olfactory System	Nervous System	622.0	284.0
Respiratory System	Lung	602.0	284.0
Visual System	Eye	356.0	284.0
Integumentary System	Skin	258.0	284.0
Exocrine System	Mammary gland	249.0	284.0
