system	organ	exp	control
Nervous System	Nervous System	650.0	233.0
Cardiovascular System	Heart	610.0	233.0
Cardiovascular System	Vascular	212.0	233.0
Digestive System	Tongue	524.0	233.0
Digestive System	Pancreas	325.0	233.0
Digestive System	Colon	309.0	233.0
Digestive System	Liver	273.0	233.0
Digestive System	Salivary gland	237.0	233.0
Digestive System	Small intestine	228.0	233.0
Digestive System	Peritoneum	226.0	233.0
Digestive System	Stomach	186.0	233.0
Digestive System	Esophagus	172.0	233.0
Endocrine System	Adrenal gland	505.0	233.0
Endocrine System	Thyroid gland	379.0	233.0
Endocrine System	Pituitary gland	258.0	233.0
Endocrine System	Adipose tissue	187.0	233.0
Musculoskeletal System	Skeletal Muscle	486.0	233.0
Musculoskeletal System	Joint	193.0	233.0
Immune System	Immune System	482.0	233.0
Olfactory System	Nervous System	469.0	233.0
Urogenital System	Testes	382.0	233.0
Urogenital System	Uterus	326.0	233.0
Urogenital System	Kidney	276.0	233.0
Urogenital System	Placenta	275.0	233.0
Urogenital System	Ovary	247.0	233.0
Urogenital System	Bladder	222.0	233.0
Urogenital System	Prostate gland	200.0	233.0
Urogenital System	Penis	183.0	233.0
Urogenital System	Vagina	176.0	233.0
Urogenital System	Urethra	164.0	233.0
Respiratory System	Lung	267.0	233.0
Integumentary System	Skin	239.0	233.0
Visual System	Eye	234.0	233.0
Exocrine System	Mammary gland	196.0	233.0
