system	organ	exp	control
Musculoskeletal System	Skeletal Muscle	1090.0	496.0
Musculoskeletal System	Joint	524.0	496.0
Immune System	Immune System	1040.0	496.0
Cardiovascular System	Heart	1040.0	496.0
Cardiovascular System	Vascular	502.0	496.0
Nervous System	Nervous System	978.0	496.0
Digestive System	Colon	880.0	496.0
Digestive System	Tongue	860.0	496.0
Digestive System	Pancreas	710.0	496.0
Digestive System	Liver	555.0	496.0
Digestive System	Peritoneum	528.0	496.0
Digestive System	Salivary gland	471.0	496.0
Digestive System	Small intestine	438.0	496.0
Digestive System	Stomach	434.0	496.0
Digestive System	Esophagus	405.0	496.0
Endocrine System	Thyroid gland	783.0	496.0
Endocrine System	Adrenal gland	719.0	496.0
Endocrine System	Pituitary gland	491.0	496.0
Endocrine System	Adipose tissue	444.0	496.0
Olfactory System	Nervous System	779.0	496.0
Urogenital System	Uterus	744.0	496.0
Urogenital System	Testes	723.0	496.0
Urogenital System	Bladder	684.0	496.0
Urogenital System	Kidney	595.0	496.0
Urogenital System	Vagina	523.0	496.0
Urogenital System	Placenta	522.0	496.0
Urogenital System	Ovary	467.0	496.0
Urogenital System	Penis	435.0	496.0
Urogenital System	Prostate gland	411.0	496.0
Urogenital System	Urethra	364.0	496.0
Respiratory System	Lung	515.0	496.0
Visual System	Eye	483.0	496.0
Exocrine System	Mammary gland	445.0	496.0
Integumentary System	Skin	415.0	496.0
