system	organ	exp	control
Cardiovascular System	Heart	428.0	209.0
Cardiovascular System	Vascular	212.0	209.0
Nervous System	Nervous System	372.0	209.0
Digestive System	Liver	350.0	209.0
Digestive System	Small intestine	341.0	209.0
Digestive System	Pancreas	329.0	209.0
Digestive System	Tongue	310.0	209.0
Digestive System	Colon	303.0	209.0
Digestive System	Salivary gland	275.0	209.0
Digestive System	Esophagus	191.0	209.0
Digestive System	Stomach	191.0	209.0
Digestive System	Peritoneum	180.0	209.0
Immune System	Immune System	332.0	209.0
Endocrine System	Adrenal gland	323.0	209.0
Endocrine System	Thyroid gland	264.0	209.0
Endocrine System	Adipose tissue	203.0	209.0
Endocrine System	Pituitary gland	193.0	209.0
Musculoskeletal System	Skeletal Muscle	297.0	209.0
Musculoskeletal System	Joint	170.0	209.0
Olfactory System	Nervous System	294.0	209.0
Urogenital System	Kidney	284.0	209.0
Urogenital System	Testes	277.0	209.0
Urogenital System	Uterus	253.0	209.0
Urogenital System	Placenta	220.0	209.0
Urogenital System	Ovary	214.0	209.0
Urogenital System	Bladder	211.0	209.0
Urogenital System	Vagina	187.0	209.0
Urogenital System	Prostate gland	176.0	209.0
Urogenital System	Penis	170.0	209.0
Urogenital System	Urethra	167.0	209.0
Respiratory System	Lung	267.0	209.0
Exocrine System	Mammary gland	212.0	209.0
Visual System	Eye	205.0	209.0
Integumentary System	Skin	189.0	209.0
