system	organ	exp	control
Digestive System	Colon	988.0	391.0
Digestive System	Tongue	686.0	391.0
Digestive System	Pancreas	556.0	391.0
Digestive System	Peritoneum	456.0	391.0
Digestive System	Liver	420.0	391.0
Digestive System	Salivary gland	411.0	391.0
Digestive System	Stomach	358.0	391.0
Digestive System	Esophagus	323.0	391.0
Digestive System	Small intestine	310.0	391.0
Nervous System	Nervous System	841.0	391.0
Musculoskeletal System	Skeletal Muscle	747.0	391.0
Musculoskeletal System	Joint	294.0	391.0
Cardiovascular System	Heart	747.0	391.0
Cardiovascular System	Vascular	429.0	391.0
Immune System	Immune System	690.0	391.0
Olfactory System	Nervous System	617.0	391.0
Urogenital System	Testes	608.0	391.0
Urogenital System	Kidney	459.0	391.0
Urogenital System	Placenta	421.0	391.0
Urogenital System	Uterus	413.0	391.0
Urogenital System	Ovary	376.0	391.0
Urogenital System	Vagina	341.0	391.0
Urogenital System	Bladder	337.0	391.0
Urogenital System	Prostate gland	326.0	391.0
Urogenital System	Penis	302.0	391.0
Urogenital System	Urethra	272.0	391.0
Endocrine System	Thyroid gland	557.0	391.0
Endocrine System	Adrenal gland	448.0	391.0
Endocrine System	Pituitary gland	411.0	391.0
Endocrine System	Adipose tissue	337.0	391.0
Visual System	Eye	464.0	391.0
Respiratory System	Lung	426.0	391.0
Exocrine System	Mammary gland	378.0	391.0
Integumentary System	Skin	276.0	391.0
