system	organ	exp	control
Visual System	Eye	32700.0	479.0
Nervous System	Nervous System	17000.0	479.0
Digestive System	Stomach	2330.0	479.0
Digestive System	Small intestine	823.0	479.0
Digestive System	Pancreas	800.0	479.0
Digestive System	Colon	755.0	479.0
Digestive System	Tongue	688.0	479.0
Digestive System	Salivary gland	503.0	479.0
Digestive System	Liver	495.0	479.0
Digestive System	Peritoneum	414.0	479.0
Digestive System	Esophagus	321.0	479.0
Musculoskeletal System	Skeletal Muscle	1450.0	479.0
Musculoskeletal System	Joint	476.0	479.0
Endocrine System	Pituitary gland	1230.0	479.0
Endocrine System	Adrenal gland	724.0	479.0
Endocrine System	Thyroid gland	626.0	479.0
Endocrine System	Adipose tissue	428.0	479.0
Cardiovascular System	Heart	1180.0	479.0
Cardiovascular System	Vascular	539.0	479.0
Olfactory System	Nervous System	1050.0	479.0
Urogenital System	Testes	749.0	479.0
Urogenital System	Kidney	654.0	479.0
Urogenital System	Uterus	613.0	479.0
Urogenital System	Placenta	518.0	479.0
Urogenital System	Bladder	491.0	479.0
Urogenital System	Ovary	375.0	479.0
Urogenital System	Vagina	352.0	479.0
Urogenital System	Penis	335.0	479.0
Urogenital System	Prostate gland	329.0	479.0
Urogenital System	Urethra	286.0	479.0
Immune System	Immune System	582.0	479.0
Integumentary System	Skin	484.0	479.0
Respiratory System	Lung	471.0	479.0
Exocrine System	Mammary gland	363.0	479.0
